Rec,Inf,Name,Based,Club,Division,Expires,Wage,Age,Height,Personality,Preferred Foot,UID,Best Pos,Min WD,Max WD,Clean Sheets,Cln/90,Con/90,xA,xA/90,xG-OP,xG/90,Gls,Conc,Gls/90,Mins,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Tgls/90,Tcon,Tcon/90,Saves/90,xG,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,Position,Blk,Blk/90,Asts/90,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,Off,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Goals Outside Box,FK Shots,Aer A/90,Hdrs A
- -  -,Lst,Luke James,England (Vanarama North),FC United,Vanarama National League North,30/6/2027,€700 p/w,32,"6'0""",,Unknown,29086925,ST (C),N/A,N/A,-,-,-,2.28,0.17,-0.83,0.21,2,-,0.15,"1,233",2.83,0.21,0,-,-,-,0,-,1.39,-,2.19,-,2.83,0.58,8,15,1.09,8%,22%,45,3.28,8,0.58,185.5km,13.5km,29,2.12,0.11,-,-,-,"AM (L), ST (C)",8,0.58,0.07,7.45,21,1.53,17%,15.11,9,0.66,8,84%,343,25.04,288,21.02,12.26,5.69,176,12.85,52,3.80,21,1.53,-,-,-,-,25,2,0.15,0.95,8,0.58,32%,1.82,83%,42,35,2.55,1.09,15,0.58,8,2.63,36,18%,0,0.00,0,1.17,16,0.07,0,1,8.98,123
- -  -,Lst,Reece Brown,England (Vanarama North),FC United,Vanarama National League North,30/6/2027,"€1,000 p/w",31,"5'9""",,Unknown,29113862,"DM, M (C)",N/A,N/A,-,-,-,2.62,0.11,-0.88,0.04,0,-,-,"2,159",0.88,0.04,0,-,-,-,0,-,1.25,-,1.54,-,0.88,0.25,6,31,1.29,-,-,30,1.25,9,0.38,290.9km,12.1km,14,0.58,0.05,-,-,-,"DM, M (C)",10,0.42,0.08,1.96,21,0.88,31%,6.17,35,1.46,0,86%,"1,162",48.44,998,41.60,9.50,7.09,167,6.96,55,2.29,97,4.04,-,-,-,-,17,4,0.17,0.63,5,0.21,29%,0.71,77%,30,23,0.96,1.00,24,0.00,0,0.42,10,30%,0,0.00,0,1.50,36,0.00,0,4,2.83,68
- -  -,,Adam Crookes,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€425 p/w,29,"6'0""",,Unknown,29136229,D (C),N/A,N/A,-,-,-,0.47,0.02,-0.51,0.02,0,-,-,"2,163",0.51,0.02,0,-,-,-,0,-,1.00,-,1.91,-,0.51,0.04,1,55,2.29,-,8%,25,1.04,2,0.08,288.9km,12.0km,6,0.25,0.13,-,-,-,D (C),17,0.71,0.04,2.79,111,4.62,62%,7.07,51,2.12,0,83%,"1,074",44.69,888,36.95,9.15,12.52,161,6.70,63,2.62,76,3.16,-,-,-,-,4,8,0.33,0.04,2,0.08,50%,0.17,74%,53,39,1.62,0.29,7,0.08,2,0.96,23,8%,1,0.25,6,0.29,7,0.71,0,0,7.41,178
- -  -,,Matty Douglas,England (Vanarama North),Macclesfield,Vanarama National League North,30/6/2027,€300 p/w,29,"6'3""",,Unknown,29142170,D (C),N/A,N/A,-,-,-,1.66,0.04,-0.42,0.03,1,-,0.02,"3,699",1.42,0.03,0,-,-,-,0,-,1.02,-,1.92,-,1.42,0.15,6,81,1.97,6%,12%,57,1.39,7,0.17,465.5km,11.3km,4,0.10,0.08,-,-,-,D (RC),25,0.61,0.02,2.73,270,6.57,71%,7.54,52,1.27,0,82%,"1,860",45.26,"1,516",36.89,10.68,13.55,173,4.21,61,1.48,122,2.97,-,-,-,-,17,18,0.44,0.02,7,0.17,41%,0.41,81%,95,77,1.87,0.27,11,0.17,7,1.39,57,12%,3,0.32,13,0.27,11,1.27,0,0,9.29,382
- -  -,,Mitchell Curry,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€425 p/w,27,"5'10""",,Unknown,29162659,ST (C),N/A,N/A,-,-,-,2.06,0.08,-0.42,0.27,7,-,0.26,"2,470",6.62,0.24,1,-,-,-,1,100%,1.06,-,2.00,-,7.42,0.18,5,21,0.77,15%,9%,62,2.26,7,0.26,330.9km,12.1km,25,0.91,0.16,-,-,-,ST (C),2,0.07,0.11,9.36,53,1.93,17%,6.41,27,0.98,22,87%,577,21.02,502,18.29,7.98,3.68,121,4.41,34,1.24,21,0.77,-,-,-,-,46,0,0.00,0.84,15,0.55,33%,1.68,67%,51,34,1.24,0.47,13,0.07,2,0.80,22,11%,1,0.00,0,0.62,17,0.00,3,0,11.30,310
- -  -,Lst,Billy Stedman,Wales (JD Cymru Premier),Newtown,JD Cymru Premier,30/6/2027,€170 p/w,27,"5'6""",,Unknown,29177670,-,N/A,N/A,-,-,-,1.40,0.19,2.88,0.15,4,-,0.55,651,1.12,0.15,0,-,-,-,0,-,1.94,-,1.24,-,1.12,0.55,4,9,1.24,29%,19%,36,4.98,7,0.97,87.2km,12.1km,15,2.07,0.08,-,-,-,AM (R),2,0.28,0.28,4.56,14,1.94,30%,11.34,13,1.80,0,86%,220,30.41,189,26.13,14.52,5.12,66,9.12,20,2.76,13,1.80,-,-,-,-,14,0,0.00,0.83,8,1.11,57%,1.94,75%,16,12,1.66,0.83,6,0.97,7,4.98,36,19%,0,0.00,0,0.83,6,0.00,0,0,6.50,47
- -  -,Opt,Aaron Drewe,England (Vanarama North),Macclesfield,Vanarama National League North,30/6/2027,€400 p/w,26,"5'9""",,Unknown,29192117,D/WB (RL),N/A,N/A,-,-,-,2.37,0.14,0.64,0.02,1,-,0.06,"1,498",0.36,0.02,0,-,-,-,0,-,0.96,-,1.68,-,0.36,0.36,6,43,2.58,33%,9%,95,5.71,10,0.60,210.2km,12.6km,16,0.96,0.12,-,-,-,D (R),10,0.60,0.06,3.72,53,3.18,46%,15.32,38,2.28,2,82%,635,38.15,522,31.36,13.28,12.32,112,6.73,31,1.86,59,3.54,-,-,-,-,3,4,0.24,0.12,3,0.18,100%,0.18,84%,61,51,3.06,0.84,14,0.48,8,4.93,82,11%,0,0.30,5,0.90,15,0.60,1,0,6.91,115
- -  -,Ama,Bradley Webb,Wales (JD Cymru Premier),Caernarfon,JD Cymru Premier,-,N/A,25,"6'1""",,Unknown,29193769,-,N/A,N/A,-,-,-,0.37,0.11,0.00,0.00,0,-,-,304,0.00,0.00,0,-,-,-,0,-,1.48,-,1.48,-,0.00,0.30,1,8,2.37,-,12%,8,2.37,1,0.30,43.2km,12.8km,2,0.59,0.00,-,-,-,D (L),2,0.59,-,3.55,11,3.26,48%,11.25,3,0.89,0,91%,165,48.85,150,44.41,15.39,7.40,21,6.22,9,2.66,23,6.81,-,-,-,-,0,2,0.59,0.00,-,-,-,-,83%,12,10,2.96,1.48,5,0.30,1,2.37,8,13%,0,0.30,1,1.48,5,0.59,0,0,6.81,23
- -  -,Wnt,Harley Curtis,Wales (JD Cymru North),Airbus UK,JD Cymru North,30/6/2028,€220 p/w,24,"6'2""",,Unknown,29233185,-,N/A,N/A,-,-,-,2.27,0.12,-1.43,0.35,5,-,0.27,"1,677",6.43,0.35,0,-,-,-,0,-,0.00,-,0.00,-,6.43,-,0,1,0.05,9%,-,1,0.05,0,0.00,22.8km,1.2km,1,0.05,0.11,-,-,-,"AM (R), ST (C)",0,-,0.21,0.91,1,0.05,6%,0.70,0,-,2,61%,372,19.96,227,12.18,0.91,0.21,7,0.38,2,0.11,0,0.00,-,-,-,-,56,0,0.00,0.00,34,1.82,61%,3.01,64%,25,16,0.86,0.00,0,0.00,0,0.05,1,0%,0,0.00,0,-,0,0.00,0,0,0.97,18
- - A -,,Patrick Boyes,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€625 p/w,24,"6'3""",Balanced,Right,29235918,GK,"€1,600 p/w","€2,000 p/w",5,0.13,2.08,0.30,0.01,0.00,0.00,0,82,-,"3,555",0.00,0.00,0,12,2,17%,0,-,0.94,82,2.08,4,0.00,-,0,-,10.51,-,-,-,-,-,-,167.8km,4.2km,0,-,0.00,-1.26,-0.03,81%,GK,-,-,-,-,-,-,-,0.13,21,0.53,0,34%,879,22.25,303,7.67,17.29,7.59,0,0.00,0,0.00,38,0.96,73%,82,77,26,0,-,-,-,-,-,-,-,17%,12,2,0.05,0.03,1,-,-,-,-,-,3,0.00,0,0.03,1,0.00,-,-,-,-
