Rec,Inf,Name,Based,Club,Division,Expires,Wage,Age,Height,Personality,Preferred Foot,UID,Best Pos,Min WD,Max WD,Clean Sheets,Cln/90,Con/90,xA,xA/90,xG-OP,xG/90,Gls,Conc,Gls/90,Mins,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Tgls/90,Tcon,Tcon/90,Saves/90,xG,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,Position,Blk,Blk/90,Asts/90,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,Off,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Goals Outside Box,FK Shots,Aer A/90,Hdrs A
- -  -,Bid,Karnell Claxton,England (Vanarama South),Chippenham,Vanarama National League South,30/6/2027,€40 p/w,19,"5'9""",,Unknown,2000143918,"DM, M (C)",N/A,N/A,-,-,-,0.00,0.00,0.99,0.01,1,-,1.00,90,0.01,0.01,0,-,-,-,0,-,2.00,-,0.00,-,0.01,-,0,0,0.00,100%,-,2,2.00,0,0.00,11.8km,11.8km,0,-,0.01,-,-,-,M/AM (C),0,-,-,6.00,0,0.00,0%,9.00,0,-,1,59%,29,29.00,17,17.00,19.00,4.00,14,14.00,5,5.00,1,1.00,-,-,-,-,1,0,0.00,0.00,1,1.00,100%,1.00,100%,4,4,4.00,1.00,1,0.00,0,2.00,2,0%,0,0.00,0,1.00,1,0.00,0,0,6.00,6
- -  -,Sct,Kyle White,England (Vanarama North),Alfreton,Vanarama National League North,30/6/2027,€300 p/w,23,"6'0""",Balanced,Left,2000159477,M (C),€475 p/w,€600 p/w,-,-,-,0.78,0.08,-0.86,0.09,0,-,-,887,0.86,0.09,0,-,-,-,0,-,2.33,-,1.32,-,0.86,0.30,3,13,1.32,-,-,19,1.93,1,0.10,133.2km,13.5km,8,0.81,0.06,-,-,-,"DM, M (LC)",2,0.20,0.10,2.13,26,2.64,55%,10.96,15,1.52,0,85%,549,55.70,466,47.28,8.22,11.36,99,10.05,26,2.64,49,4.97,-,-,-,-,15,2,0.20,1.22,6,0.61,40%,1.52,83%,18,15,1.52,0.91,9,0.00,0,0.61,6,5%,0,0.00,0,1.12,11,0.71,1,0,4.77,47
- -  -,Ama,Josh Edwards,Wales (JD Cymru Premier),Barry,JD Cymru Premier,-,N/A,22,"5'11""",,Unknown,2000159884,-,N/A,N/A,-,-,-,0.27,0.03,-0.46,0.06,0,-,-,728,0.46,0.06,0,-,-,-,0,-,1.48,-,1.11,-,0.46,0.12,1,10,1.24,-,10%,74,9.15,4,0.49,102.5km,12.7km,7,0.87,0.09,-,-,-,D (L),10,1.24,-,1.85,26,3.21,63%,11.37,13,1.61,1,86%,355,43.89,306,37.83,14.59,8.04,62,7.66,17,2.10,38,4.70,-,-,-,-,5,2,0.25,0.25,1,0.12,20%,0.62,73%,22,16,1.98,0.99,8,0.25,2,2.35,19,5%,0,0.12,1,1.48,12,0.25,0,0,5.07,41
- -  -,,Mitch Clarke,England (Vanarama North),Macclesfield,Vanarama National League North,30/6/2027,€475 p/w,34,"6'1""",,Unknown,2000180178,D (C),N/A,N/A,-,-,-,0.67,0.03,-0.62,0.02,0,-,-,"2,270",0.62,0.02,0,-,-,-,0,-,1.03,-,1.98,-,0.62,0.12,3,54,2.14,-,14%,13,0.52,2,0.08,286.3km,11.4km,2,0.08,0.06,-,-,-,D (C),9,0.36,0.04,2.42,168,6.66,73%,6.90,33,1.31,1,80%,"1,243",49.28,991,39.29,9.95,13.64,102,4.04,25,0.99,82,3.25,-,-,-,-,11,12,0.48,0.12,3,0.12,27%,0.44,69%,49,34,1.35,0.28,7,0.04,1,0.28,7,15%,0,0.24,6,0.32,8,1.23,0,0,9.08,229
- -  -,Ctr,Leon Baker,England (Vanarama North),Leamington,Vanarama National League North,-,N/A,22,"5'6""",,Unknown,2000187502,"DM, M (C)",N/A,N/A,-,-,-,0.34,0.10,-0.70,0.21,0,-,-,306,0.70,0.21,0,-,-,-,0,-,1.47,-,1.76,-,0.70,0.59,2,3,0.88,-,-,11,3.24,0,0.00,53.2km,15.6km,4,1.18,0.06,-,-,-,M (C),0,-,-,3.82,5,1.47,28%,12.94,3,0.88,1,80%,179,52.65,144,42.35,12.94,7.06,49,14.41,16,4.71,14,4.12,-,-,-,-,12,0,0.00,2.94,4,1.18,33%,3.53,56%,16,9,2.65,1.47,5,0.00,0,1.47,5,0%,0,0.00,0,1.47,5,0.00,0,6,5.29,18
- -  -,,Harvey Kirby-Moore,England (Vanarama North),Buxton,Vanarama National League North,30/6/2027,€275 p/w,20,"5'11""",,Unknown,2000190505,ST (C),N/A,N/A,-,-,-,0.13,0.07,0.77,0.13,1,-,0.56,162,0.23,0.13,0,-,-,-,0,-,0.56,-,2.22,-,0.23,-,0,2,1.11,50%,-,3,1.67,0,0.00,21.4km,11.9km,2,1.11,0.12,-,-,-,ST (C),0,-,-,8.33,1,0.56,6%,3.89,0,-,1,83%,41,22.78,34,18.89,13.89,1.67,12,6.67,4,2.22,1,0.56,-,-,-,-,2,0,0.00,0.56,2,1.11,100%,1.11,67%,3,2,1.11,0.56,1,0.00,0,1.67,3,0%,0,0.00,0,0.56,1,0.00,0,0,8.89,16
- -  -,,Cenk Grocott,England (Vanarama North),Boston Utd,Vanarama National League North,30/6/2027,€45 p/w,19,"6'1""",Unambitious,Left,2000200168,AM (R),N/A,N/A,-,-,-,0.42,0.20,0.75,0.12,1,-,0.48,188,0.25,0.12,0,-,-,-,0,-,1.44,-,0.48,-,0.25,-,0,0,0.00,50%,-,0,0.00,0,0.00,24.3km,11.6km,2,0.96,0.12,-,-,-,"AM (RL), ST (C)",1,0.48,-,6.22,2,0.96,13%,4.79,3,1.44,2,88%,48,22.98,42,20.11,19.63,0.48,5,2.39,0,0.00,1,0.48,-,-,-,-,2,0,0.00,0.00,2,0.96,100%,0.96,100%,1,1,0.48,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,7.18,15
- -  -,,Nathan Mercer,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€150 p/w,21,"5'10""",Fairly Determined,Right,2000200707,M (C),€325 p/w,€500 p/w,-,-,-,3.21,0.08,-0.05,0.05,2,-,0.05,"3,460",2.05,0.05,0,-,-,-,0,-,0.99,-,1.92,-,2.05,0.16,6,59,1.53,10%,15%,19,0.49,3,0.08,498.0km,13.0km,15,0.39,0.10,-,-,-,"DM, M (C)",27,0.70,0.08,2.55,110,2.86,53%,11.50,52,1.35,2,85%,"1,684",43.80,"1,439",37.43,7.83,8.69,426,11.08,117,3.04,154,4.01,-,-,-,-,21,12,0.31,0.31,8,0.21,38%,0.55,74%,99,73,1.90,1.07,41,0.08,3,0.49,19,16%,0,0.05,2,1.07,41,0.13,0,0,5.41,208
- -  -,,Riley Mouat,England (Vanarama North),Spennymoor,Vanarama National League North,30/6/2027,€55 p/w,21,"5'9""",,Unknown,2000216940,"AM (RL), ST (RL)",N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,0,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,0.9km,-,0,-,0.00,-,-,-,AM (RL),0,-,-,-,-,-,-,-,0,-,0,100%,3,-,3,-,-,-,0,-,0,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,0
- -  -,Ctr,Ben Burgin,England,Ellesmere,-,-,N/A,22,"5'9""",,Unknown,2000216948,D/WB (RL),N/A,N/A,-,-,-,0.04,-,0.93,-,1,-,-,46,0.07,-,0,-,-,-,0,-,-,-,-,-,0.07,-,0,0,-,100%,-,0,-,0,-,0.0km,-,0,-,0.07,-,-,-,D/WB (L),0,-,-,-,-,-,-,-,0,-,0,67%,60,-,40,-,-,-,0,-,0,-,0,-,-,-,-,-,1,0,-,-,1,-,100%,-,100%,5,5,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,0
- -  -,Wnt,Luke Grimshaw,England (Vanarama North),Leamington,Vanarama National League North,-,N/A,21,"6'1""",,Unknown,2000217748,D (C),N/A,N/A,-,-,-,0.77,0.05,1.48,0.04,2,-,0.14,"1,307",0.52,0.04,0,-,-,-,0,-,1.58,-,1.45,-,0.52,-,0,41,2.82,33%,-,0,0.00,0,0.00,157.9km,10.9km,0,-,0.09,-,-,-,D (C),9,0.62,-,3.24,89,6.13,65%,4.06,17,1.17,0,81%,739,50.89,596,41.04,9.78,14.39,46,3.17,18,1.24,42,2.89,-,-,-,-,6,5,0.34,0.00,3,0.21,50%,0.41,90%,20,18,1.24,0.34,5,0.00,0,0.00,0,-,0,0.28,4,0.34,5,0.76,0,0,9.36,136
- -  -,,Will De Wilde,England (Vanarama North),Banbury,Vanarama National League North,30/6/2027,€130 p/w,21,"6'0""",,Unknown,2000219816,"DM, M (C)",N/A,N/A,-,-,-,6.41,0.14,0.13,0.08,4,-,0.08,"4,247",3.87,0.08,0,-,-,-,0,-,1.55,-,1.21,-,3.87,0.34,16,34,0.72,8%,20%,29,0.61,6,0.13,565.2km,12.0km,16,0.34,0.07,-,-,-,M (C),10,0.21,0.17,2.65,64,1.36,34%,6.82,55,1.17,6,87%,"2,192",46.45,"1,911",40.50,8.88,6.63,406,8.60,96,2.03,196,4.15,-,-,-,-,52,3,0.06,0.81,13,0.28,25%,1.10,75%,106,79,1.67,1.36,64,0.13,6,0.61,29,21%,0,0.06,3,1.36,64,0.04,3,0,4.01,189
- -  -,,Morgan Owen,England (Vanarama North),FC United,Vanarama National League North,30/6/2027,€525 p/w,22,"6'3""",,Unknown,2000228198,"DM, M (C)",N/A,N/A,-,-,-,1.64,0.08,-0.22,0.06,1,-,0.05,"1,806",1.22,0.06,0,-,-,-,0,-,1.15,-,1.59,-,1.22,0.20,4,42,2.09,8%,33%,18,0.90,6,0.30,252.9km,12.6km,14,0.70,0.09,-,-,-,M (C),6,0.30,0.10,2.44,56,2.79,53%,8.57,28,1.40,0,89%,919,45.80,816,40.66,9.47,8.72,222,11.06,61,3.04,52,2.59,-,-,-,-,13,3,0.15,0.45,4,0.20,31%,0.65,86%,35,30,1.50,0.95,19,0.30,6,0.90,18,33%,0,0.10,2,0.95,19,0.45,0,0,5.23,105
- -  -,,Luca Alonzi,England (Vanarama North),Banbury,Vanarama National League North,30/6/2027,€130 p/w,21,"5'11""",,Unknown,2000249114,ST (C),N/A,N/A,-,-,-,1.53,0.07,0.24,0.41,9,-,0.42,"1,907",8.76,0.41,1,-,-,-,1,100%,1.89,-,1.32,-,8.76,0.28,6,16,0.76,23%,12%,16,0.76,2,0.09,254.3km,12.0km,15,0.71,0.22,-,-,-,ST (C),3,0.14,0.09,11.56,25,1.18,9%,5.24,19,0.90,21,89%,448,21.14,399,18.83,7.88,3.45,109,5.14,26,1.23,17,0.80,-,-,-,-,40,1,0.05,0.61,21,0.99,53%,1.89,77%,22,17,0.80,0.61,13,0.09,2,0.76,16,13%,0,0.00,0,0.61,13,0.00,0,0,12.74,270
- -  -,,Harry Revill,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€250 p/w,19,"5'11""",,Unknown,2000256273,D (C),N/A,N/A,-,-,-,0.11,0.00,-0.26,0.01,0,-,-,"2,309",0.26,0.01,0,-,-,-,0,-,1.29,-,2.30,-,0.26,-,0,71,2.77,-,-,2,0.08,0,0.00,281.8km,11.0km,1,0.04,0.09,-,-,-,D (C),8,0.31,-,3.24,86,3.35,51%,5.18,41,1.60,0,83%,"1,117",43.54,931,36.29,7.64,10.60,94,3.66,45,1.75,89,3.47,-,-,-,-,3,14,0.55,0.04,1,0.04,33%,0.12,71%,34,24,0.94,0.12,3,0.00,0,0.08,2,0%,1,0.27,7,0.12,3,0.31,0,0,6.59,169
- -  -,Ctr,Jack Shaw,England,Graham St. Prims,-,-,N/A,22,"6'0""",,Unknown,2000266255,"M (C), AM (RLC), ST (RL)",N/A,N/A,-,-,-,3.06,0.13,-5.78,0.28,1,-,0.04,"2,194",6.78,0.28,0,-,-,-,0,-,0.00,-,0.00,-,6.78,-,0,0,0.00,1%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.10,-,-,-,AM (C),0,-,0.12,-,-,-,-,0.00,0,-,0,68%,640,26.25,432,17.72,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,71,0,0.00,0.00,22,0.90,31%,2.91,84%,32,27,1.11,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Wnt,Will Nicholson,England (Vanarama North),Farsley,Vanarama National League North,30/6/2027,€120 p/w,20,"6'1""",,Unknown,2000271001,D (C),N/A,N/A,-,-,-,0.73,0.04,0.18,0.05,1,-,0.06,"1,488",0.82,0.05,0,-,-,-,0,-,1.94,-,1.57,-,0.82,0.06,1,34,2.06,13%,-,3,0.18,0,0.00,195.2km,11.8km,1,0.06,0.10,-,-,-,D (LC),11,0.67,0.06,3.02,119,7.20,70%,6.47,26,1.57,0,79%,796,48.15,627,37.92,9.74,15.18,74,4.48,26,1.57,72,4.35,-,-,-,-,8,7,0.42,0.00,5,0.30,63%,0.48,72%,25,18,1.09,0.24,4,0.00,0,0.18,3,0%,0,0.18,3,0.24,4,1.27,0,0,10.22,169
- -  -,Ctr,Edward Cooke,England,Ellesmere,-,-,N/A,20,"6'0""",,Unknown,2000277155,D (C),N/A,N/A,-,-,-,0.00,0.00,-0.02,0.01,0,-,-,235,0.02,0.01,0,-,-,-,0,-,0.00,-,0.00,-,0.02,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.02,-,-,-,D (C),0,-,-,-,-,-,-,0.00,0,-,0,64%,160,61.28,103,39.45,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,1,0,0.00,0.00,0,0.00,0%,0.38,100%,15,15,5.74,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Oliver Dixon,England,Ellesmere,-,-,N/A,20,"5'10""",,Unknown,2000277159,M (RL),N/A,N/A,-,-,-,0.02,0.02,-0.60,0.62,0,-,-,87,0.60,0.62,0,-,-,-,0,-,0.00,-,0.00,-,0.60,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.12,-,-,-,WB/M (RL),0,-,1.03,-,-,-,-,0.00,0,-,0,64%,100,103.45,64,66.21,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,5,0,0.00,0.00,1,1.03,20%,5.17,75%,4,3,3.10,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Alex Beattie,England,Ellesmere,-,-,N/A,20,"5'10""",,Unknown,2000277161,"DM, M (C)",N/A,N/A,-,-,-,0.11,0.03,-3.14,0.74,0,-,-,384,3.14,0.74,0,-,-,-,0,-,0.00,-,0.00,-,3.14,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.16,-,-,-,"DM, M (C)",0,-,-,-,-,-,-,0.00,0,-,0,65%,260,60.94,169,39.61,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,20,0,0.00,0.00,3,0.70,15%,4.69,95%,20,19,4.45,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Theo Hutchinson,England,Ellesmere,-,-,N/A,19,"6'1""",,Unknown,2000277163,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,0.19,-,-0.45,-,0,-,-,29,0.45,-,0,-,-,-,0,-,-,-,-,-,0.45,-,0,0,-,-,-,0,-,0,-,0.0km,-,0,-,0.15,-,-,-,AM (C),0,-,-,-,-,-,-,-,0,-,0,60%,40,-,24,-,-,-,0,-,0,-,0,-,-,-,-,-,3,0,-,-,1,-,33%,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,0
- -  -,Ctr,Will Bage,England,Ellesmere,-,-,N/A,21,"5'7""",,Unknown,2000277164,ST (C),N/A,N/A,-,-,-,1.08,0.40,0.45,0.58,2,-,0.75,241,1.55,0.58,0,-,-,-,0,-,0.00,-,0.00,-,1.55,-,0,0,0.00,10%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.08,-,-,-,ST (C),0,-,-,-,-,-,-,0.00,0,-,0,52%,180,67.22,94,35.10,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,20,0,0.00,0.00,5,1.87,25%,7.47,100%,4,4,1.49,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Jake Bewley,England,Ellesmere,-,-,N/A,21,"5'6""",,Unknown,2000277170,"DM, M (C)",N/A,N/A,-,-,-,1.12,0.18,-0.18,0.03,0,-,-,566,0.18,0.03,0,-,-,-,0,-,0.00,-,0.00,-,0.18,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.09,-,-,-,"DM, M (C)",0,-,-,-,-,-,-,0.00,0,-,0,63%,360,57.24,227,36.10,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,2,0,0.00,0.00,0,0.00,0%,0.32,97%,30,29,4.61,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Harry Brumwell,England,Ellesmere,-,-,N/A,21,"6'0""",,Unknown,2000277177,D (C),N/A,N/A,-,-,-,0.00,0.00,0.00,0.00,0,-,-,260,0.00,0.00,0,-,-,-,0,-,0.00,-,0.00,-,0.00,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.00,-,-,-,D (C),0,-,-,-,-,-,-,0.00,0,-,0,68%,160,55.38,108,37.38,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,0,0,0.00,0.00,-,-,-,-,100%,13,13,4.50,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Liam Wilson,England,Graham St. Prims,-,-,N/A,22,"6'3""",,Unknown,2000280861,GK,N/A,N/A,0,0.00,5.84,0.00,0.00,0.00,0.00,0,17,-,262,0.00,0.00,0,0,0,-,0,-,0.00,0,0.00,-,0.00,-,0,-,0.00,-,-,-,-,-,-,0.0km,0.0km,0,-,0.00,0.00,0.00,0%,GK,-,-,-,-,-,-,-,0.00,0,-,0,51%,180,61.83,92,31.60,0.00,0.00,0,0.00,0,0.00,0,0.00,0%,0,0,0,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,,Joseph Aungiers,England (Vanarama North),Hartlepool,Vanarama National League North,30/6/2027,€120 p/w,19,"5'9""",,Unknown,2000290529,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,0.00,-,-0.02,-,0,-,-,23,0.02,-,0,-,-,-,0,-,-,-,-,-,0.02,-,0,1,-,-,-,0,-,0,-,4.2km,-,0,-,0.02,-,-,-,M/AM (R),0,-,-,-,1,-,50%,-,0,-,0,80%,5,-,4,-,-,-,2,-,0,-,1,-,-,-,-,-,1,0,-,-,1,-,100%,-,100%,2,2,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,2
- -  -,,Hari Roberts,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€65 p/w,20,"5'3""",,Unknown,2000296710,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,1.35,0.10,1.08,0.07,2,-,0.14,"1,270",0.92,0.07,0,-,-,-,0,-,0.92,-,2.06,-,0.92,0.14,2,23,1.63,20%,6%,112,7.94,7,0.50,181.8km,12.9km,31,2.20,0.09,-,-,-,M (R),4,0.28,0.14,4.75,11,0.78,14%,11.13,29,2.06,2,82%,416,29.48,342,24.24,15.73,8.79,142,10.06,33,2.34,32,2.27,-,-,-,-,10,1,0.07,0.50,3,0.21,30%,0.71,83%,41,34,2.41,0.78,11,0.50,7,7.30,103,6%,0,0.07,1,0.78,11,0.00,1,0,5.53,78
- -  -,Ctr,Alfie Atherton,England (Vanarama North),Marine,Vanarama National League North,-,N/A,21,"5'7""",,Right,2000299973,M (R),-,-,-,-,-,0.63,0.06,0.33,0.07,1,-,0.10,889,0.67,0.07,0,-,-,-,0,-,1.32,-,3.04,-,0.67,0.30,3,18,1.82,8%,7%,61,6.18,4,0.40,136.4km,13.8km,16,1.62,0.06,-,-,-,"DM, M (RC)",2,0.20,-,4.76,9,0.91,16%,14.07,20,2.02,3,85%,365,36.95,309,31.28,11.74,7.90,91,9.21,21,2.13,36,3.64,-,-,-,-,12,2,0.20,1.01,4,0.40,33%,1.21,75%,32,24,2.43,0.40,4,0.20,2,2.83,28,7%,0,0.00,0,0.71,7,0.00,0,1,5.67,56
- -  -,Wnt,David Abimbola,England (Vanarama North),Warrington,Vanarama National League North,-,N/A,21,"6'1""",,Unknown,2000310225,ST (C),N/A,N/A,-,-,-,1.31,0.13,1.68,0.22,4,-,0.39,928,2.32,0.22,0,-,-,-,0,-,1.55,-,1.84,-,2.32,0.19,2,12,1.16,27%,11%,18,1.75,2,0.19,125.8km,12.2km,15,1.45,0.15,-,-,-,ST (C),2,0.19,0.10,8.53,24,2.33,21%,5.14,11,1.07,8,87%,243,23.57,211,20.46,8.63,3.98,62,6.01,14,1.36,7,0.68,-,-,-,-,15,2,0.19,0.68,5,0.48,33%,1.45,73%,11,8,0.78,0.97,10,0.19,2,1.75,18,11%,0,0.00,0,0.97,10,0.10,0,0,10.86,112
- -  -,,Will Constantin,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€475 p/w,22,"5'10""",,Unknown,2000336961,D/WB (RL),N/A,N/A,-,-,-,2.01,0.07,-0.52,0.02,0,-,-,"2,437",0.52,0.02,0,-,-,-,0,-,1.18,-,2.33,-,0.52,0.15,4,73,2.70,-,14%,106,3.91,14,0.52,340.7km,12.6km,18,0.66,0.04,-,-,-,D/WB (R),19,0.70,0.04,4.36,96,3.55,45%,12.37,78,2.88,1,80%,994,36.71,794,29.32,13.00,14.44,220,8.12,75,2.77,88,3.25,-,-,-,-,13,10,0.37,0.41,3,0.11,23%,0.48,79%,99,78,2.88,0.66,18,0.52,14,3.69,100,13%,0,0.30,8,0.66,18,0.55,0,0,7.90,214
- -  -,Ama,John Boadu,Ghana,RTD Academy,-,-,N/A,19,"5'7""",,Unknown,2002082376,"DM, M (C)",N/A,N/A,-,-,-,3.18,0.08,-1.89,0.05,0,-,-,"3,650",1.89,0.05,0,-,-,-,0,-,0.00,-,0.00,-,1.89,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.10,-,-,-,"DM, M (C)",0,-,0.05,-,-,-,-,0.00,0,-,0,62%,860,21.21,534,13.17,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,19,0,0.00,0.00,1,0.02,5%,0.47,82%,89,73,1.80,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Philip Ryan,England (Vanarama South),Dartford,Vanarama National League South,-,N/A,19,"6'1""",,Unknown,2002082393,M (C),N/A,N/A,-,-,-,0.00,0.00,-0.02,0.02,0,-,-,106,0.02,0.02,0,-,-,-,0,-,0.00,-,1.70,-,0.02,-,0,1,0.85,-,-,0,0.00,0,0.00,15.0km,12.7km,0,-,0.02,-,-,-,"DM, M (C)",1,0.85,-,2.55,0,0.00,0%,10.19,2,1.70,0,94%,62,52.64,58,49.25,10.19,0.85,9,7.64,0,0.00,7,5.94,-,-,-,-,1,0,0.00,0.85,0,0.00,0%,0.85,-,0,-,-,0.85,1,0.00,0,0.00,0,-,0,0.00,0,0.85,1,0.00,0,0,2.55,3
- -  -,Ctr,Gareth Heary,England (Vanarama North),Leamington,Vanarama National League North,-,N/A,19,"6'2""",,Unknown,2002083761,D (C),N/A,N/A,-,-,-,0.00,0.00,-0.11,0.02,0,-,-,473,0.11,0.02,0,-,-,-,0,-,0.57,-,1.52,-,0.11,-,0,15,2.85,-,-,1,0.19,0,0.00,60.7km,11.5km,1,0.19,0.11,-,-,-,D (C),2,0.38,-,2.66,30,5.71,68%,3.23,5,0.95,0,77%,309,58.79,238,45.29,12.94,11.80,19,3.62,5,0.95,20,3.81,-,-,-,-,1,0,0.00,0.00,1,0.19,100%,0.19,75%,8,6,1.14,0.00,0,0.00,0,0.19,1,0%,0,0.00,0,-,0,0.38,0,0,8.37,44
- -  -,Loa,Conrad Brownlee,England (Vanarama North),Hartlepool,Vanarama National League North,30/6/2028,€160 p/w,19,"5'7""",,Unknown,2002084911,D (RL),N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,0,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,0.9km,-,0,-,0.00,-,-,-,D (R),0,-,-,-,0,-,0%,-,0,-,0,100%,1,-,1,-,-,-,0,-,0,-,1,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,2
- -  -,,Clint Sampayo,England (Vanarama South),Dorking,Vanarama National League South,30/6/2027,€120 p/w,19,"5'10""",,Unknown,2002085567,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,0.00,0.00,0.00,0.00,0,-,-,90,0.00,0.00,0,-,-,-,0,-,0.00,-,1.00,-,0.00,-,0,6,6.00,-,-,3,3.00,0,0.00,14.0km,14.0km,1,1.00,0.00,-,-,-,WB/AM (R),1,1.00,-,2.00,3,3.00,60%,12.00,3,3.00,0,83%,30,30.00,25,25.00,21.00,0.00,11,11.00,2,2.00,2,2.00,-,-,-,-,0,0,0.00,0.00,-,-,-,-,100%,1,1,1.00,0.00,0,0.00,0,3.00,3,0%,0,0.00,0,-,0,0.00,0,0,5.00,5
- -  -,Ama,Aurélien Kameni,Cameroon,Brasseries,-,-,N/A,19,"5'11""",,Unknown,2002087281,D/WB (RL),N/A,N/A,-,-,-,3.59,0.10,-1.32,0.04,0,-,-,"3,383",1.32,0.04,0,-,-,-,0,-,0.00,-,0.00,-,1.32,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.09,-,-,-,D/WB (L),0,-,0.11,-,-,-,-,0.00,0,-,0,68%,840,22.35,574,15.27,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,15,0,0.00,0.00,0,0.00,0%,0.40,96%,73,70,1.86,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
