UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Hdr %,Hdrs  W/90,Tck R,Hdrs W/90,Tck/90,Blk/90,Poss Won/90,Poss Lost/90
28028403,Conor Branson,"DM, M (C)",32,"6'2""",0,300,,30/6/2024,2947,Farsley,Vanarama National League North,1,46,85.0,77.0,71.0,8.7,11.27,77.0,0.0,71.0,5.13,1.92,0.61,11.27,8.7
2000022079,Ethan Sutcliffe,D (C),20,"6'1""",0,375,,30/6/2025,1165,Scunthorpe,Vanarama National League North,1,64,90.0,77.0,75.0,7.18,13.91,77.0,0.0,75.0,7.88,0.46,0.15,13.91,7.18
29235898,Ronny Nelson,D (C),20,"6'5""",0,575,,30/6/2025,3727,Worthing,Vanarama National League South,1,50,86.0,77.0,84.0,4.73,11.33,77.0,0.0,84.0,6.59,1.18,0.51,11.33,4.73
28049315,Zaine Francis-Angol,D/WB (L),30,"5'8""",0,475,,30/6/2024,3085,Buxton,Vanarama National League North,1,48,84.0,77.0,83.0,11.49,14.0,77.0,0.0,83.0,4.29,2.28,0.50,14.0,11.49
2000273981,Emmanuel Harvest,DM,19,"6'4""",0,425,,30/6/2025,3265,Bishop's Stortford,Vanarama National League North,1,50,85.0,77.0,69.0,8.77,9.26,77.0,0.0,69.0,5.84,1.82,0.30,9.26,8.77
29127855,Isaac Assenso,D (C),27,"6'3""",0,230,,30/6/2024,2273,Farsley,Vanarama National League North,1,46,76.0,76.0,76.0,11.28,13.07,76.0,0.0,76.0,7.17,1.15,0.48,13.07,11.28
29146151,Maxim Kouogun,D (C),27,"6'3""",0,875,,30/6/2025,2941,Scunthorpe,Vanarama National League North,1,64,85.0,76.0,68.0,9.61,16.04,76.0,0.0,68.0,7.80,0.92,0.43,16.04,9.61
29038155,Blaine Hudson,D (C),32,"6'5""",0,300,,30/6/2025,2330,Chelmsford,Vanarama National League South,1,56,79.0,76.0,75.0,5.25,19.58,76.0,0.0,75.0,6.72,0.81,0.42,19.58,5.25
52070952,Gary Boylan,"D (R), M (C)",28,"6'0""",0,450,,30/6/2025,2116,Weston-super-Mare,Vanarama National League South,1,50,84.0,76.0,78.0,13.14,13.65,76.0,0.0,78.0,5.49,1.62,0.43,13.65,13.14
29219122,Jalil Saadi,D (C),22,"6'3""",0,875,,30/6/2024,3474,Yeovil,Vanarama National League South,1,50,83.0,76.0,78.0,3.16,14.97,76.0,0.0,78.0,5.85,0.98,0.44,14.97,3.16
2000211483,Aaron Harper-Bailey,D (C),22,"6'3""",0,475,,30/6/2024,3847,Gloucester,Vanarama National League North,1,47,85.0,76.0,76.0,7.81,14.74,76.0,0.0,76.0,6.90,1.05,0.51,14.74,7.81
2000192553,Charlie Stallard,D (C),20,"6'2""",0,525,,30/6/2024,3312,Hemel Hempstead,Vanarama National League South,1,46,87.0,75.0,82.0,3.91,17.74,75.0,0.0,82.0,6.39,1.09,0.30,17.74,3.91
28095453,Liam Edwards,D (C),27,"6'3""",0,525,,30/6/2024,3311,Chester,Vanarama National League North,1,47,87.0,75.0,67.0,8.59,14.81,75.0,0.0,67.0,7.37,0.71,0.46,14.81,8.59
2000108352,Charlie Hayes-Green,D (C),19,"6'0""",0,575,,30/6/2025,1260,Peterborough Sports,Vanarama National League North,1,47,85.0,75.0,91.0,10.71,15.21,75.0,0.0,91.0,6.29,1.43,0.29,15.21,10.71
29111157,Alex Finney,D (C),27,"6'4""",0,800,,30/6/2024,4335,Eastbourne Borough,Vanarama National League South,1,57,82.0,75.0,74.0,4.94,16.46,75.0,0.0,74.0,6.66,1.08,0.27,16.46,4.94
29128545,Kyron Farrell,D (L),26,"5'11""",0,250,,30/6/2024,3999,Tamworth,Vanarama National League North,1,51,81.0,75.0,82.0,13.68,15.71,75.0,0.0,82.0,5.09,2.14,0.70,15.71,13.68
2000120904,George Milner-Smith,D (C),20,"6'4""",0,300,,30/6/2025,1440,Dartford,Vanarama National League South,1,51,86.0,75.0,87.0,3.5,13.94,75.0,0.0,87.0,6.38,0.81,0.75,13.94,3.5
