UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Pas %,Poss Lost/90,Pr passes/90,Drb/90,xA/90,Shot/90,Shot %
222823,Tai Fleming,D (C),22,"6'3""",240,,30/6/2025,4033,Banbury,Vanarama National League North,0,44,83.0,79.0,90.0,8.38,39.19,83.0,8.38,3.06,0.07,0.01,0.91,34%
2000141112,Will Armitage,D (C),19,"6'3""",575,,30/6/2026,4498,South Shields,Vanarama National League North,0,59,92.0,79.0,77.0,7.37,69.33,92.0,7.37,7.54,-,0.01,0.42,33%
28093200,Keenan Quansah,"D (RC), WB (R), DM",27,"6'4""",350,,30/6/2024,3388,Southport,Vanarama National League North,0,43,83.0,79.0,76.0,8.83,37.83,83.0,8.83,3.83,0.53,0.03,0.53,20%
2000056887,Seydil Tour̩,D (C),20,"6'2""",475,,30/6/2025,3759,Braintree,Vanarama National League South,0,50,85.0,78.0,82.0,4.96,43.86,85.0,4.96,3.83,0.22,0.01,0.91,29%
28124743,Dan Quick,D (C),21,"6'2""",525,,30/6/2024,2583,Eastbourne Borough,Vanarama National League South,0,52,85.0,78.0,88.0,4.18,45.51,85.0,4.18,4.08,0.31,0.03,1.32,26%
29023464,Aarran Racine,D (C),32,"6'2""",300,,30/6/2025,2570,Tonbridge,Vanarama National League South,0,48,86.0,77.0,81.0,3.94,46.54,86.0,3.94,4.38,0.04,0.04,0.77,14%
29161623,Adam Lund,DM,25,"5'11""",180,,30/6/2025,3709,Alfreton,Vanarama National League North,0,44,83.0,77.0,77.0,10.1,35.55,83.0,10.1,4.0,0.44,0.08,0.53,36%
90057700,Jamie Willets,D (C),31,"6'3""",180,,30/6/2024,4501,Tamworth,Vanarama National League North,0,48,80.0,77.0,70.0,10.27,43.61,80.0,10.27,4.56,0.02,0.05,0.66,45%
28028403,Conor Branson,"DM, M (C)",32,"6'2""",300,,30/6/2024,2947,Farsley,Vanarama National League North,0,47,85.0,77.0,71.0,8.21,43.4,85.0,8.21,4.83,0.34,0.09,1.34,36%
2000022079,Ethan Sutcliffe,D (C),20,"6'1""",375,,30/6/2025,1165,Scunthorpe,Vanarama National League North,0,59,90.0,77.0,75.0,8.76,67.67,90.0,8.76,4.48,-,0.06,1.16,33%
29235898,Ronny Nelson,D (C),20,"6'5""",575,,30/6/2025,3727,Worthing,Vanarama National League South,0,53,86.0,77.0,84.0,5.03,48.05,86.0,5.03,3.84,0.02,0.02,0.24,20%
2000273981,Emmanuel Harvest,DM,19,"6'4""",425,,30/6/2025,3265,Bishop's Stortford,Vanarama National League North,0,45,85.0,77.0,69.0,7.97,42.42,85.0,7.97,3.42,0.11,0.04,1.27,22%
29038155,Blaine Hudson,D (C),32,"6'5""",300,,30/6/2025,2330,Chelmsford,Vanarama National League South,0,52,79.0,76.0,75.0,5.47,40.4,79.0,5.47,4.4,0.08,0.03,0.93,25%
29219122,Jalil Saadi,D (C),22,"6'3""",875,,30/6/2024,3474,Yeovil,Vanarama National League South,0,57,83.0,76.0,78.0,3.67,44.77,83.0,3.67,3.89,0.03,0.04,0.60,39%
2000211483,Aaron Harper-Bailey,D (C),22,"6'3""",475,,30/6/2024,3847,Gloucester,Vanarama National League North,0,48,85.0,76.0,76.0,7.51,43.44,85.0,7.51,3.09,0.05,0.03,0.35,33%
2000192553,Charlie Stallard,D (C),20,"6'2""",525,,30/6/2024,3312,Hemel Hempstead,Vanarama National League South,0,50,87.0,75.0,82.0,3.91,46.68,87.0,3.91,3.67,0.08,0.01,0.46,24%
28095453,Liam Edwards,D (C),27,"6'3""",525,,30/6/2024,3311,Chester,Vanarama National League North,0,56,87.0,75.0,67.0,9.76,55.07,87.0,9.76,5.27,0.05,0.02,0.35,15%
29111157,Alex Finney,D (C),27,"6'4""",800,,30/6/2024,4335,Eastbourne Borough,Vanarama National League South,0,52,82.0,75.0,74.0,5.15,41.92,82.0,5.15,3.61,0.15,0.03,0.58,25%
2000120904,George Milner-Smith,D (C),20,"6'4""",300,,30/6/2025,1440,Dartford,Vanarama National League South,0,50,86.0,75.0,87.0,3.5,44.5,86.0,3.5,3.81,0.12,0.04,0.88,36%
29132088,Adam Anson,D (C),27,"6'0""",475,,30/6/2024,4559,Southport,Vanarama National League North,0,43,80.0,75.0,71.0,7.75,34.53,80.0,7.75,3.16,0.02,0.04,0.49,64%
