UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Pas %,Poss Lost/90,Pr passes/90,Drb/90,xA/90,Shot/90,Shot %
28116915,Bivesh Gurung,"DM, M (C)",22,"6'0""",400,,30/6/2024,1424,Maidstone,Vanarama National League South,0,44,89.0,49.0,76.0,8.29,45.25,89.0,8.29,4.3,0.46,0.16,0.76,0%
29005307,Joe Partington,"D (RC), DM",34,"6'2""",650,,30/6/2025,3288,St. Albans,Vanarama National League South,0,44,87.0,49.0,79.0,6.82,43.44,87.0,6.82,4.38,0.63,0.04,0.88,25%
29210000,Matty Williams,D (C),23,"6'3""",350,,30/6/2024,1324,Chester,Vanarama National League North,0,56,87.0,48.0,82.0,9.35,54.04,87.0,9.35,5.44,0.07,0.01,0.34,20%
29128950,Jordan Richards,"DM, M (C)",26,"5'11""",475,,30/6/2024,2875,Boston Utd,Vanarama National League North,0,54,89.0,48.0,76.0,7.01,44.7,89.0,7.01,5.1,0.78,0.07,0.85,48%
28029361,Jake Taylor,"DM, M (C)",32,"5'10""","1,700",,30/6/2025,2139,Eastleigh,Vanarama National League,0,50,89.0,48.0,70.0,7.45,45.06,89.0,7.45,3.91,0.25,0.1,0.67,25%
2000144681,Engwau Oduka,"D (C), DM, M (C)",19,"6'2""",350,,30/6/2025,3395,King's Lynn,Vanarama National League North,0,46,87.0,47.0,80.0,6.25,44.32,87.0,6.25,3.95,0.44,0.05,0.56,33%
28059635,David Morgan,"DM, M (C)",29,"5'8""",475,,30/6/2024,3833,Southport,Vanarama National League North,0,43,86.0,46.0,72.0,5.76,39.8,86.0,5.76,4.58,0.29,0.14,0.70,33%
2000125526,Finley Barbrook,"DM, M (C)",19,"6'0""",350,,30/6/2025,3218,Tonbridge,Vanarama National League South,0,48,87.0,46.0,74.0,5.07,42.96,87.0,5.07,3.47,0.3,0.13,0.59,10%
29141057,Lloyd Humphries,DM,26,"5'9""",375,,30/6/2025,2316,Weston-super-Mare,Vanarama National League South,0,49,87.0,46.0,76.0,4.89,44.69,87.0,4.89,4.0,0.57,0.22,0.78,15%
2000144685,Josh Home,"DM, M (C)",18,"5'9""",475,,30/6/2025,3211,Weston-super-Mare,Vanarama National League South,0,49,89.0,45.0,75.0,6.49,47.93,89.0,6.49,4.26,0.48,0.11,0.67,17%
28127070,Hayden Lindley,"DM, M (C)",21,"6'0""",850,,30/6/2025,1534,Darlington,Vanarama National League North,0,51,89.0,45.0,69.0,7.03,48.17,89.0,7.03,5.75,0.18,0.1,0.70,67%
29185231,Tom Mehew,"DM, M (C)",23,"6'1""",475,,30/5/2025,4049,Chippenham,Vanarama National League South,0,45,88.0,45.0,66.0,7.32,46.34,88.0,7.32,3.89,0.43,0.17,0.71,19%
29173985,Alfie Payne,"DM, M (C)",24,"5'10""",350,,30/6/2025,4046,Braintree,Vanarama National League South,0,50,88.0,44.0,82.0,7.79,46.31,88.0,7.79,4.76,0.76,0.13,0.60,33%
2000125469,Liam Humbles,"DM, M (C)",20,"5'11""",450,,30/6/2025,3340,Maidstone,Vanarama National League South,0,44,88.0,44.0,74.0,6.46,45.3,88.0,6.46,4.26,0.2,0.14,0.70,19%
2000086213,SebastiÃ¡n CortÃ©s,"DM, M (C)",18,"6'0""","1,700",,30/6/2026,1151,Boston Utd,Vanarama National League North,0,54,89.0,43.0,85.0,6.55,41.6,89.0,6.55,3.91,0.25,0.07,0.63,50%
2000274729,Henry Young,"DM, M (C)",19,"6'0""",0,,-,2058,Dover,Vanarama National League South,0,47,87.0,43.0,88.0,7.08,46.18,87.0,7.08,3.94,0.33,0.12,0.74,24%
2000120283,Ryan Carr,"D (R), DM, M (C)",19,"5'10""",575,,30/6/2025,2861,Dartford,Vanarama National League South,0,50,88.0,42.0,75.0,6.89,44.32,88.0,6.89,3.59,0.79,0.19,0.79,32%
90091351,Nathan Newall,D/WB (L),22,"6'0""",0,,-,3796,Alfreton,Vanarama National League North,0,44,80.0,42.0,79.0,9.63,32.77,80.0,9.63,4.41,1.19,0.08,0.38,19%
28019949,Adam Barton,M (C),33,"6'2""",300,,30/6/2024,2489,Curzon Ashton,Vanarama National League North,0,44,83.0,42.0,65.0,5.85,32.11,83.0,5.85,3.0,0.36,0.05,0.69,42%
2000123314,Nathan Tinsdale,"DM, M (C)",18,"5'11""",475,,30/6/2025,1118,Peterborough Sports,Vanarama National League North,0,50,86.0,41.0,88.0,7.89,41.78,86.0,7.89,4.59,0.4,0.12,1.85,39%
2000160252,George Wilkinson,DM,20,"5'9""",120,,30/6/2024,3385,Dover,Vanarama National League South,0,47,88.0,41.0,82.0,6.25,46.53,88.0,6.25,3.43,0.41,0.15,0.32,33%
29210194,George Hunt,"DM, M (C)",22,"6'0""",400,,30/6/2026,3262,Hampton & Richmond,Vanarama National League South,0,53,89.0,41.0,82.0,7.9,45.08,89.0,7.9,3.37,0.35,0.11,0.77,25%
90013911,Sam Walker,"DM, M (C)",37,"5'9""",575,,30/6/2024,1519,King's Lynn,Vanarama National League North,0,46,87.0,40.0,67.0,8.58,55.99,87.0,8.58,3.61,0.18,0.07,1.24,33%
29086214,Shep Murombedzi,"DM, M (C)",29,"5'9""",675,,30/6/2025,3802,Brackley,Vanarama National League North,0,49,90.0,39.0,73.0,6.01,49.21,90.0,6.01,4.73,0.33,0.07,0.83,26%
29233888,Matty McDonald,M/AM (C),21,"6'4""",450,,30/6/2025,3562,Warrington,Vanarama National League North,0,46,86.0,39.0,82.0,8.28,32.92,86.0,8.28,3.03,1.59,0.13,1.59,35%
29223285,Adam Porter,"DM, M (C)",22,"5'8""",350,,30/6/2025,4026,Truro,Vanarama National League South,0,51,88.0,38.0,79.0,7.99,43.88,88.0,7.99,4.16,0.52,0.05,0.56,24%
2000137611,Luke Woolston,"DM, M (C)",19,"5'10""","1,200",,30/6/2025,1677,Spennymoor,Vanarama National League North,0,49,86.0,38.0,69.0,7.84,46.53,86.0,7.84,5.21,0.31,0.08,0.86,31%
2000118114,Sahid Nallo,"DM, M (C)",19,"5'10""",65,,30/6/2024,1035,Banbury,Vanarama National League North,0,44,89.0,38.0,79.0,5.69,42.87,89.0,5.69,2.96,0.86,0.05,0.70,25%
2000113748,Brad McGregor,"WB (L), DM, M (C)",19,"5'8""",375,,30/6/2025,3924,Hereford,Vanarama National League North,0,46,86.0,37.0,68.0,7.75,41.4,86.0,7.75,4.01,0.31,0.15,1.15,22%
29194266,Alfie Bates,"DM, M (C)",23,"5'7""",825,,30/6/2024,4233,Brackley,Vanarama National League North,0,49,85.0,37.0,76.0,10.34,44.27,85.0,10.34,5.02,0.59,0.23,1.38,32%
29113880,Alex Purver,"DM, M (C)",28,"5'10""",675,,30/6/2026,3673,Scarborough Athletic,Vanarama National League North,0,50,87.0,35.0,74.0,7.89,47.17,87.0,7.89,5.61,0.61,0.09,1.20,33%
2000147435,Harry Titchmarsh,"DM, M (C)",19,"5'10""",400,,30/6/2025,3334,Havant & W,Vanarama National League South,0,54,88.0,34.0,71.0,7.62,44.49,88.0,7.62,3.59,0.79,0.15,0.57,19%
29159021,Luke Russe,"DM, M (C)",24,"5'9""",575,,30/6/2026,2474,Bath City,Vanarama National League South,0,47,90.0,34.0,72.0,8.25,44.64,90.0,8.25,3.49,0.48,0.05,0.76,19%
29159555,Cameron Hargreaves,M (C),25,"5'10""",825,,30/6/2024,2655,King's Lynn,Vanarama National League North,0,46,87.0,33.0,68.0,7.06,42.58,87.0,7.06,3.53,1.06,0.09,0.92,26%
28049717,Lawson D'Ath,M (C),31,"5'9""",325,,30/6/2025,3358,Banbury,Vanarama National League North,0,44,85.0,32.0,76.0,8.97,38.35,85.0,8.97,4.1,1.98,0.18,1.39,33%
2000106594,Jerry Lawrence,"DM, M (C)",19,"5'7""",475,,30/6/2026,2647,Weymouth,Vanarama National League South,0,51,87.0,32.0,69.0,8.35,44.4,87.0,8.35,3.88,0.32,0.2,0.65,21%
95034574,Louis McGrory,"D (R), DM, M (C)",26,"5'9""",230,,30/6/2025,2047,Gloucester,Vanarama National League North,0,48,88.0,31.0,75.0,7.57,40.41,88.0,7.57,3.25,0.46,0.04,0.84,26%
2000225291,Ralfi Hand,"DM, M (C)",19,"6'0""",525,,30/6/2025,2079,Eastbourne Borough,Vanarama National League South,0,52,87.0,31.0,68.0,8.55,45.02,87.0,8.55,4.03,0.27,0.28,0.82,16%
28099485,Dan Pybus,"DM, M (C)",26,"5'10""",700,,30/6/2026,4256,Dorking,Vanarama National League,0,50,89.0,31.0,72.0,8.04,46.33,89.0,8.04,3.79,0.17,0.11,0.70,27%
29217122,Elliott Bolton,"DM, M (C)",22,"5'3""",525,,30/6/2025,3136,Weymouth,Vanarama National League South,0,51,88.0,31.0,78.0,10.24,41.79,88.0,10.24,3.73,0.79,0.11,0.92,44%
29153889,Connor Kirby,M (C),25,"5'7""",525,,30/6/2025,2387,Buxton,Vanarama National League North,0,46,86.0,30.0,78.0,7.54,39.59,86.0,7.54,4.0,0.77,0.25,1.06,25%
95031504,Sam Corne,M (C),27,"5'7""",575,,30/6/2024,1602,Maidstone,Vanarama National League South,0,44,88.0,30.0,76.0,6.59,42.13,88.0,6.59,3.88,0.5,0.24,0.73,15%
28094022,Alex Wiles,M (C),27,"5'8""",400,,30/6/2025,1347,Scarborough Athletic,Vanarama National League North,0,50,86.0,27.0,67.0,8.49,45.7,86.0,8.49,6.15,1.0,0.07,0.87,23%
28094827,Josh Smile,"DM, M (C)",27,"5'6""",300,,30/6/2024,3318,Gloucester,Vanarama National League North,0,48,89.0,27.0,79.0,7.5,42.69,89.0,7.5,3.2,1.02,0.17,1.08,23%
28127061,Ludwig Francillette,D (C),25,"6'4""","1,100",,30/6/2024,1103,Eastleigh,Vanarama National League,0,50,83.0,87.0,92.0,4.73,45.29,83.0,4.73,3.26,0.08,0.05,1.22,13%
29233762,Sam Leverett,M (C),21,"5'9""",170,,30/6/2025,1144,Farsley,Vanarama National League North,0,47,86.0,20.0,88.0,8.25,42.17,86.0,8.25,4.56,0.44,0.1,1.10,14%
29085674,Lewis Maloney,"DM, M (C)",29,"5'8""",650,,30/6/2026,4354,Scarborough Athletic,Vanarama National League North,0,50,90.0,20.0,76.0,10.27,46.3,90.0,10.27,4.42,0.62,0.19,1.90,32%
2000124632,Jean Claude Makiessi,"DM, M (C)",19,"5'8""",900,,30/6/2026,3231,Gloucester,Vanarama National League North,0,48,88.0,20.0,71.0,7.15,46.21,88.0,7.15,4.23,0.35,0.07,0.81,38%
28127127,Oli Ewing,"DM, M (C)",21,"5'7""","1,500",,30/6/2024,2912,Chester,Vanarama National League North,0,56,89.0,19.0,82.0,7.18,40.33,89.0,7.18,4.54,0.45,0.08,0.62,45%
29240055,Will Trueman,"M/AM (C), ST (C)",21,"5'10""",85,,30/6/2024,3699,Warrington,Vanarama National League North,0,46,84.0,19.0,77.0,6.66,30.44,84.0,6.66,2.99,0.69,0.12,0.92,45%
2000124630,Charlie Hickingbottom,D (C),19,"6'2""",475,,30/6/2025,2662,Farsley,Vanarama National League North,0,47,81.0,84.0,79.0,8.71,36.18,81.0,8.71,4.77,0.03,0.06,0.54,31%
29037157,Joe McNerney,D (C),34,"6'3""",650,,31/5/2025,2191,Havant & W,Vanarama National League South,0,54,78.0,83.0,80.0,5.13,42.27,78.0,5.13,3.82,-,0.04,1.19,24%
2000044538,Lebrun Mbeka,"D (C), DM",27,"6'6""",350,,30/6/2024,3587,Spennymoor,Vanarama National League North,0,49,85.0,83.0,78.0,8.36,42.65,85.0,8.36,3.71,0.78,0.05,1.56,44%
2000139665,Olly Evans,D (LC),19,"6'1""",400,,30/6/2024,3191,Bishop's Stortford,Vanarama National League North,0,45,82.0,82.0,79.0,9.87,36.61,82.0,9.87,3.89,0.11,0.07,0.28,50%
28100544,Reiss Greenidge,D (C),27,"6'6""",650,,30/6/2024,2587,Maidstone,Vanarama National League South,0,44,79.0,82.0,71.0,4.26,42.65,79.0,4.26,4.28,0.07,0.03,0.66,5%
52100897,Sean Callan,D (C),24,"6'2""",325,,30/6/2025,1564,Weston-super-Mare,Vanarama National League South,0,49,87.0,81.0,65.0,5.36,48.74,87.0,5.36,4.43,0.06,0.02,0.75,15%
90043947,Jake Lawlor,D (C),33,"6'4""",525,,30/6/2024,3636,Darlington,Vanarama National League North,0,51,82.0,81.0,84.0,9.8,44.75,82.0,9.8,4.21,-,0.04,0.82,52%
28128052,Nathan Carlyon,DM,22,"5'10""",725,,30/6/2028,"2,492",AFC Fylde,Vanarama National League,1,50,88.0,37.0,79.0,4.59,44.86,88.0,4.59,4.95,0.69,0.28,0.79,14%
29219118,Isaac Whitehall,"DM, M (C)",23,"6'0""",425,,30/6/2027,952,Scarborough Athletic,Vanarama National League,1,50,91.0,38.0,65.0,7.47,44.81,91.0,7.47,3.59,0.76,0.11,0.85,0%
29233083,Andres De Gracia,"DM, M (C)",22,"5'11""",600,Balanced,30/6/2027,"2,997",Eastbourne Borough,Vanarama National League South,1,57,89.0,64.0,79.0,9.4,47.84,89.0,9.4,4.95,0.66,0.17,0.66,23%
28127070,Hayden Lindley,"DM, M (C)",22,"6'0""","1,100",Fairly Determined,30/6/2026,"2,571",Darlington,Vanarama National League North,1,49,88.0,36.0,81.0,7.2,39.52,88.0,7.2,4.2,0.62,0.09,0.70,10%
29229012,Oliver Green,"DM, M (C)",22,"6'3""",250,,30/6/2026,"2,866",Haverfordwest,JD Cymru Premier,1,50,89.0,37.0,68.0,5.75,45.94,89.0,5.75,4.24,0.5,0.2,0.53,24%
29243919,Sam Dreyer,D (C),22,"6'3""",375,,30/6/2026,"3,989",Salisbury,Vanarama National League South,1,46,85.0,77.0,82.0,4.03,44.45,85.0,4.03,3.09,0.09,0.03,0.65,24%
2000131016,Ellis Stanton,M (C),20,"5'9""",475,,30/6/2026,"1,429",Spennymoor,Vanarama National League North,1,46,87.0,48.0,84.0,7.64,35.14,87.0,7.64,3.72,0.99,0.15,1.89,27%
89070937,George Sheridan,"D (C), DM, M (C)",22,"6'0""",55,Balanced,30/6/2026,"3,223",Oxford City,Vanarama National League North,1,48,88.0,56.0,72.0,8.78,51.77,88.0,8.78,3.8,0.56,0.10,0.92,27%
29139894,Connor Johnson,D (C),27,"6'1""",325,Balanced,30/6/2026,"3,246",Haverfordwest,JD Cymru Premier,1,50,85.0,66.0,69.0,3.13,45.67,85.0,3.13,3.41,0.17,0.02,0.78,7%
28127268,Eddie Jackson,D (R),22,"5'9""",170,Determined,30/6/2026,"2,381",Connah's Quay,JD Cymru Premier,1,50,82.0,70.0,71.0,11.83,36.21,82.0,11.83,4.57,0.45,0.06,1.70,16%
2000048045,Ryan Bartley,D (C),21,"5'11""",925,,30/6/2026,"1,234",Forest Green,Sky Bet League Two,1,50,82.0,75.0,74.0,8.17,40.62,82.0,8.17,3.72,0.36,0.03,0.73,40%
29229004,Jake Leake,"D (LC), WB (L)",22,"6'2""",300,Balanced,30/6/2026,"1,260",Curzon Ashton,Vanarama National League North,1,46,83.0,41.0,73.0,9.55,28.00,83.0,9.55,3.93,0.8,0.15,1.00,57%
29188048,George Cantrill,"DM, M (C)",25,"5'10""",300,Balanced,30/6/2026,"4,030",Alfreton,Vanarama National League North,1,51,90.0,33.0,75.0,8.65,48.13,90.0,8.65,3.84,1.14,0.12,1.14,35%
2000110565,Dan Myers,D (LC),23,"6'1""",240,Balanced,30/6/2026,"2,501",Spennymoor,Vanarama National League North,1,46,85.0,74.0,80.0,9.69,43.94,85.0,9.69,4.61,0.43,0.07,0.47,38%
28124744,Cardo Siddik,D (C),22,"6'3""",600,Balanced,30/6/2025,"3,587",Darlington,Vanarama National League North,1,49,84.0,85.0,73.0,9.47,46.67,84.0,9.47,4.89,0.13,0.07,0.48,47%
2000144681,Engwau Oduka,"D (C), DM, M (C)",20,"6'2""",350,Determined,30/6/2025,"3,500",King's Lynn,English Northern Premier League Premier Division,1,50,88.0,51.0,75.0,5.86,43.43,88.0,5.86,4.29,0.64,0.19,0.82,19%
29233762,Sam Leverett,"DM, M (LC)",22,"5'9""",170,Fairly Sporting,30/6/2025,"3,786",Farsley,Vanarama National League North,1,46,87.0,28.0,78.0,7.55,43.57,87.0,7.55,4.18,0.66,0.12,1.16,35%
29160404,Sam Fielding,"D (RC), DM, M (C)",26,"6'2""",275,Balanced,30/6/2025,"2,535",Spennymoor,Vanarama National League North,1,46,88.0,57.0,71.0,7.56,45.83,88.0,7.56,5.11,0.71,0.18,0.60,29%
28122194,Jonathon Page,"D (C), DM, M (C)",23,"5'9""",625,Balanced,30/6/2025,"2,808",South Shields,Vanarama National League,1,50,88.0,51.0,83.0,6.67,44.87,88.0,6.67,3.85,0.67,0.06,0.61,16%
2000135239,Edward Gyamfi,"D (R), DM, M (C)",21,"5'10""",325,Balanced,30/6/2025,"3,838",Tamworth,Vanarama National League North,1,51,87.0,62.0,73.0,6.78,37.24,87.0,6.78,3.05,0.30,0.06,0.45,53%
28099015,Ben Pollock,"D (C), DM, M (C)",27,"6'1""",475,Balanced,30/6/2025,"3,237",Spennymoor,Vanarama National League North,1,46,79.0,71.0,80.0,9.14,39.31,79.0,9.14,3.53,-,0.03,0.53,37%
29217427,Aaron Skinner,"D (RLC), WB (R), DM, M (C)",22,"5'9""",425,Balanced,30/6/2025,"3,715",Hereford,English Southern League Premier Central,1,50,82.0,55.0,76.0,7.24,39.32,82.0,7.24,3.15,0.41,0.08,1.11,20%
2002083560,Yusuf Ulusoy,D (L),25,"5'10""",300,Light-Hearted,30/6/2025,"1,438",Leamington,Vanarama National League North,1,47,82.0,62.0,82.0,10.69,34.55,82.0,10.69,4.69,0.19,0.09,0.56,44%
29226266,Luca Murphy,D (C),23,"6'4""",475,Balanced,30/6/2025,"2,031",Blyth,Vanarama National League North,1,64,90.0,84.0,68.0,11.26,70.99,90.0,11.26,6.51,-,0.03,1.15,35%
28100474,Jack Evans,"DM, M (C)",27,"6'1""",0,Fairly Professional,-,"1,723",Farsley,Vanarama National League North,1,46,86.0,52.0,78.0,8.9,42.99,86.0,8.9,4.81,1.15,0.13,1.62,39%
2000037847,Ben Kershaw,M (C),21,"6'2""",0,,-,"1,301",Penybont,JD Cymru Premier,1,50,88.0,53.0,61.0,6.09,44.27,88.0,6.09,3.67,0.35,0.17,0.90,31%
2000207729,Harvey Warren,D (RC),21,"6'1""",0,Balanced,-,"1,134",Leamington,Vanarama National League North,1,47,83.0,71.0,72.0,9.36,42.78,83.0,9.36,3.17,0.24,0.01,0.24,0%
28048010,Matt Dolan,"D (C), DM",32,"5'9""",325,,30/6/2025,"3,273",Scarborough Athletic,Vanarama National League,1,50,86.0,63.0,73.0,3.74,48.81,86.0,3.74,4.12,0.08,0.04,0.16,17%
