UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
2000142139,Bayley McCann,D/WB (L),18,"5'11""",0,600,,30/6/2026,1149,Scunthorpe,Vanarama National League North,1,64,88%,72.0,78.0,13.6,13.79,6.89,0.0,6.89,13.6,2.27,6.89,3.45,72.0
2000260847,Lewis Hudson,D (L),25,"5'9""",0,475,,31/5/2025,3921,Hereford,Vanarama National League North,1,50,82%,72.0,84.0,12.65,12.83,5.37,0.0,5.37,12.65,2.75,5.37,3.76,72.0
29003821,Mark Ellis,D (C),35,"6'2""",0,350,,30/6/2024,4133,Chorley,Vanarama National League North,1,59,85%,72.0,81.0,10.91,10.65,5.49,0.0,5.49,10.91,0.94,5.49,5.07,72.0
28047460,Andre Wisdom,D (RC),31,"6'1""",0,120,,30/6/2024,4344,Warrington,Vanarama National League North,1,44,81%,71.0,83.0,9.62,13.74,4.6,0.0,4.6,9.62,1.91,4.6,6.07,71.0
29218210,Nico Jones,D (C),22,"6'3""",0,0,,-,1770,Welling,Vanarama National League South,1,46,79%,71.0,83.0,4.81,17.34,4.73,0.0,4.73,4.81,1.27,4.73,6.76,71.0
2000027336,Harry Leeson,D (R),20,"6'0""",0,950,,30/6/2025,1418,Dartford,Vanarama National League South,1,51,83%,69.0,78.0,13.66,11.49,4.82,0.0,4.82,13.66,2.03,4.82,5.52,69.0
2000058107,Bobby Dailly,D (C),20,"6'0""",0,300,,30/6/2025,1108,Scarborough Athletic,Vanarama National League North,1,50,87%,68.0,68.0,9.58,15.51,6.66,0.0,6.66,9.58,1.38,6.66,6.99,68.0
29179541,Jack James,D/WB (R),24,"6'1""",0,350,,30/6/2024,3506,St. Albans,Vanarama National League South,1,50,82%,68.0,77.0,14.25,8.86,4.7,0.0,4.7,14.25,2.0,4.7,4.49,68.0
28047459,Alex Whittle,D (L),31,"5'8""",0,550,,30/6/2026,2261,Yeovil,Vanarama National League South,1,50,85%,67.0,79.0,12.22,13.33,5.89,0.0,5.89,12.22,2.19,5.89,4.02,67.0
2000121237,Kieran Burton,D (LC),21,"6'2""",0,575,,30/6/2025,2401,Eastbourne Borough,Vanarama National League South,1,57,85%,67.0,73.0,4.62,13.23,4.46,0.0,4.46,4.62,1.24,4.46,5.25,67.0
2000135400,Declan Hutchings,D/M (C),19,"5'11""",0,475,,30/6/2025,3879,Weston-super-Mare,Vanarama National League South,1,50,86%,67.0,86.0,3.48,16.06,4.22,0.0,4.22,3.48,0.86,4.22,4.62,67.0
90057675,Dwayne Wiley,D (C),32,"6'1""",0,300,,30/6/2024,1551,Alfreton,Vanarama National League North,1,51,76%,67.0,74.0,12.44,14.74,4.24,0.0,4.24,12.44,1.8,4.24,5.45,67.0
28115521,Jordan Thomas,D (R),23,"5'10""",0,425,,30/6/2027,3699,Hampton & Richmond,Vanarama National League South,1,50,84%,66.0,83.0,13.11,11.95,5.28,0.0,5.28,13.11,2.02,5.28,3.72,66.0
28116464,Cameron Evans,D (C),23,"5'11""",0,230,,-,3220,Taunton,Vanarama National League South,1,50,83%,66.0,74.0,3.75,16.94,4.25,0.0,4.25,3.75,0.73,4.25,5.00,66.0
90076147,Toby Lees,D (C),27,"6'3""",0,400,,30/6/2024,2444,Darlington,Vanarama National League North,1,49,82%,66.0,75.0,9.64,12.19,5.01,0.0,5.01,9.64,1.58,5.01,5.49,66.0
29171001,Ryan Law,D/WB (L),24,"6'0""",0,300,,30/6/2025,3764,Truro,Vanarama National League South,1,48,81%,66.0,87.0,11.95,12.48,4.9,0.0,4.9,11.95,2.77,4.9,4.38,66.0
28028342,Blair Adams,D/WB (L),32,"5'11""",0,575,,30/6/2024,2596,South Shields,Vanarama National League North,1,50,87%,66.0,84.0,10.64,13.56,8.18,0.0,8.18,10.64,1.77,8.18,4.61,66.0
2000058113,Kyle Smith,"D (RC), WB (R)",19,"5'8""",0,675,,30/6/2025,3891,Worthing,Vanarama National League South,1,50,89%,65.0,85.0,3.72,14.23,4.23,0.0,4.23,3.72,0.9,4.23,5.00,65.0
29191692,Will Dean,DM,23,"5'10""",0,180,,-,3731,Truro,Vanarama National League South,1,48,87%,64.0,77.0,6.36,11.53,4.44,0.0,4.44,6.36,1.86,4.44,3.23,64.0
90040871,Ryan Fryatt,D (C),30,"6'1""",0,400,,30/6/2024,2563,Peterborough Sports,Vanarama National League North,1,47,76%,64.0,80.0,10.47,12.92,5.09,0.0,5.09,10.47,1.26,5.09,5.41,64.0
28059654,Will Hayhurst,D/WB (L),30,"5'9""",0,230,,30/6/2024,3868,Curzon Ashton,Vanarama National League North,1,46,81%,64.0,80.0,13.46,11.8,4.58,0.0,4.58,13.46,2.05,4.58,3.93,64.0
29174585,Jack Bodenham,D (C),24,"6'2""",0,400,,30/6/2024,4495,Blyth,Vanarama National League North,1,64,91%,64.0,79.0,11.32,12.99,6.95,0.0,6.95,11.32,0.9,6.95,4.93,64.0
29193653,Dominic Revan,D (C),23,"6'4""",0,475,,30/6/2026,2950,Hampton & Richmond,Vanarama National League South,1,50,84%,63.0,81.0,5.46,16.41,4.48,0.0,4.48,5.46,1.31,4.48,5.13,63.0
20050511,Richard Bryan,D (R),28,"5'10""",0,825,,30/6/2024,3142,South Shields,Vanarama National League North,1,50,89%,63.0,81.0,9.91,12.63,10.11,0.0,10.11,9.91,1.49,10.11,3.67,63.0
2000135380,Nana Owusu-Gyimah,D/WB (R),19,"5'10""",0,475,,30/6/2025,1867,Torquay,Vanarama National League South,1,52,83%,63.0,92.0,14.01,12.73,4.92,0.0,4.92,14.01,2.89,4.92,4.92,63.0
28124739,Cameron Jessup,D (C),21,"6'0""",0,300,,30/6/2024,4406,Darlington,Vanarama National League North,1,49,83%,63.0,82.0,8.74,11.64,5.25,0.0,5.25,8.74,0.94,5.25,4.56,63.0
2000165812,Eduino Vaz,D (L),20,"6'0""",0,0,,-,3281,Aveley,Vanarama National League South,1,44,83%,63.0,87.0,11.51,12.97,5.6,0.0,5.6,11.51,2.47,5.6,3.76,63.0
