UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Hdr %,Pr passes/90,Tck/90,Pass %
2000040232,Danny Benson,D (C),20,"6'1""",0,850,,30/6/2025,2616,Maidstone,Vanarama National League South,1,50,85%,64.0,79.0,4.64,13.31,3.68,79.0,64.0,3.68,1.14,
29110619,Jason Pope,"D (RC), DM, M (C)",28,"5'11""",0,525,,30/5/2026,4029,Weston-super-Mare,Vanarama National League South,1,50,85%,64.0,65.0,6.08,10.68,3.4,65.0,64.0,3.4,0.96,
29174585,Jack Bodenham,D (C),24,"6'2""",0,400,,30/6/2024,4495,Blyth,Vanarama National League North,1,64,91%,64.0,79.0,8.15,12.99,6.95,79.0,64.0,6.95,0.9,
29191693,Jordan Dyer,D (C),24,"6'0""",0,425,,30/6/2026,2366,Bath City,Vanarama National League South,1,50,86%,63.0,80.0,3.88,17.99,3.39,80.0,63.0,3.39,0.91,
29193653,Dominic Revan,D (C),23,"6'4""",0,475,,30/6/2026,2950,Hampton & Richmond,Vanarama National League South,1,50,84%,63.0,81.0,5.46,16.41,4.48,81.0,63.0,4.48,1.31,
20050511,Richard Bryan,D (R),28,"5'10""",0,825,,30/6/2024,3142,South Shields,Vanarama National League North,1,50,89%,63.0,81.0,9.91,12.63,10.11,81.0,63.0,10.11,1.49,
2000135380,Nana Owusu-Gyimah,D/WB (R),19,"5'10""",0,475,,30/6/2025,1867,Torquay,Vanarama National League South,1,52,83%,63.0,92.0,13.45,12.73,4.92,92.0,63.0,4.92,2.89,
28124739,Cameron Jessup,D (C),21,"6'0""",0,300,,30/6/2024,4406,Darlington,Vanarama National League North,1,49,83%,63.0,82.0,8.91,11.64,5.25,82.0,63.0,5.25,0.94,
2000165812,Eduino Vaz,D (L),20,"6'0""",0,0,,-,3281,Aveley,Vanarama National League South,1,44,83%,63.0,87.0,12.89,12.97,5.6,87.0,63.0,5.6,2.47,
29159617,Mike Calveley,"DM, M (C)",24,"6'1""",0,350,,30/6/2025,4106,Chorley,Vanarama National League North,1,59,86%,63.0,73.0,6.77,7.96,4.82,73.0,63.0,4.82,1.8,
2000198889,Will Larvin,D (C),18,"5'10""",0,325,,30/6/2025,1160,Taunton,Vanarama National League South,1,50,85%,63.0,87.0,4.5,8.92,3.41,87.0,63.0,3.41,1.01,
29072357,Tom Platt,"DM, M (C)",30,"6'1""",0,400,,30/6/2024,4094,Darlington,Vanarama National League North,1,49,87%,63.0,68.0,8.31,9.32,3.89,68.0,63.0,3.89,1.71,
28105657,Owen Gallacher,D/WB (L),25,"5'9""",0,350,,30/6/2024,4098,Spennymoor,Vanarama National League North,1,46,84%,63.0,86.0,12.3,13.97,5.16,86.0,63.0,5.16,2.28,
89061641,Imran Uche,"DM, M (C)",25,"6'4""",0,600,,30/6/2024,2478,Eastbourne Borough,Vanarama National League South,1,57,87%,63.0,74.0,7.23,11.51,3.78,74.0,63.0,3.78,1.89,
29005706,Josh Coulson,D (C),35,"6'3""",0,"1,100",,30/6/2024,3044,King's Lynn,Vanarama National League North,1,50,83%,63.0,78.0,8.96,12.18,3.16,78.0,63.0,3.16,0.86,
29107492,Declan Weeks,"DM, M (C)",28,"5'9""",0,400,,30/6/2026,4424,Chester,Vanarama National League North,1,47,89%,63.0,74.0,10.86,7.97,5.27,74.0,63.0,5.27,1.4,
2000166425,Casey Shann,D/WB (L),20,"6'0""",0,825,,30/6/2025,3927,Worthing,Vanarama National League South,1,50,85%,63.0,86.0,15.01,10.27,6.21,86.0,63.0,6.21,2.43,
2000142141,Nathan James,D (C),19,"6'1""",0,475,,30/6/2024,2436,Maidstone,Vanarama National League South,1,50,88%,62.0,86.0,4.36,16.77,3.99,86.0,62.0,3.99,1.15,
2000036792,Jevon Mills,D (C),20,"6'0""",0,825,,30/6/2024,3921,Maidstone,Vanarama National League South,1,50,83%,62.0,74.0,4.32,16.0,4.29,74.0,62.0,4.29,0.78,
29139318,Cameron James,"DM, M (C)",26,"6'0""",0,550,,30/6/2026,4191,Chelmsford,Vanarama National League South,1,56,85%,62.0,79.0,9.43,13.72,3.52,79.0,62.0,3.52,1.98,
29031124,Chris Atkinson,"DM, M (C)",32,"6'1""",0,275,,30/6/2025,4150,Farsley,Vanarama National League North,1,46,86%,62.0,79.0,9.24,9.48,3.95,79.0,62.0,3.95,1.67,
2000074547,Sebastian Dabrowski,D (L),18,"5'11""",0,750,,30/6/2025,1004,Bath City,Vanarama National League South,1,50,89%,62.0,81.0,13.09,16.4,5.38,81.0,62.0,5.38,2.69,
29187947,Tom Pugh,"DM, M (C)",23,"5'10""",0,850,,30/6/2026,1695,Scunthorpe,Vanarama National League North,1,64,89%,62.0,81.0,7.81,7.86,4.3,81.0,62.0,4.3,2.28,
2000057896,Harrison Burke,D (C),21,"6'2""",0,350,,30/6/2026,4414,Chester,Vanarama National League North,1,47,89%,61.0,69.0,6.48,12.42,5.1,69.0,61.0,5.1,0.88,
152985,Michael Bostwick,D (C),36,"6'4""",0,925,,30/6/2024,3465,Boston Utd,Vanarama National League North,1,58,85%,61.0,81.0,7.9,8.62,5.01,81.0,61.0,5.01,1.69,
2000219410,Sam Odaudu,D (L),21,"6'1""",0,300,,30/5/2025,3579,Dartford,Vanarama National League South,1,51,86%,61.0,82.0,13.2,11.67,4.9,82.0,61.0,4.9,2.24,
89044152,Shamir Mullings,ST (C),30,"6'5""",0,140,,30/6/2025,1095,Truro,Vanarama National League South,1,48,85%,61.0,96.0,22.85,2.63,1.48,96.0,61.0,1.48,1.89,
52001886,Michael Smith,D/WB (R),35,"5'11""",0,"1,700",,30/6/2025,3044,Yeovil,Vanarama National League South,1,50,84%,60.0,88.0,9.73,20.81,5.41,88.0,60.0,5.41,2.01,
2000107842,Harrison Clark,"D (C), DM",21,"6'0""",0,275,,30/6/2025,1490,Blyth,Vanarama National League North,1,64,90%,60.0,86.0,9.72,12.87,8.7,86.0,60.0,8.7,1.15,
5113684,John White,D (C),37,"6'0""",0,240,,30/6/2025,1693,Braintree,Vanarama National League South,1,50,87%,60.0,89.0,4.52,10.84,2.92,89.0,60.0,2.92,0.85,
5109673,Martin Woods,M (C),38,"5'9""",0,400,,30/6/2024,2678,Boston Utd,Vanarama National League North,1,58,84%,60.0,88.0,10.75,7.09,5.81,88.0,60.0,5.81,2.02,
28028945,Lee Hodson,D (R),32,"5'11""",0,825,,30/6/2025,2929,Eastleigh,Vanarama National League,1,54,86%,60.0,78.0,14.23,11.92,4.89,78.0,60.0,4.89,1.91,
20044986,Callum Ross,"DM, M (C)",29,"6'2""",0,475,,30/6/2024,3815,Spennymoor,Vanarama National League North,1,46,87%,60.0,74.0,6.7,8.78,3.68,74.0,60.0,3.68,2.08,
29233083,Andres De Gracia,"DM, M (C)",21,"5'11""",0,325,,30/6/2025,2523,Eastbourne Borough,Vanarama National League South,1,57,87%,60.0,74.0,8.74,11.77,5.21,74.0,60.0,5.21,1.39,
2000105676,Joshua Lett,D (L),19,"5'9""",0,575,,30/6/2025,3546,Weston-super-Mare,Vanarama National League South,1,50,85%,59.0,80.0,15.13,13.83,5.46,80.0,59.0,5.46,2.01,
29191776,Dylan Crowe,D/WB (R),23,"5'11""",0,475,,30/6/2024,2176,King's Lynn,Vanarama National League North,1,50,79%,59.0,79.0,15.97,14.06,4.26,79.0,59.0,4.26,2.4,
2000077960,Azeem Abdulai,"DM, M (C)",21,"6'1""",0,"1,900",,30/6/2025,4140,Yeovil,Vanarama National League South,1,50,89%,59.0,85.0,5.5,16.28,4.41,85.0,59.0,4.41,2.26,
28128056,Joe Oliver,D/WB (R),21,"6'0""",0,375,,30/6/2025,4139,Blyth,Vanarama National League North,1,64,85%,59.0,84.0,18.96,13.2,7.68,84.0,59.0,7.68,1.8,
2000146810,Owen Cochrane,D (R),19,"5'10""",0,400,,30/6/2024,3284,Bishop's Stortford,Vanarama National League North,1,50,84%,59.0,79.0,10.91,11.87,3.48,79.0,59.0,3.48,2.38,
2000059228,Leo Hamblin,D (LC),21,"6'0""",0,0,,-,2526,Weymouth,Vanarama National League South,1,50,82%,58.0,80.0,15.14,10.8,4.81,80.0,58.0,4.81,2.17,
29217427,Aaron Skinner,"D (RLC), WB (R), DM, M (C)",22,"5'9""",0,425,,30/6/2025,3869,Hereford,Vanarama National League North,1,50,82%,58.0,81.0,11.58,14.1,4.33,81.0,58.0,4.33,2.58,
29217526,Blaine Rowe,D/WB (R),22,"5'9""",0,725,,30/6/2024,3452,Darlington,Vanarama National League North,1,49,85%,58.0,84.0,15.83,12.07,4.9,84.0,58.0,4.9,2.5,
2000191712,Brandon Powell,D/WB (L),18,"5'11""",0,775,,30/6/2025,1170,Peterborough Sports,Vanarama National League North,1,47,82%,58.0,84.0,15.38,11.0,4.54,84.0,58.0,4.54,1.62,
94001969,Gareth Dean,D (C),34,"6'2""",0,700,,30/6/2024,4067,Brackley,Vanarama National League North,1,45,86%,57.0,80.0,8.08,10.87,4.32,80.0,57.0,4.32,1.46,
29191368,James Melhado,D/WB (R),23,"6'1""",0,425,,30/6/2025,3578,Truro,Vanarama National League South,1,48,84%,57.0,76.0,14.82,10.54,4.75,76.0,57.0,4.75,2.19,
89068522,Jack Tompkins,D (R),22,"5'8""",0,170,,30/6/2025,3916,Banbury,Vanarama National League North,1,44,84%,57.0,84.0,12.59,12.32,3.4,84.0,57.0,3.4,2.18,
28102600,Joel Taylor,D (L),28,"5'11""",0,400,,30/6/2024,3721,Chester,Vanarama National League North,1,47,82%,57.0,83.0,14.8,13.96,5.9,83.0,57.0,5.9,2.61,
2000108275,Connor Pye,D (L),19,"5'6""",0,525,,30/6/2025,1916,Torquay,Vanarama National League South,1,52,85%,57.0,88.0,10.38,17.05,6.15,88.0,57.0,6.15,2.87,
2000201092,Evan Humphries,D (L),18,"5'8""",0,900,,30/6/2025,1669,Weymouth,Vanarama National League South,1,50,85%,57.0,75.0,13.64,13.0,5.82,75.0,57.0,5.82,2.26,
29194976,Harry Perritt,D (R),23,"6'1""",0,425,,30/6/2025,3927,Alfreton,Vanarama National League North,1,51,80%,56.0,79.0,13.13,14.44,4.7,79.0,56.0,4.7,2.15,
29235372,Ethan Sephton,D (L),24,"5'11""",0,300,,30/6/2025,1960,Gloucester,Vanarama National League North,1,47,86%,56.0,84.0,12.03,12.72,5.74,84.0,56.0,5.74,2.85,
52032604,Jimmy Keohane,"D/WB (RL), DM",33,"5'11""",0,925,,30/6/2024,1836,Rochdale,Vanarama National League,1,50,86%,56.0,84.0,10.05,12.55,4.66,84.0,56.0,4.66,2.4,
31037585,Joel Colbran,D (R),25,"6'1""",0,0,,-,2351,Worthing,Vanarama National League South,1,50,84%,56.0,72.0,10.64,15.89,5.17,72.0,56.0,5.17,1.57,
29110719,Josh Amis,ST (C),29,"6'1""",0,230,,30/6/2024,1469,Warrington,Vanarama National League North,1,44,83%,55.0,61.0,7.6,5.82,0.49,61.0,55.0,0.49,1.16,
29226255,Josh Owers,"DM, M (C)",22,"6'0""",0,700,,30/6/2025,2377,Yeovil,Vanarama National League South,1,50,90%,55.0,71.0,5.64,12.0,5.0,71.0,55.0,5.0,1.78,
28121648,Lucas Defise,"DM, M (C)",22,"5'10""",0,575,,30/6/2024,3843,Eastbourne Borough,Vanarama National League South,1,57,88%,55.0,74.0,7.52,15.13,5.5,74.0,55.0,5.5,1.9,
29158753,Alex Brown,D/WB (L),25,"5'9""",0,575,,30/6/2025,4372,Scarborough Athletic,Vanarama National League North,1,50,85%,55.0,76.0,11.73,15.5,7.12,76.0,55.0,7.12,2.94,
89061743,Elliot Forbes,"D (C), DM, M (C)",25,"6'4""",0,525,,30/6/2025,4337,Blyth,Vanarama National League North,1,64,90%,55.0,82.0,6.85,9.19,5.77,82.0,55.0,5.77,1.51,
2000124235,Elicha Ahui,D/WB (R),20,"5'11""",0,650,,30/6/2025,4005,Peterborough Sports,Vanarama National League North,1,47,83%,55.0,81.0,15.73,12.38,4.2,81.0,55.0,4.2,2.45,
28048861,Jack Sampson,ST (C),31,"6'2""",0,700,,30/6/2026,3387,Chorley,Vanarama National League North,1,59,86%,55.0,73.0,5.69,4.25,0.29,73.0,55.0,0.29,0.93,
29236904,Finley Craske,"D/WB (R), M (C)",21,"6'0""",0,650,,30/6/2026,3256,Torquay,Vanarama National League South,1,52,85%,55.0,77.0,14.1,10.59,4.59,77.0,55.0,4.59,1.82,
28058860,Adam Henley,D (RL),29,"5'10""",0,350,,30/6/2024,4337,Chorley,Vanarama National League North,1,59,85%,55.0,83.0,11.25,12.22,6.39,83.0,55.0,6.39,2.26,
29142516,Jake Evans,M (C),26,"5'9""",0,170,,30/6/2024,2470,Chippenham,Vanarama National League South,1,51,87%,55.0,81.0,11.4,9.22,4.12,81.0,55.0,4.12,2.19,
29163958,Reagan Ogle,D/WB (R),25,"5'8""",0,825,,30/6/2024,3669,Scunthorpe,Vanarama National League North,1,64,88%,54.0,83.0,12.9,13.1,7.51,83.0,54.0,7.51,2.13,
31036053,Ansu Janneh,"DM, M (C)",25,"6'1""",0,400,,30/6/2024,2556,Tonbridge,Vanarama National League South,1,48,89%,54.0,76.0,10.0,14.12,4.15,76.0,54.0,4.15,1.69,
29163923,Lewis Gard,"DM, M (C)",24,"5'8""",0,550,,30/6/2025,3472,Tonbridge,Vanarama National League South,1,48,87%,54.0,71.0,12.7,9.64,4.41,71.0,54.0,4.41,1.19,
29085673,Kieran Weledji,D (R),28,"6'2""",0,350,,30/6/2024,3802,Scarborough Athletic,Vanarama National League North,1,50,84%,54.0,77.0,11.72,12.81,5.26,77.0,54.0,5.26,2.27,
2000224402,Dan Barton,"DM, M (C)",18,"5'11""",0,675,,30/6/2025,2079,Slough,Vanarama National League South,1,50,88%,54.0,73.0,7.01,16.23,4.07,73.0,54.0,4.07,1.99,
29240108,Tom Sparrow,"DM, M (C)",21,"5'11""",0,"1,400",,30/6/2026,4059,South Shields,Vanarama National League North,1,50,91%,54.0,80.0,7.12,7.21,6.41,80.0,54.0,6.41,1.0,
29236446,Alex Aoraha,"DM, M (C)",21,"6'1""",0,575,,30/6/2025,2268,Braintree,Vanarama National League South,1,50,90%,53.0,86.0,7.5,12.22,4.52,86.0,53.0,4.52,2.38,
2000009603,Ryan Lowe,"DM, M (C)",20,"6'3""",0,475,,30/6/2025,1154,Dover,Vanarama National League South,1,49,87%,53.0,84.0,8.03,13.1,3.59,84.0,53.0,3.59,2.5,
5133909,Asa Hall,"DM, M (C)",37,"6'1""",0,925,,30/6/2024,1705,Torquay,Vanarama National League South,1,52,88%,53.0,81.0,13.35,17.05,3.22,81.0,53.0,3.22,2.32,
5120074,Anthony Grant,"DM, M (C)",36,"5'10""",0,575,,30/6/2024,3535,Welling,Vanarama National League South,1,46,88%,53.0,77.0,11.05,14.31,3.11,77.0,53.0,3.11,1.83,
2000125523,Harry Barbrook,D (L),19,"5'11""",0,350,,30/6/2024,3168,Hemel Hempstead,Vanarama National League South,1,46,83%,53.0,84.0,13.15,14.2,6.14,84.0,53.0,6.14,2.1,
28017257,Oscar Gobern,"DM, M (C)",33,"6'3""",0,400,,30/6/2025,2476,Hemel Hempstead,Vanarama National League South,1,46,88%,53.0,72.0,11.81,12.39,3.89,72.0,53.0,3.89,2.36,
2002081381,Aidan Ireland,D (R),17,"5'10""",0,180,,30/6/2025,1439,Warrington,Vanarama National League North,1,44,81%,53.0,81.0,11.82,14.01,6.07,81.0,53.0,6.07,1.63,
8611502,James Curtis,D (C),42,"6'7""",0,350,,30/6/2024,1965,Spennymoor,Vanarama National League North,1,46,80%,93.0,75.0,9.39,13.33,3.44,75.0,93.0,3.44,0.96,
2000191835,Lucien Mahovo,D (C),18,"6'2""",0,350,,30/6/2025,3741,Alfreton,Vanarama National League North,1,51,79%,89.0,78.0,9.74,15.61,2.69,78.0,89.0,2.69,1.03,
29128330,Marcus Poscha,D (C),27,"5'11""",0,230,,30/6/2024,3144,Curzon Ashton,Vanarama National League North,1,46,76%,88.0,79.0,12.22,13.63,3.89,79.0,88.0,3.89,1.32,
28127061,Ludwig Francillette,D (C),25,"6'4""",0,"1,100",,30/6/2024,1103,Eastleigh,Vanarama National League,1,54,83%,87.0,92.0,4.73,10.44,3.26,92.0,87.0,3.26,0.9,
89007828,Tom Broadbent,D (C),32,"6'3""",0,925,,30/6/2024,1934,South Shields,Vanarama National League North,1,50,82%,85.0,84.0,10.84,14.33,6.33,84.0,85.0,6.33,0.74,
2000124630,Charlie Hickingbottom,D (C),19,"6'2""",0,475,,30/6/2025,2662,Farsley,Vanarama National League North,1,46,81%,84.0,79.0,9.23,13.59,4.77,79.0,84.0,4.77,1.01,
29037157,Joe McNerney,D (C),34,"6'3""",0,650,,31/5/2025,2191,Havant & W,Vanarama National League South,1,48,78%,83.0,80.0,4.72,14.87,3.82,80.0,83.0,3.82,1.15,
2000044538,Lebrun Mbeka,"D (C), DM",27,"6'6""",0,350,,30/6/2024,3587,Spennymoor,Vanarama National League North,1,46,85%,83.0,78.0,8.53,13.07,3.71,78.0,83.0,3.71,1.68,
29189397,Max Ram,D (RC),23,"6'3""",0,350,,30/6/2024,3971,Gloucester,Vanarama National League North,1,47,86%,82.0,83.0,11.67,16.34,5.1,83.0,82.0,5.1,2.9,
2000139665,Olly Evans,D (LC),19,"6'1""",0,400,,30/6/2024,3191,Bishop's Stortford,Vanarama National League North,1,50,82%,82.0,79.0,10.86,14.3,3.89,79.0,82.0,3.89,3.13,
28100544,Reiss Greenidge,D (C),27,"6'6""",0,650,,30/6/2024,2587,Maidstone,Vanarama National League South,1,50,79%,82.0,71.0,4.77,12.73,4.28,71.0,82.0,4.28,0.87,
90092803,Devon Matthews,D (C),24,"6'3""",0,250,,30/6/2025,3251,Curzon Ashton,Vanarama National League North,1,46,77%,82.0,67.0,11.77,14.62,4.24,67.0,82.0,4.24,1.05,
52100897,Sean Callan,D (C),24,"6'2""",0,325,,30/6/2025,1564,Weston-super-Mare,Vanarama National League South,1,50,87%,81.0,65.0,5.47,14.56,4.43,65.0,81.0,4.43,0.86,
90043947,Jake Lawlor,D (C),33,"6'4""",0,525,,30/6/2024,3636,Darlington,Vanarama National League North,1,49,82%,81.0,84.0,9.6,14.18,4.21,84.0,81.0,4.21,1.21,
29188482,Kevin Berkoe,D/WB/M (L),23,"5'11""",0,325,,30/11/2027,"1,168",Longford,Irish First Division,2,50,86%,63.0,85.0,13.18,14.26,5.78,85.0,63.0,5.78,3.16,
29072743,Zak Mills,D/WB (R),32,"6'0""",0,500,,30/6/2027,"2,009",South Shields,Vanarama National League,2,50,86%,71.0,83.0,13.53,11.33,4.66,83.0,71.0,4.66,1.70,
29233083,Andres De Gracia,"DM, M (C)",22,"5'11""",0,600,Balanced,30/6/2027,"2,997",Eastbourne Borough,Vanarama National League South,2,50,89%,64.0,79.0,8.08,12.58,4.95,79.0,64.0,4.95,1.77,
29158345,Jordy Mongoy,AM (R),26,"5'9""",0,625,,30/6/2026,"1,890",Whitby,English Northern Premier League Premier Division,2,50,60%,55.0,68.0,0.76,0.43,0.05,68.0,55.0,0.05,1.10,
29157526,Ben Hedley,D/WB (RL),26,"5'10""",0,575,Balanced,30/6/2026,"3,780",Radcliffe,English Northern Premier League Premier Division,2,49,85%,72.0,81.0,12.12,11.57,5.17,81.0,72.0,5.17,1.86,
29243919,Sam Dreyer,D (C),22,"6'3""",0,375,,30/6/2026,"3,989",Salisbury,Vanarama National League South,2,50,85%,77.0,82.0,4.35,16.58,3.09,82.0,77.0,3.09,0.95,
89070937,George Sheridan,"D (C), DM, M (C)",22,"6'0""",0,55,Balanced,30/6/2026,"3,223",Oxford City,Vanarama National League North,2,46,88%,56.0,72.0,9.13,10.47,3.80,72.0,56.0,3.80,2.21,
2000027046,Mathew Mallon,D (R),21,"6'3""",0,625,,30/6/2026,"3,910",Chester,Vanarama National League North,2,50,79%,87.0,86.0,15.84,18.55,4.10,86.0,87.0,4.10,2.23,
29139894,Connor Johnson,D (C),27,"6'1""",0,325,Balanced,30/6/2026,"3,246",Haverfordwest,JD Cymru Premier,2,50,85%,66.0,69.0,3.13,19.27,3.41,69.0,66.0,3.41,0.75,
28126250,Kwaku Oduroh,WB (R),22,"6'0""",0,700,,30/6/2026,"1,067",Sutton,Sky Bet League Two,2,50,87%,63.0,90.0,17.21,9.78,4.13,90.0,63.0,4.13,2.28,
28127268,Eddie Jackson,D (R),22,"5'9""",0,170,Determined,30/6/2026,"2,381",Connah's Quay,JD Cymru Premier,2,50,82%,70.0,71.0,11.83,11.49,4.57,71.0,70.0,4.57,1.36,
2000091553,CJ Clarke,"D (R), DM, M (C)",22,"5'10""",0,500,Balanced,30/6/2026,"2,072",South Shields,Vanarama National League,2,50,88%,62.0,77.0,11.86,9.03,3.95,77.0,62.0,3.95,1.91,
2000048045,Ryan Bartley,D (C),21,"5'11""",0,925,,30/6/2026,"1,234",Forest Green,Sky Bet League Two,2,50,82%,75.0,74.0,8.17,6.42,3.72,74.0,75.0,3.72,1.02,
29128545,Kyron Farrell,D/WB/M (L),27,"5'11""",0,300,Balanced,30/6/2026,"4,350",Bath City,Vanarama National League South,2,50,85%,70.0,74.0,13.14,13.10,5.83,74.0,70.0,5.83,2.40,
2000110565,Dan Myers,D (LC),23,"6'1""",0,240,Balanced,30/6/2026,"2,501",Spennymoor,Vanarama National League North,2,44,85%,74.0,80.0,10.47,14.14,4.61,80.0,74.0,4.61,2.38,
2000202092,Charlie Goldsmith,"M (C), AM (RC)",19,"6'0""",0,275,Fairly Determined,30/6/2026,"2,146",Spennymoor,Vanarama National League North,2,44,81%,53.0,74.0,10.53,5.62,2.01,74.0,53.0,2.01,1.05,
2000117449,Harry Scarborough,"AM (R), ST (C)",22,"6'3""",0,325,Balanced,30/6/2026,"1,165",Boston Utd,Vanarama National League North,2,50,85%,67.0,75.0,10.12,4.94,1.16,75.0,67.0,1.16,0.93,
28124744,Cardo Siddik,D (C),22,"6'3""",0,600,Balanced,30/6/2025,"3,587",Darlington,Vanarama National League North,2,48,84%,85.0,73.0,9.66,14.38,4.89,73.0,85.0,4.89,1.33,
29219537,Brad Nicholson,"D (LC), WB (L)",26,"6'2""",0,325,Balanced,30/6/2025,"3,576",Boston Utd,Vanarama National League North,2,50,84%,62.0,78.0,13.69,10.17,4.58,78.0,62.0,4.58,2.09,
2000130212,Jayden Barber,D/WB (R),19,"6'3""",0,475,Fairly Determined,30/6/2025,"1,912",Worthing,Vanarama National League,2,50,85%,64.0,80.0,15.96,12.43,5.70,80.0,64.0,5.70,2.21,
2000207269,Harvey Fletcher,"DM, M (C), AM (R)",18,"5'3""",0,275,Balanced,30/6/2025,"1,657",Hyde,English Northern Premier League Premier Division,2,50,72%,75.0,74.0,0.33,0.60,0.33,74.0,75.0,0.33,2.17,
2000055713,Michael Stone,M (C),20,"5'9""",0,475,,30/6/2025,"3,150",Mickleover,English Isthmian League North Division,2,50,72%,63.0,75.0,0.11,0.31,0.20,75.0,63.0,0.20,1.97,
29160404,Sam Fielding,"D (RC), DM, M (C)",26,"6'2""",0,275,Balanced,30/6/2025,"2,535",Spennymoor,Vanarama National League North,2,44,88%,57.0,71.0,8.17,9.73,5.11,71.0,57.0,5.11,1.85,
2000135239,Edward Gyamfi,"D (R), DM, M (C)",21,"5'10""",0,325,Balanced,30/6/2025,"3,838",Tamworth,Vanarama National League North,2,53,87%,62.0,73.0,6.64,8.82,3.05,73.0,62.0,3.05,1.45,
28099015,Ben Pollock,"D (C), DM, M (C)",27,"6'1""",0,475,Balanced,30/6/2025,"3,237",Spennymoor,Vanarama National League North,2,44,79%,71.0,80.0,9.87,12.85,3.53,80.0,71.0,3.53,0.89,
2002081381,Aidan Ireland,D/WB (R),18,"5'10""",0,180,Balanced,30/6/2025,"4,098",Warrington,Vanarama National League North,2,47,80%,55.0,78.0,12.39,12.04,4.04,78.0,55.0,4.04,2.64,
29217427,Aaron Skinner,"D (RLC), WB (R), DM, M (C)",22,"5'9""",0,425,Balanced,30/6/2025,"3,715",Hereford,English Southern League Premier Central,2,41,82%,55.0,76.0,7.24,17.42,3.15,76.0,55.0,3.15,1.14,
2002083560,Yusuf Ulusoy,D (L),25,"5'10""",0,300,Light-Hearted,30/6/2025,"1,438",Leamington,Vanarama National League North,2,52,82%,62.0,82.0,11.33,14.65,4.69,82.0,62.0,4.69,2.88,
29226266,Luca Murphy,D (C),23,"6'4""",0,475,Balanced,30/6/2025,"2,031",Blyth,Vanarama National League North,2,69,90%,84.0,68.0,8.11,12.94,6.51,68.0,84.0,6.51,0.58,
2000042595,Jack Leckie,D (C),21,"6'6""",0,0,,-,"2,433",Warrington,Vanarama National League North,2,47,73%,64.0,74.0,11.28,13.76,3.33,74.0,64.0,3.33,1.37,
2000052149,Harvey Sutcliffe,D (R),21,"5'9""",0,0,,-,"2,006",Penybont,JD Cymru Premier,2,50,85%,61.0,91.0,14.18,11.93,5.70,91.0,61.0,5.70,2.29,
2000037847,Ben Kershaw,M (C),21,"6'2""",0,0,,-,"1,301",Penybont,JD Cymru Premier,2,50,88%,53.0,61.0,6.09,9.41,3.67,61.0,53.0,3.67,1.18,
89061032,Jordan Cullinane-Liburd,D (C),29,"6'3""",0,0,,-,"3,501",Tamworth,Vanarama National League North,2,53,81%,83.0,71.0,14.32,15.50,4.22,71.0,83.0,4.22,1.05,
2000207729,Harvey Warren,D (RC),21,"6'1""",0,0,Balanced,-,"1,134",Leamington,Vanarama National League North,2,52,83%,71.0,72.0,9.92,14.37,3.17,72.0,71.0,3.17,1.03,
28048010,Matt Dolan,"D (C), DM",32,"5'9""",0,325,,30/6/2025,"3,273",Scarborough Athletic,Vanarama National League,2,50,86%,63.0,73.0,3.74,15.73,4.12,73.0,63.0,4.12,0.99,
