UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Hdr %,Pr passes/90,Tck/90,Pass %
29158250,Harvey Smith,D (C),25,"6'0""",0,400,,30/6/2024,3362,Chorley,Vanarama National League North,1,59,84%,80.0,80.0,9.69,13.06,5.09,80.0,80.0,5.09,1.26,
29176525,Max Hunt,D (C),25,"6'6""",0,400,,30/6/2024,4307,Buxton,Vanarama National League North,1,48,83%,80.0,83.0,8.09,14.21,4.28,83.0,80.0,4.28,0.94,
61064263,Michael Kelly,D (L),26,"5'11""",0,"1,200",,30/6/2025,2016,Scunthorpe,Vanarama National League North,1,64,84%,80.0,72.0,11.47,15.85,7.54,72.0,80.0,7.54,2.41,
222823,Tai Fleming,D (C),22,"6'3""",0,240,,30/6/2025,4033,Banbury,Vanarama National League North,1,44,83%,79.0,90.0,9.39,15.31,3.06,90.0,79.0,3.06,0.98,
2000141112,Will Armitage,D (C),19,"6'3""",0,575,,30/6/2026,4498,South Shields,Vanarama National League North,1,50,92%,79.0,77.0,6.04,13.75,7.54,77.0,79.0,7.54,0.68,
28093200,Keenan Quansah,"D (RC), WB (R), DM",27,"6'4""",0,350,,30/6/2024,3388,Southport,Vanarama National League North,1,50,83%,79.0,76.0,10.07,14.03,3.83,76.0,79.0,3.83,2.15,
2000056887,Seydil Tour̩,D (C),20,"6'2""",0,475,,30/6/2025,3759,Braintree,Vanarama National League South,1,50,85%,78.0,82.0,4.96,13.07,3.83,82.0,78.0,3.83,1.17,
28124743,Dan Quick,D (C),21,"6'2""",0,525,,30/6/2024,2583,Eastbourne Borough,Vanarama National League South,1,57,85%,78.0,88.0,4.01,13.1,4.08,88.0,78.0,4.08,1.05,
57149460,Moses Makinde,D (L),31,"6'1""",0,600,,30/6/2025,1727,South Shields,Vanarama National League North,1,50,85%,77.0,77.0,12.92,15.43,9.07,77.0,77.0,9.07,1.93,
29023464,Aarran Racine,D (C),32,"6'2""",0,300,,30/6/2025,2570,Tonbridge,Vanarama National League South,1,48,86%,77.0,81.0,4.1,14.78,4.38,81.0,77.0,4.38,0.91,
