UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
29233083,Andres De Gracia,"DM, M (C)",21,"5'11""",0,325,,30/6/2025,2523,Eastbourne Borough,Vanarama National League South,1,57,87.0,60.0,74.0,11.81,11.77,5.21,0.0,5.21,11.81,1.39,5.21,2.53,60.0
2000077960,Azeem Abdulai,"DM, M (C)",21,"6'1""",0,"1,900",,30/6/2025,4140,Yeovil,Vanarama National League South,1,50,89.0,59.0,85.0,5.5,16.28,4.41,0.0,4.41,5.5,2.26,4.41,3.17,59.0
29217427,Aaron Skinner,"D (RLC), WB (R), DM, M (C)",22,"5'9""",0,425,,30/6/2025,3869,Hereford,Vanarama National League North,1,50,82.0,58.0,81.0,11.58,14.1,4.33,0.0,4.33,11.58,2.58,4.33,3.37,58.0
94001969,Gareth Dean,D (C),34,"6'2""",0,700,,30/6/2024,4067,Brackley,Vanarama National League North,1,45,86.0,57.0,80.0,6.68,10.87,4.32,0.0,4.32,6.68,1.46,4.32,4.76,57.0
2000108275,Connor Pye,D (L),19,"5'6""",0,525,,30/6/2025,1916,Torquay,Vanarama National League South,1,52,85.0,57.0,88.0,11.26,17.05,6.15,0.0,6.15,11.26,2.87,6.15,3.19,57.0
29235372,Ethan Sephton,D (L),24,"5'11""",0,300,,30/6/2025,1960,Gloucester,Vanarama National League North,1,47,86.0,56.0,84.0,10.71,12.72,5.74,0.0,5.74,10.71,2.85,5.74,3.26,56.0
52032604,Jimmy Keohane,"D/WB (RL), DM",33,"5'11""",0,925,,30/6/2024,1836,Rochdale,Vanarama National League,1,50,86.0,56.0,84.0,10.05,12.55,4.66,0.0,4.66,10.05,2.4,4.66,2.35,56.0
31037585,Joel Colbran,D (R),25,"6'1""",0,0,,-,2351,Worthing,Vanarama National League South,1,50,84.0,56.0,72.0,10.64,15.89,5.17,0.0,5.17,10.64,1.57,5.17,3.60,56.0
29226255,Josh Owers,"DM, M (C)",22,"6'0""",0,700,,30/6/2025,2377,Yeovil,Vanarama National League South,1,50,90.0,55.0,71.0,5.64,12.0,5.0,0.0,5.0,5.64,1.78,5.0,2.20,55.0
28121648,Lucas Defise,"DM, M (C)",22,"5'10""",0,575,,30/6/2024,3843,Eastbourne Borough,Vanarama National League South,1,57,88.0,55.0,74.0,10.16,15.13,5.5,0.0,5.5,10.16,1.9,5.5,2.01,55.0
29158753,Alex Brown,D/WB (L),25,"5'9""",0,575,,30/6/2025,4372,Scarborough Athletic,Vanarama National League North,1,50,85.0,55.0,76.0,11.73,15.5,7.12,0.0,7.12,11.73,2.94,7.12,3.21,55.0
29142516,Jake Evans,M (C),26,"5'9""",0,170,,30/6/2024,2470,Chippenham,Vanarama National League South,1,51,87.0,55.0,81.0,11.87,9.22,4.12,0.0,4.12,11.87,2.19,4.12,2.59,55.0
31036053,Ansu Janneh,"DM, M (C)",25,"6'1""",0,400,,30/6/2024,2556,Tonbridge,Vanarama National League South,1,48,89.0,54.0,76.0,9.25,14.12,4.15,0.0,4.15,9.25,1.69,4.15,2.75,54.0
29163923,Lewis Gard,"DM, M (C)",24,"5'8""",0,550,,30/6/2025,3472,Tonbridge,Vanarama National League South,1,48,87.0,54.0,71.0,11.74,9.64,4.41,0.0,4.41,11.74,1.19,4.41,2.07,54.0
29085673,Kieran Weledji,D (R),28,"6'2""",0,350,,30/6/2024,3802,Scarborough Athletic,Vanarama National League North,1,50,84.0,54.0,77.0,11.72,12.81,5.26,0.0,5.26,11.72,2.27,5.26,2.86,54.0
2000224402,Dan Barton,"DM, M (C)",18,"5'11""",0,675,,30/6/2025,2079,Slough,Vanarama National League South,1,50,88.0,54.0,73.0,7.01,16.23,4.07,0.0,4.07,7.01,1.99,4.07,2.21,54.0
