UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Tck R,Hdr %,Poss Won/90,Pr passes/90,Tck/90
29176525,Max Hunt,D (C),25,"6'6""",400,,30/6/2024,4307,Buxton,Vanarama National League North,0,46,83%,80.0,83.0,8.09,43.94,83.0,80.0,13.16,4.28,0.94
61064263,Michael Kelly,D (L),26,"5'11""","1,200",,30/6/2025,2016,Scunthorpe,Vanarama National League North,0,59,84%,80.0,72.0,11.47,47.9,72.0,80.0,19.33,7.54,2.41
222823,Tai Fleming,D (C),22,"6'3""",240,,30/6/2025,4033,Banbury,Vanarama National League North,0,44,83%,79.0,90.0,9.39,39.19,90.0,79.0,13.67,3.06,0.98
2000141112,Will Armitage,D (C),19,"6'3""",575,,30/6/2026,4498,South Shields,Vanarama National League North,0,59,92%,79.0,77.0,6.04,69.33,77.0,79.0,16.77,7.54,0.68
28093200,Keenan Quansah,"D (RC), WB (R), DM",27,"6'4""",350,,30/6/2024,3388,Southport,Vanarama National League North,0,43,83%,79.0,76.0,10.07,37.83,76.0,79.0,12.31,3.83,2.15
2000056887,Seydil Tour̩,D (C),20,"6'2""",475,,30/6/2025,3759,Braintree,Vanarama National League South,0,50,85%,78.0,82.0,4.96,43.86,82.0,78.0,13.07,3.83,1.17
28124743,Dan Quick,D (C),21,"6'2""",525,,30/6/2024,2583,Eastbourne Borough,Vanarama National League South,0,52,85%,78.0,88.0,4.01,45.51,88.0,78.0,13.65,4.08,1.05
57149460,Moses Makinde,D (L),31,"6'1""",600,,30/6/2025,1727,South Shields,Vanarama National League North,0,59,85%,77.0,77.0,12.92,52.53,77.0,77.0,18.82,9.07,1.93
29023464,Aarran Racine,D (C),32,"6'2""",300,,30/6/2025,2570,Tonbridge,Vanarama National League South,0,48,86%,77.0,81.0,4.1,46.54,81.0,77.0,14.21,4.38,0.91
2000022079,Ethan Sutcliffe,D (C),20,"6'1""",375,,30/6/2025,1165,Scunthorpe,Vanarama National League North,0,59,90%,77.0,75.0,7.18,67.67,75.0,77.0,16.96,4.48,0.46
29235898,Ronny Nelson,D (C),20,"6'5""",575,,30/6/2025,3727,Worthing,Vanarama National League South,0,53,86%,77.0,84.0,4.73,48.05,84.0,77.0,12.05,3.84,1.18
28049315,Zaine Francis-Angol,D/WB (L),30,"5'8""",475,,30/6/2024,3085,Buxton,Vanarama National League North,0,46,84%,77.0,83.0,11.49,38.36,83.0,77.0,12.96,7.32,2.28
29127855,Isaac Assenso,D (C),27,"6'3""",230,,30/6/2024,2273,Farsley,Vanarama National League North,0,47,76%,76.0,76.0,11.28,35.28,76.0,76.0,12.33,4.08,1.15
29038155,Blaine Hudson,D (C),32,"6'5""",300,,30/6/2025,2330,Chelmsford,Vanarama National League South,0,52,79%,76.0,75.0,5.25,40.4,75.0,76.0,20.4,4.4,0.81
52070952,Gary Boylan,"D (R), M (C)",28,"6'0""",450,,30/6/2025,2116,Weston-super-Mare,Vanarama National League South,0,49,84%,76.0,78.0,13.14,37.64,78.0,76.0,13.38,4.68,1.62
29219122,Jalil Saadi,D (C),22,"6'3""",875,,30/6/2024,3474,Yeovil,Vanarama National League South,0,57,83%,76.0,78.0,3.16,44.77,78.0,76.0,17.41,3.89,0.98
2000211483,Aaron Harper-Bailey,D (C),22,"6'3""",475,,30/6/2024,3847,Gloucester,Vanarama National League North,0,48,85%,76.0,76.0,7.81,43.44,76.0,76.0,14.17,3.09,1.05
2000192553,Charlie Stallard,D (C),20,"6'2""",525,,30/6/2024,3312,Hemel Hempstead,Vanarama National League South,0,50,87%,75.0,82.0,3.91,46.68,82.0,75.0,17.74,3.67,1.09
2000108352,Charlie Hayes-Green,D (C),19,"6'0""",575,,30/6/2025,1260,Peterborough Sports,Vanarama National League North,0,50,85%,75.0,91.0,10.71,43.57,91.0,75.0,15.21,4.71,1.43
29111157,Alex Finney,D (C),27,"6'4""",800,,30/6/2024,4335,Eastbourne Borough,Vanarama National League South,0,52,82%,75.0,74.0,4.94,41.92,74.0,75.0,17.15,3.61,1.08
29128545,Kyron Farrell,D (L),26,"5'11""",250,,30/6/2024,3999,Tamworth,Vanarama National League North,0,48,81%,75.0,82.0,13.68,42.83,82.0,75.0,15.11,7.29,2.14
2000120904,George Milner-Smith,D (C),20,"6'4""",300,,30/6/2025,1440,Dartford,Vanarama National League South,0,50,86%,75.0,87.0,3.5,44.5,87.0,75.0,13.94,3.81,0.81
28094135,Evan Gumbs,D (C),26,"5'10""",180,,30/6/2024,3750,Warrington,Vanarama National League North,0,46,80%,75.0,82.0,10.13,38.62,82.0,75.0,12.62,4.27,1.54
31042036,Baris Altintop,D (RC),23,"6'2""",475,,30/6/2025,4353,Braintree,Vanarama National League South,0,50,87%,75.0,76.0,4.84,44.97,76.0,75.0,18.53,3.58,1.08
2000255196,Jet Dyer,D (LC),19,"6'4""",350,,30/6/2025,2224,Aveley,Vanarama National League South,0,46,87%,75.0,81.0,8.54,43.71,81.0,75.0,12.18,4.45,1.7
5113683,Connell Rawlinson,D (C),32,"6'3""",925,,30/6/2025,2760,Yeovil,Vanarama National League South,0,57,80%,74.0,83.0,2.61,44.28,83.0,74.0,18.95,4.14,1.08
89024046,Jordaan Brown,D (C),32,"6'2""",120,,30/6/2024,4145,Rushall,Vanarama National League North,0,45,79%,74.0,79.0,10.9,41.78,79.0,74.0,12.59,3.69,0.98
31035171,Jacob Mensah,D (C),23,"6'0""",350,,-,4214,Dover,Vanarama National League South,0,47,81%,74.0,78.0,4.83,46.54,78.0,74.0,15.27,3.97,1.15
2000053510,Jay Haddow,D/WB (R),20,"6'1""",575,,30/6/2025,2731,Southport,Vanarama National League North,0,43,79%,74.0,77.0,13.87,30.52,77.0,74.0,12.69,3.43,2.47
