UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
2000108275,Connor Pye,D (L),19,"5'6""",0,525,,30/6/2025,1916,Torquay,Vanarama National League South,1,52,85.0,57%,88.0,10.38,17.05,88.0,85.0,1.42,0.0,1.42,0.17,0.38,50%
29194976,Harry Perritt,D (R),23,"6'1""",0,425,,30/6/2025,3927,Alfreton,Vanarama National League North,1,51,80.0,56%,79.0,13.13,14.44,79.0,80.0,1.14,0.0,1.14,0.09,0.16,14%
29158753,Alex Brown,D/WB (L),25,"5'9""",0,575,,30/6/2025,4372,Scarborough Athletic,Vanarama National League North,1,50,85.0,55%,76.0,11.73,15.5,76.0,85.0,1.13,0.0,1.13,0.09,0.25,33%
2000124235,Elicha Ahui,D/WB (R),20,"5'11""",0,650,,30/6/2025,4005,Peterborough Sports,Vanarama National League North,1,47,83.0,55%,81.0,15.73,12.38,81.0,83.0,2.5,0.0,2.5,0.3,1.08,42%
28048861,Jack Sampson,ST (C),31,"6'2""",0,700,,30/6/2026,3387,Chorley,Vanarama National League North,1,59,86.0,55%,73.0,5.69,4.25,73.0,86.0,1.1,0.0,1.1,0.06,4.65,45%
29142516,Jake Evans,M (C),26,"5'9""",0,170,,30/6/2024,2470,Chippenham,Vanarama National League South,1,51,87.0,55%,81.0,11.4,9.22,81.0,87.0,1.19,0.0,1.19,0.11,1.17,25%
29163958,Reagan Ogle,D/WB (R),25,"5'8""",0,825,,30/6/2024,3669,Scunthorpe,Vanarama National League North,1,64,88.0,54%,83.0,12.9,13.1,83.0,88.0,1.13,0.0,1.13,0.18,0.74,33%
29085673,Kieran Weledji,D (R),28,"6'2""",0,350,,30/6/2024,3802,Scarborough Athletic,Vanarama National League North,1,50,84.0,54%,77.0,11.72,12.81,77.0,84.0,1.16,0.0,1.16,0.19,0.43,33%
29172267,Tyler Walton,M/AM (R),25,"6'1""",0,600,,30/6/2025,3792,Southport,Vanarama National League North,1,50,84.0,52%,80.0,14.1,8.35,80.0,84.0,3.58,0.0,3.58,0.24,2.42,42%
61077642,Amadou KassaratÃ©,"DM, M (C)",28,"5'9""",0,0,,-,1230,Bishop's Stortford,Vanarama National League North,1,50,89.0,51%,94.0,6.22,8.41,94.0,89.0,1.1,0.0,1.1,0.15,1.83,32%
29175623,Cameron Green,D (L),25,"5'9""",0,575,,30/6/2025,4135,Welling,Vanarama National League South,1,46,83.0,51%,84.0,16.39,6.81,84.0,83.0,1.81,0.0,1.81,0.28,0.57,38%
2000182804,Ethan Moore,M/AM (R),19,"6'1""",0,575,,30/6/2024,2178,Torquay,Vanarama National League South,1,52,82.0,50%,81.0,12.31,5.12,81.0,82.0,2.62,0.0,2.62,0.27,1.24,43%
29192118,Kai Woollard-Innocent,D/WB (L),23,"5'9""",0,550,,30/6/2026,4507,Havant & W,Vanarama National League South,1,48,86.0,50%,84.0,13.88,12.56,84.0,86.0,1.1,0.0,1.1,0.13,0.08,50%
29222576,Yusifu Ceesay,M/AM (L),29,"6'2""",0,400,,30/6/2024,3658,Hereford,Vanarama National League North,1,50,82.0,49%,79.0,14.27,8.37,79.0,82.0,2.8,0.0,2.8,0.18,2.07,43%
28095475,Jacob Berkeley-Agyepong,"M (LC), AM (L)",27,"6'0""",0,700,,30/6/2024,2480,Maidstone,Vanarama National League South,1,50,83.0,49%,79.0,18.98,5.55,79.0,83.0,1.67,0.0,1.67,0.1,0.07,0%
37027600,Enzio Boldewijn,M/AM (RL),31,"6'1""",0,"1,400",,30/6/2025,3003,Eastleigh,Vanarama National League,1,54,80.0,49%,83.0,21.76,5.3,83.0,80.0,2.93,0.0,2.93,0.12,1.05,40%
29160404,Sam Fielding,"D (C), DM, M (C)",25,"6'2""",0,275,,30/6/2025,1051,Spennymoor,Vanarama National League North,1,46,86.0,49%,70.0,9.16,9.42,70.0,86.0,1.35,0.0,1.35,0.14,0.77,33%
29191771,Kian Ronan,D/WB (R),23,"5'9""",0,575,,30/6/2024,1452,King's Lynn,Vanarama National League North,1,50,84.0,49%,81.0,16.12,12.46,81.0,84.0,2.23,0.0,2.23,0.09,0.56,22%
28059805,Luke Coulson,M (R),30,"5'8""",0,475,,30/6/2026,1520,Dartford,Vanarama National League South,1,51,84.0,49%,92.0,15.99,5.68,92.0,84.0,2.23,0.0,2.23,0.12,1.42,29%
90069813,Lassana Mendes,"M (RC), AM (R)",31,"5'10""",0,575,,30/6/2024,1697,Hereford,Vanarama National League North,1,50,85.0,49%,80.0,14.32,9.18,80.0,85.0,2.44,0.0,2.44,0.24,2.12,48%
28100985,Ollie Shenton,M/AM (C),26,"5'9""",0,575,,30/6/2024,3861,Chorley,Vanarama National League North,1,59,88.0,48%,76.0,10.77,6.71,76.0,88.0,1.88,0.0,1.88,0.16,0.98,36%
28100363,Dan Ward,M (C),26,"5'10""",0,"1,200",,30/6/2025,1461,Oldham,Vanarama National League,1,50,87.0,47%,93.0,17.13,8.81,93.0,87.0,1.36,0.0,1.36,0.13,0.49,75%
29233758,Billy Fewster,AM (L),20,"5'10""",0,475,,30/6/2025,2965,Alfreton,Vanarama National League North,1,51,80.0,46%,86.0,14.63,8.44,86.0,80.0,3.93,0.0,3.93,0.26,1.70,43%
29163921,Tom Clifford,D/WB (L),24,"5'8""",0,"1,000",,30/6/2025,3307,King's Lynn,Vanarama National League North,1,50,85.0,46%,80.0,13.5,11.97,80.0,85.0,1.77,0.0,1.77,0.16,0.71,50%
90091780,Connor Woods,AM (R),26,"5'8""",0,350,,30/6/2024,3734,Warrington,Vanarama National League North,1,44,84.0,45%,85.0,14.68,8.7,85.0,84.0,2.99,0.0,2.99,0.28,1.83,36%
2000108081,MatÃºÅ¡ HolÃ­Äek,AM (L),19,"6'0""",0,575,,30/6/2025,3649,South Shields,Vanarama National League North,1,50,84.0,45%,94.0,12.85,6.24,94.0,84.0,3.23,0.0,3.23,0.19,2.27,45%
2000124240,Hayden Pickard,D/WB (L),18,"5'10""",0,475,,30/6/2026,2665,Boston Utd,Vanarama National League North,1,58,81.0,45%,87.0,14.25,12.9,87.0,81.0,2.21,0.0,2.21,0.1,0.17,60%
29233076,Osazee Aghatise,M (C),21,"5'11""",0,575,,30/6/2025,3732,South Shields,Vanarama National League North,1,50,89.0,45%,77.0,8.44,6.46,77.0,89.0,1.09,0.0,1.09,0.15,2.44,33%
