UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
29072743,Zak Mills,D/WB (R),32,"6'0""",0,475,,30/6/2024,3732,Boston Utd,Vanarama National League North,1,58,82.0,74.0,78.0,24.49,14.61,5.88,78.0,82.0,3.63,0.0,3.63,0.23,1.01,38%
90083933,Morgan Williams,D (RC),24,"6'2""",0,"1,200",,30/6/2026,2220,Yeovil,Vanarama National League South,1,50,83.0,73.0,84.0,8.35,13.09,5.15,84.0,83.0,1.09,0.21,1.09,0.04,1.38,29%
29141826,Sam Bone,"D (RC), WB (R)",25,"6'5""",0,700,,30/6/2024,3108,Maidstone,Vanarama National League South,1,50,85.0,73.0,78.0,12.28,16.71,4.11,78.0,85.0,1.16,0.020000000000000004,1.16,0.23,0.38,15%
28106570,Louis Hall,D/WB (L),25,"6'0""",0,180,,30/6/2024,3693,Banbury,Vanarama National League North,1,44,81.0,73.0,74.0,12.4,14.67,4.92,74.0,81.0,0.77,0.03,0.77,0.14,0.76,16%
29193987,Keenan Ferguson,D (R),23,"6'0""",0,350,,30/6/2025,2236,Spennymoor,Vanarama National League North,1,46,83.0,73.0,88.0,11.56,14.45,4.43,88.0,83.0,0.93,0.0,0.93,0.22,0.76,32%
90075628,Matt Curley,D/WB (R),28,"5'9""",0,230,,30/6/2024,3898,Tamworth,Vanarama National League North,1,51,82.0,72.0,81.0,13.81,15.7,5.73,81.0,82.0,0.89,0.07,0.89,0.17,0.74,38%
2000142139,Bayley McCann,D/WB (L),18,"5'11""",0,600,,30/6/2026,1149,Scunthorpe,Vanarama National League North,1,64,88.0,72.0,78.0,13.6,13.79,6.89,78.0,88.0,1.69,0.02,1.69,0.11,0.16,0%
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84.0,71.0,82.0,19.6,11.62,8.21,82.0,84.0,2.2,0.040000000000000036,2.2,0.18,1.68,34%
29139507,George Fowler,D (RC),26,"6'1""",0,575,,30/6/2024,1890,Maidstone,Vanarama National League South,1,50,82.0,70.0,86.0,18.1,9.62,3.9,86.0,82.0,1.19,0.05,1.19,0.07,0.48,0%
29128504,Jack Doyle,D (L),27,"5'10""",0,475,,30/6/2024,4393,Southport,Vanarama National League North,1,50,78.0,69.0,83.0,14.57,13.95,4.92,83.0,78.0,0.88,0.0,0.88,0.22,0.39,26%
2000027336,Harry Leeson,D (R),20,"6'0""",0,950,,30/6/2025,1418,Dartford,Vanarama National League South,1,51,83.0,69.0,78.0,13.66,11.49,4.82,78.0,83.0,0.73,0.17,0.73,0.04,1.40,9%
29071976,Sam Minihan,D (R),30,"5'9""",0,350,,30/6/2024,3666,Buxton,Vanarama National League North,1,48,79.0,68.0,85.0,16.57,14.98,4.15,85.0,79.0,1.49,0.0,1.49,0.22,0.88,42%
