UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
29091260,David Moyo,"AM (L), ST (C)",29,"6'0""",0,350,,30/6/2024,1709,Chorley,Vanarama National League North,1,59,90.0,38.0,77.0,9.06,3.48,1.26,77.0,90.0,2.1,0.0,2.1,0.08,2.05,44%
29108194,Jack Stobbs,M/AM (R),27,"5'10""",0,675,,30/6/2025,1041,Torquay,Vanarama National League South,1,52,84.0,38.0,69.0,14.14,4.5,3.37,69.0,84.0,2.83,0.13,2.83,0.24,0.86,20%
29150496,Giovanni McGregor,M (C),25,"5'9""",0,0,,-,2136,Bishop's Stortford,Vanarama National League North,1,50,87.0,37.0,85.0,16.6,7.25,1.98,85.0,87.0,4.04,0.04000000000000001,4.04,0.23,1.77,33%
29174576,Leon Davies,D/WB (L),24,"6'1""",0,450,,30/6/2025,4257,Braintree,Vanarama National League South,1,50,84.0,37.0,84.0,15.81,12.11,3.81,84.0,84.0,1.78,0.0,1.78,0.18,0.21,50%
28121312,Sam Packham,D (R),22,"5'10""",0,600,,30/6/2024,4090,Worthing,Vanarama National League South,1,50,84.0,37.0,84.0,11.0,14.72,5.48,84.0,84.0,0.88,0.0,0.88,0.16,1.30,31%
29217232,Kian Scales,M (C),22,"5'11""",0,"1,200",,30/6/2025,3092,Scunthorpe,Vanarama National League North,1,64,89.0,37.0,78.0,11.08,7.39,3.03,78.0,89.0,2.97,0.07,2.97,0.13,1.66,35%
61042645,Cammy Smith,AM (C),28,"5'9""",0,600,,30/6/2025,1090,Woking,Vanarama National League,1,50,85.0,36.0,90.0,25.76,6.19,1.57,90.0,85.0,1.24,0.21,1.24,0.03,1.32,13%
29236490,Nahum Melvin-Lambert,ST (C),21,"6'1""",0,700,,30/6/2025,2872,Weymouth,Vanarama National League South,1,50,89.0,36.0,74.0,16.95,1.54,0.44,74.0,89.0,1.03,0.0,1.03,0.07,1.13,56%
29110602,Billy Whitehouse,M/AM (R),27,"5'11""",0,650,,30/6/2025,3971,Chorley,Vanarama National League North,1,59,86.0,36.0,81.0,17.77,6.75,3.11,81.0,86.0,5.46,0.0,5.46,0.18,1.36,52%
2000115007,Murtadha Al-Jahadhmy,"M (RL), AM (RLC)",20,"6'0""",0,100,,30/6/2024,3654,Banbury,Vanarama National League North,1,44,85.0,36.0,89.0,10.97,5.44,2.76,89.0,85.0,1.67,0.010000000000000009,1.67,0.17,1.43,33%
89061767,Craig Fasanmade,"AM (RL), ST (C)",23,"5'10""",0,350,,30/6/2025,3085,Chippenham,Vanarama National League South,1,51,84.0,36.0,87.0,20.06,2.16,1.6,87.0,84.0,1.87,0.0,1.87,0.06,1.72,41%
29058039,Darren Stephenson,ST (C),31,"6'0""",0,400,,30/6/2024,4124,Farsley,Vanarama National League North,1,46,85.0,36.0,73.0,8.79,6.22,1.51,73.0,85.0,1.36,0.0,1.36,0.12,2.90,40%
2000101289,Daniel Ogwuru,ST (C),19,"6'0""",0,"2,300",,30/6/2026,2686,Chelmsford,Vanarama National League South,1,56,90.0,35.0,71.0,15.05,3.12,0.74,71.0,90.0,1.27,0.019999999999999962,1.27,0.11,2.68,39%
52061165,Ola Adeyemo,ST (C),29,"6'0""",0,220,,30/6/2024,2164,Slough,Vanarama National League South,1,50,87.0,35.0,75.0,23.37,1.16,0.75,75.0,87.0,0.79,0.11,0.79,0.03,1.16,32%
29240039,Siyabonga Ligendza,ST (C),21,"5'10""",0,575,,30/6/2024,2360,Eastbourne Borough,Vanarama National League South,1,57,87.0,34.0,80.0,22.52,1.26,0.61,80.0,87.0,1.63,0.0,1.63,0.17,3.97,44%
2000154221,Jermaine Francis,AM (RL),22,"5'7""",0,375,,30/6/2026,3444,Chelmsford,Vanarama National League South,1,56,84.0,34.0,84.0,16.99,6.19,2.93,84.0,84.0,3.72,0.0,3.72,0.24,1.20,39%
29236394,Joseph Ajose,AM (RL),22,"6'1""",0,825,,30/6/2024,2458,St. Albans,Vanarama National League South,1,50,85.0,34.0,84.0,17.47,4.94,2.09,84.0,85.0,2.01,0.0,2.01,0.15,1.17,31%
94044706,Ryan Hill,AM (RC),26,"5'10""",0,875,,30/6/2025,1667,Dag & Red,Vanarama National League,1,50,86.0,34.0,85.0,15.28,5.18,2.92,85.0,86.0,2.16,0.0,2.16,0.28,1.40,35%
2000060514,Jason Adigun,M/AM (C),20,"6'6""",0,400,,30/6/2025,3331,Hemel Hempstead,Vanarama National League South,1,46,86.0,34.0,71.0,13.41,9.94,3.67,71.0,86.0,1.07,0.08,1.07,0.23,1.43,34%
29159555,Cameron Hargreaves,M (C),25,"5'10""",0,825,,30/6/2024,2655,King's Lynn,Vanarama National League North,1,50,87.0,33.0,68.0,8.24,8.92,3.53,68.0,87.0,1.15,0.0,1.15,0.09,0.92,26%
29073347,Miles Storey,"AM (L), ST (C)",30,"5'11""",0,350,,30/6/2024,3121,Curzon Ashton,Vanarama National League North,1,46,83.0,33.0,82.0,11.75,7.99,1.99,82.0,83.0,2.29,0.0,2.29,0.25,1.41,53%
29219102,Ken Charles,ST (C),23,"6'0""",0,230,,30/6/2024,3858,Banbury,Vanarama National League North,1,44,84.0,33.0,80.0,8.21,4.55,0.42,80.0,84.0,1.04,0.08000000000000002,1.04,0.15,3.10,40%
29237705,Caleb Chukwuemeka,ST (C),22,"6'3""",0,925,,30/6/2024,3577,King's Lynn,Vanarama National League North,1,50,85.0,32.0,78.0,6.89,4.63,0.65,78.0,85.0,1.13,0.0,1.13,0.02,2.69,48%
28049717,Lawson D'Ath,M (C),31,"5'9""",0,325,,30/6/2025,3358,Banbury,Vanarama National League North,1,44,85.0,32.0,76.0,10.05,5.39,4.1,76.0,85.0,1.58,0.039999999999999994,1.58,0.18,1.39,33%
67293765,Cedric Main,"AM (L), ST (C)",26,"5'11""",0,575,,30/6/2025,2700,Darlington,Vanarama National League North,1,49,84.0,32.0,67.0,7.77,4.73,0.63,67.0,84.0,0.97,0.06,0.97,0.05,2.23,61%
28083240,Jamie Allen,AM (R),29,"5'9""",0,300,,30/6/2024,2553,Curzon Ashton,Vanarama National League North,1,46,85.0,32.0,70.0,10.9,7.51,2.01,70.0,85.0,2.46,0.0,2.46,0.16,1.34,55%
28115924,Christian Norton,ST (C),23,"5'10""",0,475,,30/6/2024,4052,Chester,Vanarama National League North,1,47,89.0,32.0,83.0,8.13,5.93,1.22,83.0,89.0,1.55,0.0,1.55,0.12,2.78,46%
29218009,Jimmy Knowles,ST (C),23,"6'0""",0,775,,30/6/2025,3622,Boston Utd,Vanarama National League North,1,58,88.0,31.0,75.0,9.38,5.02,1.81,75.0,88.0,2.06,0.010000000000000009,2.06,0.2,3.13,50%
2000053517,Harrison Wood,AM (LC),19,"6'0""",0,"1,000",,30/6/2025,2847,Brackley,Vanarama National League North,1,45,87.0,31.0,80.0,8.14,6.26,2.15,80.0,87.0,1.14,0.0,1.14,0.1,2.12,39%
29142515,Tom Smith,M/AM (C),26,"5'9""",0,625,,30/6/2026,3596,Bath City,Vanarama National League South,1,50,87.0,31.0,80.0,13.21,10.71,2.93,80.0,87.0,0.78,0.0,0.78,0.2,0.93,49%
2000033300,Connor Evans,ST (C),20,"6'0""",0,450,,30/6/2025,3476,Warrington,Vanarama National League North,1,44,84.0,31.0,75.0,7.45,5.51,0.67,75.0,84.0,0.88,0.0,0.88,0.13,1.89,40%
95038298,Charlie Carter,M/AM (C),27,"6'2""",0,875,,30/6/2025,2986,Dorking,Vanarama National League,1,53,86.0,31.0,72.0,19.66,12.24,2.02,72.0,86.0,1.43,0.12,1.43,0.14,1.78,31%
2000166111,Jack Wood,AM (C),21,"5'8""",0,425,,30/6/2025,2136,St. Albans,Vanarama National League South,1,50,88.0,31.0,78.0,16.85,12.77,3.29,78.0,88.0,0.8,0.0,0.8,0.07,0.55,38%
29217122,Elliott Bolton,"DM, M (C)",22,"5'3""",0,525,,30/6/2025,3136,Weymouth,Vanarama National League South,1,50,88.0,31.0,78.0,9.84,13.12,3.73,78.0,88.0,0.77,0.0,0.77,0.11,0.92,44%
28127279,Ramello Mitchell,AM (RL),21,"5'10""",0,750,,30/6/2024,4392,Buxton,Vanarama National League North,1,48,85.0,30.0,85.0,11.57,7.11,1.97,85.0,85.0,2.66,0.0,2.66,0.24,2.42,43%
29153889,Connor Kirby,M (C),25,"5'7""",0,525,,30/6/2025,2387,Buxton,Vanarama National League North,1,48,86.0,30.0,78.0,8.45,7.05,4.0,78.0,86.0,0.74,0.030000000000000006,0.74,0.25,1.06,25%
28018322,Frank Nouble,"AM (L), ST (C)",32,"6'3""",0,"1,200",,30/6/2024,2918,Yeovil,Vanarama National League South,1,50,88.0,30.0,78.0,19.37,1.79,0.49,78.0,88.0,1.08,0.0,1.08,0.16,2.34,43%
29107362,Danny Whitehall,ST (C),28,"6'3""",0,"1,400",,30/6/2025,2988,Scunthorpe,Vanarama National League North,1,64,86.0,30.0,71.0,8.53,3.86,0.48,71.0,86.0,1.78,0.0,1.78,0.07,3.46,48%
29217479,Lewis Simper,M (C),22,"5'9""",0,"1,200",,30/6/2025,2220,Tamworth,Vanarama National League North,1,51,87.0,30.0,73.0,7.53,7.7,2.55,73.0,87.0,0.87,0.06999999999999999,0.87,0.13,1.86,43%
29080291,Tyler Harvey,"AM (C), ST (C)",28,"6'0""",0,325,,30/6/2025,3795,Truro,Vanarama National League South,1,48,85.0,30.0,77.0,17.38,12.57,1.83,77.0,85.0,0.79,0.0,0.79,0.2,1.68,35%
29156938,Luca Colville,AM (R),25,"6'1""",0,575,,30/6/2024,4307,Scarborough Athletic,Vanarama National League North,1,50,85.0,29.0,78.0,13.44,8.15,2.78,78.0,85.0,3.93,0.0,3.93,0.24,2.28,50%
29155387,Joe Re,"DM, M (C)",25,"5'7""",0,0,,-,1439,Hemel Hempstead,Vanarama National League South,1,46,86.0,29.0,70.0,11.64,6.32,4.07,70.0,86.0,1.1,0.0,1.1,0.06,0.69,18%
28059684,Elliott Whitehouse,M (C),30,"5'11""",0,575,,30/6/2024,1364,Chester,Vanarama National League North,1,47,88.0,29.0,82.0,8.72,8.45,5.08,82.0,88.0,1.77,0.0,1.77,0.11,1.25,21%
2000275749,Ade Adeyemo,"AM (RL), ST (C)",25,"6'0""",0,575,,30/6/2025,1022,Welling,Vanarama National League South,1,46,86.0,29.0,90.0,20.06,3.79,2.82,90.0,86.0,1.75,0.0,1.75,0.07,0.79,44%
29139358,Darren Foxley,AM (RL),27,"5'10""",0,350,,30/6/2024,3851,Bishop's Stortford,Vanarama National League North,1,50,83.0,29.0,87.0,14.82,7.41,2.34,87.0,83.0,3.53,0.07,3.53,0.24,1.40,37%
2000130150,Chibike Okechukwu,ST (C),19,"5'11""",0,525,,30/6/2024,1716,Taunton,Vanarama National League South,1,50,87.0,29.0,75.0,23.55,1.42,0.89,75.0,87.0,0.73,0.010000000000000009,0.73,0.04,1.94,43%
2000201868,Noah Preston-Watkins,"AM (R), ST (C)",18,"5'10""",0,275,,30/6/2025,2073,Truro,Vanarama National League South,1,48,86.0,28.0,83.0,18.99,3.21,1.39,83.0,86.0,1.5,0.0,1.5,0.1,1.35,32%
29234751,Will Bapaga,AM (L),21,"5'9""",0,0,,-,1333,Buxton,Vanarama National League North,1,48,81.0,28.0,84.0,13.5,8.64,1.82,84.0,81.0,3.18,0.22999999999999998,3.18,0.23,3.78,36%
2000058334,Ben Acquaye,AM (L),24,"5'10""",0,575,,30/6/2025,3871,Tamworth,Vanarama National League North,1,51,87.0,28.0,87.0,13.36,7.23,1.67,87.0,87.0,3.42,0.04999999999999999,3.42,0.2,2.07,45%
29217667,Will McGowan,"DM, M/AM (C)",21,"5'7""",0,525,,30/6/2025,3551,Blyth,Vanarama National League North,1,64,91.0,28.0,79.0,9.96,6.51,7.45,79.0,91.0,3.18,0.0,3.18,0.14,0.84,36%
2000042607,Jacob Hamilton,ST (C),19,"6'1""",0,350,,30/6/2025,2018,Torquay,Vanarama National League South,1,52,86.0,27.0,73.0,18.53,0.94,0.94,73.0,86.0,0.76,0.16000000000000003,0.76,0.04,3.48,45%
29176532,Keaton Ward,M/AM (C),24,"6'0""",0,400,,30/6/2025,2346,Boston Utd,Vanarama National League North,1,58,86.0,27.0,81.0,11.24,6.52,4.53,81.0,86.0,2.92,0.0,2.92,0.24,1.73,49%
28094022,Alex Wiles,M (C),27,"5'8""",0,400,,30/6/2025,1347,Scarborough Athletic,Vanarama National League North,1,50,86.0,27.0,67.0,8.49,8.69,6.15,67.0,86.0,1.0,0.0,1.0,0.07,0.87,23%
2000045440,Jakub Niemczyk,"AM (L), ST (C)",20,"5'10""",0,500,,30/6/2025,1115,Bath City,Vanarama National League South,1,50,84.0,27.0,74.0,16.14,3.39,2.1,74.0,84.0,1.94,0.0,1.94,0.11,2.02,48%
29066606,Jacob Hazel,ST (C),30,"5'11""",0,350,,30/6/2025,1553,Boston Utd,Vanarama National League North,1,58,89.0,27.0,68.0,9.18,4.35,0.99,68.0,89.0,2.06,0.030000000000000027,2.06,0.23,2.26,36%
28067664,JJ Hooper,ST (C),30,"6'1""",0,650,,30/6/2025,4817,Blyth,Vanarama National League North,1,64,90.0,27.0,76.0,9.21,3.1,0.65,76.0,90.0,2.47,0.0,2.47,0.09,2.22,48%
28094827,Josh Smile,"DM, M (C)",27,"5'6""",0,300,,30/6/2024,3318,Gloucester,Vanarama National League North,1,47,89.0,27.0,79.0,7.65,8.11,3.2,79.0,89.0,0.89,0.020000000000000004,0.89,0.17,1.08,23%
2000277659,David Ogbonna,AM (R),19,"6'0""",0,325,,30/5/2025,3069,Slough,Vanarama National League South,1,50,84.0,26.0,81.0,20.73,3.55,2.43,81.0,84.0,2.73,0.0,2.73,0.19,1.50,49%
29072749,Rob Ramshaw,M/AM (C),30,"5'10""",0,650,,30/6/2025,4464,Spennymoor,Vanarama National League North,1,46,87.0,26.0,72.0,7.64,5.48,1.39,72.0,87.0,1.82,0.01999999999999999,1.82,0.13,1.33,33%
2000031615,Fedel Ross-Lang,M/AM (L),20,"5'8""",0,700,,30/6/2025,4006,Torquay,Vanarama National League South,1,52,84.0,26.0,78.0,13.99,5.26,3.44,78.0,84.0,2.41,0.0,2.41,0.28,1.62,42%
29103880,Danny Elliott,ST (C),28,"6'0""",0,675,,30/6/2025,1564,Scunthorpe,Vanarama National League North,1,64,86.0,26.0,87.0,14.15,5.81,1.67,87.0,86.0,7.85,0.020000000000000018,7.85,0.17,2.82,45%
29165173,Jason Law,AM (RC),25,"5'11""",0,700,,30/6/2025,2235,Scunthorpe,Vanarama National League North,1,64,89.0,26.0,81.0,12.53,4.91,2.3,81.0,89.0,5.71,0.0,5.71,0.11,1.21,47%
29175036,Dom Tear,AM (RL),24,"5'11""",0,300,,30/6/2024,1439,Scarborough Athletic,Vanarama National League North,1,50,86.0,26.0,79.0,13.82,8.88,2.5,79.0,86.0,3.69,0.04999999999999999,3.69,0.23,2.19,34%
29240152,Euan Williams,AM (C),21,"6'1""",0,475,,30/6/2024,2992,Weston-super-Mare,Vanarama National League South,1,50,86.0,26.0,78.0,17.39,10.92,2.29,78.0,86.0,1.35,0.0,1.35,0.11,1.62,33%
28110963,Jordan Hickey,M (C),24,"5'10""",0,400,,30/6/2024,3243,Blyth,Vanarama National League North,1,64,91.0,26.0,81.0,13.46,6.3,5.36,81.0,91.0,4.4,0.09000000000000001,4.4,0.18,1.53,36%
29236679,Charlie Caton,ST (C),21,"5'9""",0,575,,30/6/2025,3813,Chester,Vanarama National League North,1,47,88.0,26.0,83.0,6.24,5.0,0.97,83.0,88.0,0.85,0.0,0.85,0.11,2.67,50%
2000110077,Morgan Williams,"DM, M/AM (C)",19,"5'8""",0,300,,30/6/2025,3999,Braintree,Vanarama National League South,1,50,83.0,26.0,80.0,20.14,13.32,2.12,80.0,83.0,1.1,0.0,1.1,0.22,2.12,37%
2000137628,Ash McCarthy,AM (L),19,"5'9""",0,400,,30/6/2025,2134,Eastbourne Borough,Vanarama National League South,1,57,84.0,26.0,91.0,20.99,9.19,4.01,91.0,84.0,2.84,0.03,2.84,0.06,0.72,18%
29158345,Jordy Mongoy,AM (R),25,"5'9""",0,575,,30/6/2024,2408,South Shields,Vanarama National League North,1,50,86.0,25.0,81.0,17.53,7.33,3.96,81.0,86.0,2.95,0.0,2.95,0.23,1.38,57%
29176137,Josh Hmami,M/AM (C),24,"5'9""",0,350,,30/6/2024,2193,Southport,Vanarama National League North,1,50,83.0,25.0,78.0,10.55,5.38,1.4,78.0,83.0,1.4,0.0,1.4,0.23,1.40,29%
89047064,Ollie Pearce,ST (C),28,"5'6""",0,700,,30/6/2026,3874,Worthing,Vanarama National League South,1,50,85.0,25.0,67.0,14.24,2.46,1.16,67.0,85.0,0.77,0.0,0.77,0.1,2.39,53%
29085989,Ed Williams,AM (LC),28,"5'11""",0,350,,30/6/2024,3385,Chippenham,Vanarama National League South,1,51,85.0,25.0,84.0,17.93,6.54,1.52,84.0,85.0,1.69,0.0,1.69,0.06,0.98,38%
90047169,Matt Warburton,"AM (C), ST (C)",32,"5'9""",0,850,,30/6/2025,1544,Solihull Moors,Vanarama National League,1,50,80.0,25.0,72.0,22.79,6.7,1.63,72.0,80.0,1.11,0.06,1.11,0.17,2.45,36%
28115640,Danny Cashman,"AM (C), ST (C)",23,"5'6""",0,950,,30/6/2026,4212,Worthing,Vanarama National League South,1,50,88.0,25.0,68.0,15.49,9.47,1.9,68.0,88.0,1.37,0.09999999999999999,1.37,0.18,1.65,40%
28106392,Tyreke Johnson,AM (L),25,"5'7""",0,350,,30/6/2024,3399,Chippenham,Vanarama National League South,1,51,86.0,24.0,76.0,18.56,4.16,1.8,76.0,86.0,2.24,0.08,2.24,0.1,1.40,36%
29188715,Matt Rush,ST (C),23,"5'10""",0,575,,30/6/2024,1785,Maidstone,Vanarama National League South,1,50,85.0,24.0,85.0,19.51,2.72,1.26,85.0,85.0,1.66,0.03,1.66,0.07,2.22,36%
29226256,Sam Pearson,M/AM (L),22,"5'11""",0,875,,30/6/2025,2115,Yeovil,Vanarama National League South,1,50,86.0,24.0,90.0,16.38,4.68,2.17,90.0,86.0,3.62,0.0,3.62,0.08,1.66,41%
29188048,George Cantrill,M (C),24,"5'10""",0,300,,30/6/2026,4246,Alfreton,Vanarama National League North,1,51,88.0,24.0,78.0,7.98,7.84,2.37,78.0,88.0,1.4,0.020000000000000004,1.4,0.11,1.06,40%
33083658,Tope Fadahunsi,ST (C),24,"5'11""",0,575,,30/6/2024,1682,Torquay,Vanarama National League South,1,52,88.0,24.0,75.0,19.06,1.71,0.7,75.0,88.0,1.69,0.0,1.69,0.09,2.68,42%
29243911,Nana Boateng,M/AM (RL),21,"5'3""",0,700,,30/6/2025,3108,Farnborough,Vanarama National League South,1,51,83.0,24.0,82.0,13.74,4.72,3.27,82.0,83.0,2.55,0.0,2.55,0.11,0.61,43%
29159367,Kyle Finn,"M (R), AM (RLC)",25,"5'10""",0,230,,30/6/2024,4425,Tamworth,Vanarama National League North,1,51,83.0,24.0,90.0,16.4,6.02,2.97,90.0,83.0,3.69,0.03,3.69,0.29,1.55,49%
29191982,Lewis Collins,AM (R),23,"5'10""",0,"1,100",,30/6/2027,2087,Torquay,Vanarama National League South,1,52,86.0,24.0,83.0,12.94,4.44,2.46,83.0,86.0,2.05,0.0,2.05,0.17,1.98,46%
89017853,Dayle Grubb,"M (L), AM (LC)",32,"5'10""",0,500,,30/6/2025,3954,Weston-super-Mare,Vanarama National League South,1,50,85.0,24.0,86.0,15.68,5.96,2.39,86.0,85.0,1.8,0.0,1.8,0.38,1.73,36%
74048740,Iwan Murray,M/AM (C),23,"5'5""",0,500,,30/6/2026,3779,Chester,Vanarama National League North,1,47,85.0,23.0,75.0,7.93,4.05,2.79,75.0,85.0,0.9,0.01999999999999999,0.9,0.18,1.45,33%
2000096159,Sam McLintock,M/AM (C),23,"5'9""",0,120,,30/6/2025,1113,Rushall,Vanarama National League North,1,50,86.0,23.0,71.0,8.89,5.09,2.26,71.0,86.0,1.46,0.0,1.46,0.13,2.10,46%
29156096,Stefan Mols,"M (RLC), AM (RC), ST (C)",25,"5'11""",0,230,,30/6/2024,2079,Curzon Ashton,Vanarama National League North,1,46,87.0,23.0,78.0,8.33,6.15,1.0,78.0,87.0,1.68,0.0,1.68,0.14,1.00,52%
2000163966,Reuben Marshall,ST (C),18,"5'8""",0,325,,30/6/2024,1951,Farsley,Vanarama National League North,1,46,86.0,22.0,76.0,7.69,5.12,0.92,76.0,86.0,1.39,0.0,1.39,0.07,1.85,50%
29007514,Sam Osborne,M/AM (RL),25,"5'10""",0,525,,30/6/2024,1117,Buxton,Vanarama National League North,1,48,87.0,22.0,88.0,10.38,6.28,0.81,88.0,87.0,2.65,0.0,2.65,0.08,1.85,61%
28127320,Tarrelle Whittaker,"AM (R), ST (C)",21,"5'7""",0,600,,30/6/2025,3129,Hemel Hempstead,Vanarama National League South,1,46,87.0,22.0,78.0,14.19,4.2,1.81,78.0,87.0,1.78,0.0,1.78,0.14,2.10,47%
29199240,Johl Powell,AM (C),24,"5'7""",0,325,,30/6/2025,1841,Dover,Vanarama National League South,1,49,84.0,22.0,88.0,16.87,8.8,2.2,88.0,84.0,0.77,0.04000000000000001,0.77,0.14,0.98,35%
89019879,Sean Shields,M/AM (L),32,"5'10""",0,350,,-,3095,Tonbridge,Vanarama National League South,1,48,84.0,22.0,90.0,21.59,4.68,1.95,90.0,84.0,1.81,0.0,1.81,0.22,1.60,40%
28122160,Harry Pinchard,"M (C), AM (L)",22,"5'9""",0,475,,30/6/2025,3542,Gloucester,Vanarama National League North,1,47,85.0,22.0,86.0,12.58,6.2,2.11,86.0,85.0,1.92,0.05,1.92,0.21,1.63,42%
29151103,Taylor Maloney,M/AM (C),25,"5'9""",0,625,,30/6/2026,4111,Dartford,Vanarama National League South,1,51,87.0,22.0,70.0,15.74,13.66,2.06,70.0,87.0,0.94,0.0,0.94,0.2,1.40,41%
2000028012,Jack Hazlehurst,M/AM (C),24,"5'7""",0,230,,30/6/2024,1121,Chorley,Vanarama National League North,1,59,90.0,22.0,73.0,12.54,6.42,3.69,73.0,90.0,1.59,0.0,1.59,0.19,1.12,50%
94055335,Solomon Wanjau-Smith,"AM (L), ST (C)",25,"5'8""",0,850,,30/6/2024,2435,Maidstone,Vanarama National League South,1,50,86.0,22.0,80.0,23.58,3.81,2.29,80.0,86.0,2.33,0.0,2.33,0.09,1.33,42%
2000192184,Kennedy Mupomba,M/AM (C),19,"5'9""",0,350,,30/6/2025,2358,Dover,Vanarama National League South,1,49,83.0,21.0,81.0,20.62,9.92,1.87,81.0,83.0,1.36,0.06,1.36,0.14,0.76,30%
94051916,Jason Cowley,ST (C),28,"5'9""",0,575,,30/6/2025,2230,Hereford,Vanarama National League North,1,50,86.0,21.0,69.0,6.05,3.39,0.65,69.0,86.0,1.29,0.0,1.29,0.09,2.26,50%
29242535,Nicky Gyimah,AM (RL),21,"5'10""",0,875,,30/6/2026,4340,Havant & W,Vanarama National League South,1,48,85.0,21.0,85.0,17.66,5.83,1.99,85.0,85.0,2.42,0.0,2.42,0.16,1.72,40%
2000224395,Cole Fleming,AM (RL),18,"6'1""",0,950,,30/6/2025,1350,Truro,Vanarama National League South,1,48,85.0,21.0,90.0,15.84,5.27,1.8,90.0,85.0,2.49,0.10999999999999999,2.49,0.24,1.93,41%
29158800,Jordan Young,"M (C), AM (LC)",24,"5'10""",0,"1,200",,30/6/2026,1571,Yeovil,Vanarama National League South,1,50,86.0,21.0,89.0,15.07,11.57,0.8,89.0,86.0,1.72,0.0,1.72,0.15,2.12,51%
29217235,Connor Shanks,AM (RL),22,"5'11""",0,350,,30/6/2025,1675,Spennymoor,Vanarama National League North,1,46,84.0,21.0,86.0,14.38,8.06,2.53,86.0,84.0,3.58,0.0,3.58,0.26,1.99,41%
2000137499,Morgan Wigley,AM (R),18,"5'11""",0,525,,30/6/2025,2656,Hereford,Vanarama National League North,1,50,83.0,21.0,82.0,15.18,6.68,2.91,82.0,83.0,4.03,0.0,4.03,0.21,1.02,33%
28127130,Ethan Fitzhugh,AM (RC),21,"5'8""",0,0,,-,1387,Banbury,Vanarama National League North,1,44,83.0,21.0,74.0,12.22,7.27,2.4,74.0,83.0,2.49,0.0,2.49,0.2,1.75,44%
28099482,Andrew Nelson,ST (C),26,"5'10""",0,525,,30/6/2024,2217,Darlington,Vanarama National League North,1,49,87.0,21.0,76.0,6.13,4.59,0.81,76.0,87.0,0.79,0.0,0.79,0.06,1.83,36%
48043754,Dylan Fage,AM (L),25,"5'10""",0,575,,-,3776,Worthing,Vanarama National League South,1,50,86.0,21.0,86.0,18.5,5.1,2.45,86.0,86.0,2.17,0.0,2.17,0.2,1.33,46%
5102897,Mark Marshall,AM (R),38,"5'7""",0,275,,30/6/2024,3011,Hampton & Richmond,Vanarama National League South,1,50,88.0,20.0,91.0,17.46,6.01,2.27,91.0,88.0,2.09,0.0,2.09,0.16,1.08,42%
30031451,Danny Newton,ST (C),33,"5'10""",0,925,,30/6/2024,3611,Brackley,Vanarama National League North,1,45,88.0,20.0,76.0,6.94,5.26,0.9,76.0,88.0,1.05,0.0,1.05,0.11,1.89,39%
29131412,Dion Sembie-Ferris,M/AM (RL),28,"5'9""",0,575,,30/6/2024,2208,Scunthorpe,Vanarama National League North,1,64,85.0,20.0,77.0,19.25,7.58,3.1,77.0,85.0,12.46,0.0,12.46,0.21,2.00,45%
89054430,Gabby Rogers,AM (RL),23,"5'8""",0,525,,30/6/2024,2109,King's Lynn,Vanarama National League North,1,50,83.0,20.0,79.0,14.68,6.66,2.22,79.0,83.0,3.12,0.0,3.12,0.22,1.24,38%
2000106507,Charlie Davis,"DM, M (C)",19,"5'9""",0,400,,30/6/2025,2563,Chelmsford,Vanarama National League South,1,56,89.0,20.0,71.0,13.73,12.47,3.9,71.0,89.0,1.14,0.0,1.14,0.1,0.91,27%
2000139200,Aaron Blair,ST (C),24,"5'11""",0,450,,30/6/2025,3668,Braintree,Vanarama National League South,1,50,87.0,20.0,78.0,22.6,2.11,0.52,78.0,87.0,1.32,0.0,1.32,0.09,2.23,57%
28095353,Dominic McHale,AM (RLC),27,"5'11""",0,700,,30/6/2024,4209,Scarborough Athletic,Vanarama National League North,1,50,87.0,20.0,77.0,8.55,5.26,2.35,77.0,87.0,1.88,0.0,1.88,0.17,1.56,40%
29156806,Liam Waldock,"DM, M/AM (C)",23,"5'10""",0,300,,30/6/2024,3574,Alfreton,Vanarama National League North,1,51,83.0,19.0,72.0,12.31,6.52,2.17,72.0,83.0,1.76,0.04000000000000001,1.76,0.15,1.56,39%
29191699,Jordan Stevens,M/AM (R),24,"5'10""",0,"1,300",,30/6/2026,2683,Yeovil,Vanarama National League South,1,50,87.0,19.0,79.0,19.52,4.6,2.48,79.0,87.0,3.52,0.0,3.52,0.15,2.01,40%
2000109166,Brad Williams,AM (R),19,"5'8""",0,0,,-,1263,King's Lynn,Vanarama National League North,1,50,82.0,19.0,74.0,14.96,6.77,2.07,74.0,82.0,3.71,0.0,3.71,0.21,1.71,38%
28105524,Jack Clarke,AM (C),25,"6'0""",0,675,,30/6/2024,1857,Eastbourne Borough,Vanarama National League South,1,57,85.0,19.0,92.0,22.03,10.08,1.94,92.0,85.0,1.91,0.0,1.91,0.14,1.55,41%
31052927,Leone Gravata,AM (C),23,"5'9""",0,625,,30/6/2025,2554,Eastbourne Borough,Vanarama National League South,1,57,83.0,19.0,84.0,23.64,7.05,2.01,84.0,83.0,2.0,0.0,2.0,0.14,1.30,54%
