UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
29163921,Tom Clifford,D/WB (L),24,"5'8""",0,"1,000",,30/6/2025,3307,King's Lynn,Vanarama National League North,1,50,85.0,46.0,80.0,13.5,11.97,80.0,85.0,1.77,0.0,1.77,0.16,0.71,50%
90091780,Connor Woods,AM (R),26,"5'8""",0,350,,30/6/2024,3734,Warrington,Vanarama National League North,1,44,84.0,45.0,85.0,11.71,8.7,85.0,84.0,1.89,0.04999999999999999,1.89,0.28,1.83,36%
2000108081,MatÃºÅ¡ HolÃ­Äek,AM (L),19,"6'0""",0,575,,30/6/2025,3649,South Shields,Vanarama National League North,1,50,84.0,45.0,94.0,12.85,6.24,94.0,84.0,3.23,0.010000000000000009,3.23,0.19,2.27,45%
2000124240,Hayden Pickard,D/WB (L),18,"5'10""",0,475,,30/6/2026,2665,Boston Utd,Vanarama National League North,1,58,81.0,45.0,87.0,20.19,12.9,87.0,81.0,4.44,0.0,4.44,0.1,0.17,60%
29164662,Justin Amaluzor,AM (R),27,"6'0""",0,875,,30/5/2025,1268,Altrincham,Vanarama National League,1,50,85.0,44.0,75.0,15.76,4.26,75.0,85.0,2.91,0.09999999999999998,2.91,0.2,1.92,44%
29113873,Tyler Denton,D (L),28,"5'9""",0,"1,100",,30/6/2024,3139,Scunthorpe,Vanarama National League North,1,64,85.0,44.0,76.0,19.01,11.67,76.0,85.0,2.78,0.0,2.78,0.1,0.52,22%
2000040253,Harrison Nejman,M (C),20,"5'10""",0,"1,000",,30/6/2025,2383,Alfreton,Vanarama National League North,1,51,85.0,43.0,77.0,8.97,6.53,77.0,85.0,1.89,0.0,1.89,0.16,1.25,33%
29194672,Will Dawes,M/AM (L),23,"6'1""",0,525,,30/6/2024,1093,Yeovil,Vanarama National League South,1,50,84.0,43.0,90.0,18.69,3.95,90.0,84.0,2.8,0.0,2.8,0.12,2.39,45%
90091351,Nathan Newall,D/WB (L),22,"6'0""",0,0,,-,3796,Alfreton,Vanarama National League North,1,51,80.0,42.0,79.0,12.59,13.8,79.0,80.0,1.48,0.03,1.48,0.08,0.38,19%
29243910,Tyrese Briscoe,"AM (L), ST (C)",21,"6'0""",0,500,,30/6/2025,3706,Hemel Hempstead,Vanarama National League South,1,46,86.0,42.0,91.0,15.89,4.86,91.0,86.0,1.92,0.09,1.92,0.11,1.36,30%
28116004,Tyrese Dyce,M/AM (L),23,"5'9""",0,350,,-,3668,Slough,Vanarama National League South,1,50,85.0,41.0,89.0,17.15,4.51,89.0,85.0,2.92,0.0,2.92,0.12,1.18,40%
2000117453,Matty Grivosti,AM (L),21,"5'10""",0,300,,30/6/2024,2502,Warrington,Vanarama National League North,1,44,82.0,40.0,84.0,11.24,9.17,84.0,82.0,1.51,0.0,1.51,0.18,1.37,26%
5124487,Nicky Deverdics,M (C),36,"6'0""",0,250,,30/6/2025,4388,Blyth,Vanarama National League North,1,64,88.0,40.0,87.0,23.07,5.85,87.0,88.0,3.72,0.0,3.72,0.2,1.54,48%
29107438,Jack Bridge,AM (L),28,"5'10""",0,"1,700",,30/6/2025,3644,Southend,Vanarama National League,1,50,87.0,39.0,83.0,14.25,11.73,83.0,87.0,2.03,0.0,2.03,0.12,0.05,50%
33068775,Scott Beeks,AM (C),24,"6'2""",0,550,,30/6/2025,3854,Blyth,Vanarama National League North,1,64,86.0,39.0,62.0,16.71,4.11,62.0,86.0,9.17,0.0,9.17,0.18,2.71,37%
2000060517,Tolu Ladapo,AM (L),20,"5'9""",0,475,,30/6/2025,1146,Weymouth,Vanarama National League South,1,50,86.0,39.0,68.0,15.24,4.01,68.0,86.0,2.28,0.0,2.28,0.05,1.10,29%
2000190582,Destiny Ojo,"AM (RL), ST (C)",18,"6'0""",0,500,,30/6/2025,2077,Taunton,Vanarama National League South,1,50,86.0,39.0,79.0,22.88,4.55,79.0,86.0,1.91,0.01999999999999999,1.91,0.08,1.30,47%
29091260,David Moyo,"AM (L), ST (C)",29,"6'0""",0,350,,30/6/2024,1709,Chorley,Vanarama National League North,1,59,90.0,38.0,77.0,11.05,3.48,77.0,90.0,3.12,0.0,3.12,0.08,2.05,44%
29108194,Jack Stobbs,M/AM (R),27,"5'10""",0,675,,30/6/2025,1041,Torquay,Vanarama National League South,1,52,84.0,38.0,69.0,14.73,4.5,69.0,84.0,3.07,0.13,3.07,0.24,0.86,20%
29150496,Giovanni McGregor,M (C),25,"5'9""",0,0,,-,2136,Bishop's Stortford,Vanarama National League North,1,50,87.0,37.0,85.0,16.6,7.25,85.0,87.0,4.04,0.04000000000000001,4.04,0.23,1.77,33%
29174576,Leon Davies,D/WB (L),24,"6'1""",0,450,,30/6/2025,4257,Braintree,Vanarama National League South,1,50,84.0,37.0,84.0,15.81,12.11,84.0,84.0,1.78,0.0,1.78,0.18,0.21,50%
29217232,Kian Scales,M (C),22,"5'11""",0,"1,200",,30/6/2025,3092,Scunthorpe,Vanarama National League North,1,64,89.0,37.0,78.0,15.39,7.39,78.0,89.0,5.72,0.07,5.72,0.13,1.66,35%
29110602,Billy Whitehouse,M/AM (R),27,"5'11""",0,650,,30/6/2025,3971,Chorley,Vanarama National League North,1,59,86.0,36.0,81.0,21.67,6.75,81.0,86.0,8.12,0.0,8.12,0.18,1.36,52%
89061767,Craig Fasanmade,"AM (RL), ST (C)",23,"5'10""",0,350,,30/6/2025,3085,Chippenham,Vanarama National League South,1,51,84.0,36.0,87.0,20.47,2.16,87.0,84.0,1.95,0.0,1.95,0.06,1.72,41%
2000101289,Daniel Ogwuru,ST (C),19,"6'0""",0,"2,300",,30/6/2026,2686,Chelmsford,Vanarama National League South,1,56,90.0,35.0,71.0,17.1,3.12,71.0,90.0,1.64,0.019999999999999962,1.64,0.11,2.68,39%
29240039,Siyabonga Ligendza,ST (C),21,"5'10""",0,575,,30/6/2024,2360,Eastbourne Borough,Vanarama National League South,1,57,87.0,34.0,80.0,26.19,1.26,80.0,87.0,2.21,0.0,2.21,0.17,3.97,44%
