UID,Name,Pas %,xA/90,Poss Lost/90
29235189,Keziah Martin,87%,0.22,9.88
28059635,David Morgan,86%,0.14,7.49
29233758,Billy Fewster,80%,0.26,14.63
29217934,Finley Shrimpton,89%,0.13,7.45
2000125526,Finley Barbrook,87%,0.13,5.48
29163921,Tom Clifford,85%,0.16,13.5
29141057,Lloyd Humphries,87%,0.22,5.09
90091780,Connor Woods,84%,0.28,14.68
2000144685,Josh Home,89%,0.11,6.75
28127070,Hayden Lindley,89%,0.1,6.75
2000108081,MatÃºÅ¡ HolÃ­Äek,84%,0.19,12.85
2000124240,Hayden Pickard,81%,0.1,14.25
29233076,Osazee Aghatise,89%,0.15,8.44
2000189964,Michael Adu-Poku,87%,0.03,19.3
29185231,Tom Mehew,88%,0.17,8.85
29173985,Alfie Payne,88%,0.13,7.79
2000125469,Liam Humbles,88%,0.14,8.11
29164662,Justin Amaluzor,85%,0.2,15.76
29233181,Fraser Alexander,88%,0.06,7.21
29113873,Tyler Denton,85%,0.1,9.86
2000040253,Harrison Nejman,85%,0.16,8.61
29194672,Will Dawes,84%,0.12,18.69
2000086213,SebastiÃ¡n CortÃ©s,89%,0.07,5.55
2000274729,Henry Young,87%,0.12,7.96
2000120283,Ryan Carr,88%,0.19,6.89
90091351,Nathan Newall,80%,0.08,12.09
29243910,Tyrese Briscoe,86%,0.11,18.53
28019949,Adam Barton,83%,0.05,7.34
29079175,Jak McCourt,88%,0.1,5.71
2000066158,Antony Papadopoulos,83%,0.25,12.49
2000123314,Nathan Tinsdale,86%,0.12,7.89
2000160252,George Wilkinson,88%,0.15,7.02
29210194,George Hunt,89%,0.11,6.98
28116004,Tyrese Dyce,85%,0.12,17.15
90013911,Sam Walker,87%,0.07,10.01
2000117453,Matty Grivosti,82%,0.18,14.1
29194204,Oliver Pendlebury,88%,0.16,12.29
2000116243,Mohammad Dabre,86%,0.14,15.65
29005420,Jacob Butterfield,88%,0.21,9.03
5124487,Nicky Deverdics,88%,0.2,11.96
29086214,Shep Murombedzi,90%,0.07,6.25
29107438,Jack Bridge,87%,0.12,14.25
33068775,Scott Beeks,86%,0.18,8.66
2000060517,Tolu Ladapo,86%,0.05,15.24
2000190582,Destiny Ojo,86%,0.08,22.88
8611502,James Curtis,80%,0.01,9.39
90038888,Mark Jones,88%,0.07,7.3
29233888,Matty McDonald,86%,0.13,9.65
2000054977,AndrÃ© Godfrinne,86%,0.03,5.44
2000122117,Ayyuba Jambang,84%,0.02,15.68
90069328,Dan Creaney,85%,0.06,6.05
90043868,Tom Peers,84%,0.12,11.02
29223285,Adam Porter,88%,0.05,7.67
29091033,Dan Lawlor,86%,0.16,11.99
28004617,Ryan Taylor,83%,0.04,5.78
29091260,David Moyo,90%,0.08,7.43
2000137611,Luke Woolston,86%,0.08,8.16
2000118114,Sahid Nallo,89%,0.05,7.13
29108194,Jack Stobbs,84%,0.24,13.57
29150496,Giovanni McGregor,87%,0.23,16.6
29174576,Leon Davies,84%,0.18,15.81
28121312,Sam Packham,84%,0.16,11.0
29217232,Kian Scales,89%,0.13,7.98
2000113748,Brad McGregor,86%,0.15,9.04
29194266,Alfie Bates,85%,0.23,10.76
61042645,Cammy Smith,85%,0.03,25.76
29236490,Nahum Melvin-Lambert,89%,0.07,16.95
2000102538,Murphy Bennett,86%,0.12,17.54
29110602,Billy Whitehouse,86%,0.18,14.57
2000115007,Murtadha Al-Jahadhmy,85%,0.17,12.29
2000146811,Harrison Smith,86%,0.12,19.12
89061767,Craig Fasanmade,84%,0.06,19.66
29058039,Darren Stephenson,85%,0.12,9.49
2000101289,Daniel Ogwuru,90%,0.11,13.24
52061165,Ola Adeyemo,87%,0.03,23.37
2000144689,Ben Beresford,84%,0.06,18.51
29113880,Alex Purver,87%,0.09,7.89
29240039,Siyabonga Ligendza,87%,0.17,19.37
89022338,Cody Cooke,91%,0.09,16.55
2000147435,Harry Titchmarsh,88%,0.15,6.45
2000154221,Jermaine Francis,84%,0.24,14.95
29236394,Joseph Ajose,85%,0.15,17.47
29036351,Will Hatfield,86%,0.14,9.99
94044706,Ryan Hill,86%,0.28,15.28
29159021,Luke Russe,90%,0.05,9.28
2000060514,Jason Adigun,86%,0.23,14.48
29159555,Cameron Hargreaves,87%,0.09,8.24
29073347,Miles Storey,83%,0.25,12.69
29219102,Ken Charles,84%,0.15,9.19
31042299,Jess Norey,83%,0.05,7.74
29237705,Caleb Chukwuemeka,85%,0.02,6.89
28049717,Lawson D'Ath,85%,0.18,11.26
67293765,Cedric Main,84%,0.05,7.93
28083240,Jamie Allen,85%,0.16,11.77
28115924,Christian Norton,89%,0.12,8.62
29243569,Harry Parsons,84%,0.03,19.25
2000106594,Jerry Lawrence,87%,0.2,8.02
29218009,Jimmy Knowles,88%,0.2,7.88
2000053517,Harrison Wood,87%,0.1,8.95
95034574,Louis McGrory,88%,0.04,8.18
29142515,Tom Smith,87%,0.2,13.21
2000225291,Ralfi Hand,87%,0.28,7.88
28099485,Dan Pybus,89%,0.11,8.04
2000033300,Connor Evans,84%,0.13,8.34
95038298,Charlie Carter,86%,0.14,18.48
2000166111,Jack Wood,88%,0.07,16.85
29031132,Jimmy Spencer,85%,0.05,5.2
29217122,Elliott Bolton,88%,0.11,9.84
28127279,Ramello Mitchell,85%,0.24,12.03
29153889,Connor Kirby,86%,0.25,8.79
28018322,Frank Nouble,88%,0.16,19.37
29107362,Danny Whitehall,86%,0.07,6.14
29217479,Lewis Simper,87%,0.13,7.38
29080291,Tyler Harvey,85%,0.2,18.07
95031504,Sam Corne,88%,0.24,8.26
29156938,Luca Colville,85%,0.24,13.44
29155387,Joe Re,86%,0.06,12.57
28059684,Elliott Whitehouse,88%,0.11,9.24
2000275749,Ade Adeyemo,86%,0.07,21.66
29139358,Darren Foxley,83%,0.24,14.82
2000130150,Chibike Okechukwu,87%,0.04,23.55
