Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Tony McMillan,42,300,"5'11""",1,245.0,5.8,GK,Southport,ENG,,77 kg,Unknown,,53.0,2.0,4.0,2.0,,0.0,,,14.33,1.47,0.0,1,0.37,5.14,0.0,0.0,,0.0,4.78,0.0,-9.19,5.14,14.33,1.47,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.64,1.34
Jack Connolly,23,0,"5'10""",1,472.0,5.2,M (C),St. Francis,IRL,,66 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,4.77,0.95,100.0,1,0.19,13.73,1.72,100.0,,31.0,0.19,0.19,8.96,13.73,4.77,0.95,74.0,,0.1,0.38,0.19,0.57,3.0,0.0,0.0,0.0,0.76,,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Delap,25,0,"5'8""",1,360.0,0.0,M/AM (RL),Letterkenny,IRL,,69 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,80.0,0,0.0,0.0,1.0,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Luke Rudden,21,0,"6'0""",1,292.0,12.5,ST (C),Cockhill,IRL,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,20.96,0.92,78.0,1,0.31,2.16,2.16,78.0,,44.0,0.31,0.31,-18.8,2.16,20.96,0.92,90.0,,0.08,0.31,0.62,1.54,2.5,-0.27,25.0,25.0,5.55,,1.0,0.3082191780821918,0.27,0.0,0.0,0.0
Sam Smart,25,475,"5'9""",1,837.0,13.4,M/AM (R),Boston Utd,ENG,,72 kg,€1.5K,,0.0,0.0,0.0,0.0,,0.0,,,10.54,2.47,79.0,1,1.4,7.53,1.61,79.0,,36.0,1.29,0.54,-3.01,7.53,10.54,2.47,83.0,,0.09,1.61,0.32,5.27,16.33,0.04,60.0,60.0,2.9,,1.0,0.10752688172043008,0.18,0.22,0.0,0.0
Ger Pender,29,0,"5'11""",1,360.0,0.0,ST (C),Ardmore Rovers,IRL,,74 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,67.0,0,0.0,0.0,0.5,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,0.03,0.0,0.0,0.0,0.0,0.14,60.0,60.0,0.0,,0.0,0.0,0.11,0.25,0.0,0.0
Steven Kinsella,25,0,"5'11""",1,540.0,12.6,AM (RL),Lucan Utd,IRL,,64 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,14.33,2.0,93.0,1,1.17,7.5,2.17,93.0,,22.0,1.83,0.17,-6.83,7.5,14.33,2.0,80.0,,0.35,1.33,1.17,9.17,7.86,-0.08,67.0,67.0,1.67,,1.0,0.16666666666666669,0.08,0.0,0.0,0.0
Anthony McAlavey,29,0,"5'7""",1,360.0,14.0,M/AM (C),Ringmahon,IRL,,67 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,19.25,0.5,100.0,1,1.75,21.5,0.75,100.0,,30.0,1.0,0.75,2.25,21.5,19.25,0.5,91.0,,0.16,1.5,0.25,8.5,34.0,-0.2,33.0,33.0,2.25,,0.0,0.0,0.2,0.0,0.0,0.0
Daniel Purdy,31,0,"5'7""",1,360.0,0.0,M/AM (R),Newtown Rangers,IRL,,63 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,60.0,0,0.0,0.0,0.75,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,,0.07,0.0,0.0,0.0,0.0,-0.17,50.0,50.0,0.0,,0.0,0.0,0.22,0.25,0.0,0.0
Karl Manahan,31,0,"6'0""",1,360.0,0.0,M (C),Greystones Utd,IRL,,81 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,100.0,0,0.0,0.0,1.5,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,,0.09,0.0,0.0,0.0,0.0,0.08,50.0,50.0,0.0,,0.0,0.0,0.17,0.25,0.0,0.0
