Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Sam Fielding,25,350,"6'2""",1,1359.0,13.7,"D (C), DM, M (C)",Spennymoor,ENG,,75 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,6.82,3.84,70.0,1,1.46,8.34,1.26,70.0,,45.0,0.99,0.66,1.52,8.34,6.82,3.84,91.0,,0.15,0.79,0.73,5.1,7.0,-0.02,33.0,33.0,2.12,,2.0,0.13245033112582782,0.09,0.07,0.0,0.0
Colin Kelly,22,0,"5'8""",1,360.0,12.1,ST (C),Mervue Utd,IRL,,69 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,17.0,0.0,67.0,0,1.25,3.5,0.5,67.0,,14.0,0.0,0.25,-13.5,3.5,17.0,0.0,85.0,,0.22,1.25,0.0,1.0,0.0,-0.14,60.0,60.0,1.75,,4.0,1.0,0.14,0.0,0.0,0.0
Lewis Miccio,25,230,"5'9""",1,2317.0,10.7,D (LC),Oxford City,NZL,,77 kg,€0,,0.0,0.0,0.0,0.0,,0.0,,,6.53,3.19,88.0,1,1.71,11.89,1.17,88.0,,66.0,1.48,0.31,5.36,11.89,6.53,3.19,86.0,,0.05,0.19,0.04,0.31,8.0,-0.02,6.0,6.0,5.09,,1.0,0.03884333189469141,0.06,0.04,0.0,0.0
Jordan Cullinane-Liburd,28,230,"6'3""",1,1832.0,12.5,D (C),Tamworth,ENG,,98 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,16.65,6.24,86.0,2,2.41,16.8,2.8,86.0,,79.0,2.8,0.44,0.15,16.8,16.65,6.24,82.0,,0.06,0.39,0.25,2.26,9.2,0.01,40.0,40.0,6.24,,0.0,0.0,0.04,0.05,0.0,0.0
James O'Brien,33,0,"6'0""",1,360.0,11.4,M (C),Bluebell Utd,IRL,,74 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.5,6.0,100.0,2,2.0,21.5,1.0,100.0,,27.0,2.25,0.75,8.0,21.5,13.5,6.0,95.0,,0.11,0.5,0.75,4.75,6.33,-0.03,0.0,0.0,0.75,,0.0,0.0,0.03,0.0,0.0,0.0
Jordaan Brown,32,120,"6'2""",1,3083.0,11.2,D (C),Rushall,ENG,,85 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.96,4.41,74.0,1,1.61,13.84,1.23,74.0,,73.0,2.19,0.35,4.88,13.84,8.96,4.41,86.0,,0.04,0.12,0.09,0.96,11.0,0.03,29.0,29.0,5.34,,0.0,0.0,0.03,0.09,0.0,0.0
Nathan Wood,26,700,"6'1""",1,189.0,13.0,M/AM (L),Cork City,WAL,,75 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.71,0.95,100.0,2,1.43,4.29,1.9,100.0,,0.0,2.38,0.48,-11.42,4.29,15.71,0.95,86.0,,0.08,1.43,0.48,4.29,9.0,0.78,50.0,50.0,0.0,,0.0,0.0,0.17,0.95,0.0,0.0
Luke Casey,23,0,"5'11""",1,450.0,12.0,AM (RL),Rockmount,IRL,,74 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,19.4,2.4,75.0,1,1.4,8.4,1.2,75.0,,38.0,1.2,0.2,-11.0,8.4,19.4,2.4,86.0,,0.3,2.2,1.4,9.8,7.0,-0.15,0.0,0.0,3.0,,2.0,0.4,0.15,0.0,0.0,0.0
Keenan Quansah,26,350,"6'4""",1,2610.0,12.0,D (RC),Southport,ENG,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.72,4.0,77.0,1,1.66,16.0,1.93,77.0,,80.0,1.62,0.31,4.28,16.0,11.72,4.0,81.0,,0.08,0.69,0.21,1.66,8.0,0.03,47.0,47.0,7.9,,0.0,0.0,0.04,0.07,0.0,0.0
John Lufudu,29,875,"5'10""",1,322.0,13.2,D/WB (R),South Shields,COD,,70 kg,€10K,,0.0,0.0,0.0,0.0,,0.0,,,13.98,8.39,100.0,2,4.75,17.33,0.56,100.0,,85.0,2.24,0.28,3.35,17.33,13.98,8.39,84.0,,0.16,0.0,1.12,6.71,6.0,0.0,0.0,0.0,6.15,,2.0,0.5590062111801242,0.0,0.0,0.0,0.0
