Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Luke Rudden,21,0,"6'0""",1,292.0,12.5,ST (C),Cockhill,IRL,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,20.96,0.92,78.0,1,0.31,2.16,2.16,78.0,,44.0,0.31,0.31,-18.8,2.16,20.96,0.92,90.0,,0.08,0.31,0.62,1.54,2.5,-0.27,25.0,25.0,5.55,,1.0,0.3082191780821918,0.27,0.0,0.0,0.0
Sam Smart,25,475,"5'9""",1,837.0,13.4,M/AM (R),Boston Utd,ENG,,72 kg,€1.5K,,0.0,0.0,0.0,0.0,,0.0,,,10.54,2.47,79.0,1,1.4,7.53,1.61,79.0,,36.0,1.29,0.54,-3.01,7.53,10.54,2.47,83.0,,0.09,1.61,0.32,5.27,16.33,0.04,60.0,60.0,2.9,,1.0,0.10752688172043008,0.18,0.22,0.0,0.0
Ger Pender,29,0,"5'11""",1,360.0,0.0,ST (C),Ardmore Rovers,IRL,,74 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,67.0,0,0.0,0.0,0.5,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,0.03,0.0,0.0,0.0,0.0,0.14,60.0,60.0,0.0,,0.0,0.0,0.11,0.25,0.0,0.0
Steven Kinsella,25,0,"5'11""",1,540.0,12.6,AM (RL),Lucan Utd,IRL,,64 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,14.33,2.0,93.0,1,1.17,7.5,2.17,93.0,,22.0,1.83,0.17,-6.83,7.5,14.33,2.0,80.0,,0.35,1.33,1.17,9.17,7.86,-0.08,67.0,67.0,1.67,,1.0,0.16666666666666669,0.08,0.0,0.0,0.0
Anthony McAlavey,29,0,"5'7""",1,360.0,14.0,M/AM (C),Ringmahon,IRL,,67 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,19.25,0.5,100.0,1,1.75,21.5,0.75,100.0,,30.0,1.0,0.75,2.25,21.5,19.25,0.5,91.0,,0.16,1.5,0.25,8.5,34.0,-0.2,33.0,33.0,2.25,,0.0,0.0,0.2,0.0,0.0,0.0
Daniel Purdy,31,0,"5'7""",1,360.0,0.0,M/AM (R),Newtown Rangers,IRL,,63 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,60.0,0,0.0,0.0,0.75,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,,0.07,0.0,0.0,0.0,0.0,-0.17,50.0,50.0,0.0,,0.0,0.0,0.22,0.25,0.0,0.0
Tylah Wallace-Ming,19,110,"5'10""",1,1956.0,11.6,D (R),Aberystwyth,ENG,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.0,4.37,79.0,2,2.25,11.6,1.75,79.0,,48.0,1.47,0.64,-3.4,11.6,15.0,4.37,82.0,,0.06,1.43,0.83,7.78,9.39,-0.2,11.0,11.0,2.94,,0.0,0.0,0.2,0.0,0.0,0.0
Shane Barnes,26,0,"5'9""",1,525.0,9.7,ST (C),Crumlin Utd,IRL,,64 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.14,0.69,86.0,1,1.03,4.46,1.03,86.0,,33.0,0.51,0.34,-6.68,4.46,11.14,0.69,91.0,,0.24,0.86,0.0,0.34,0.0,0.38,33.0,33.0,2.74,,4.0,0.6857142857142857,0.31,0.69,0.0,0.0
Blair Adams,32,575,"5'11""",1,3757.0,13.0,D/WB (L),South Shields,ENG,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.06,6.61,84.0,2,2.25,12.38,2.2,84.0,,62.0,1.29,0.69,2.32,12.38,10.06,6.61,88.0,,0.18,1.03,0.81,4.29,5.26,-0.02,41.0,41.0,3.14,,3.0,0.07186585041256321,0.04,0.02,0.0,0.0
Tom Allan,29,350,"6'4""",1,3819.0,11.4,D (C),Farsley,ENG,,84 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.69,5.18,76.0,1,1.08,12.84,1.3,76.0,,78.0,2.0,0.68,1.15,12.84,11.69,5.18,80.0,,0.06,0.24,0.19,1.6,8.5,0.04,46.0,46.0,7.14,,0.0,0.0,0.03,0.07,0.0,0.0
Aaron McCabe,23,0,"5'6""",1,516.0,11.1,"AM (C), ST (C)",Maynooth Town,IRL,,65 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.17,0.35,90.0,1,0.17,2.79,1.57,90.0,,28.0,0.35,0.17,-12.38,2.79,15.17,0.35,89.0,,0.1,0.7,0.17,1.4,8.0,0.31,67.0,67.0,2.79,,4.0,0.6976744186046512,0.04,0.35,0.0,0.0
Adam Evans,29,0,"6'0""",1,360.0,0.0,AM (LC),Ayrfield Utd,IRL,,73 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,71.0,0,0.0,0.0,1.25,71.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,0.07,0.0,0.0,0.0,0.0,0.3,50.0,50.0,0.0,,0.0,0.0,0.2,0.5,0.0,0.0
Colin Kelly,22,0,"5'8""",1,360.0,12.1,ST (C),Mervue Utd,IRL,,69 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,17.0,0.0,67.0,0,1.25,3.5,0.5,67.0,,14.0,0.0,0.25,-13.5,3.5,17.0,0.0,85.0,,0.22,1.25,0.0,1.0,0.0,-0.14,60.0,60.0,1.75,,4.0,1.0,0.14,0.0,0.0,0.0
Charlie Aitken,18,120,"6'0""",1,270.0,12.7,M/AM (C),Blyth,ENG,,76 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.33,1.0,100.0,1,0.67,3.33,0.67,100.0,,31.0,0.67,0.33,-5.0,3.33,8.33,1.0,81.0,,0.14,1.67,0.67,1.0,1.5,0.44,63.0,63.0,1.67,,1.0,0.33333333333333337,0.23,0.67,0.0,0.0
Divine Izekor,19,0,"6'0""",1,360.0,11.8,ST (C),Monaghan Utd,IRL,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,19.75,1.25,22.0,0,0.5,1.75,0.5,22.0,,24.0,0.5,0.0,-18.0,1.75,19.75,1.25,80.0,,0.0,0.5,0.25,1.0,4.0,0.2,33.0,33.0,2.5,,1.0,0.25,0.05,0.25,0.0,0.0
Joe Power,21,0,"5'9""",1,360.0,10.7,M (C),Monaghan Utd,IRL,,66 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.75,2.5,100.0,1,1.0,13.5,0.75,100.0,,57.0,1.5,0.5,-2.25,13.5,15.75,2.5,91.0,,0.17,0.75,0.0,1.5,0.0,0.2,67.0,67.0,2.0,,1.0,0.25,0.05,0.25,0.0,0.0
Dylan Gavin,21,250,"6'0""",1,156.0,11.0,ST (C),Athlone Town,IRL,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,25.96,0.0,0.0,1,1.73,0.58,0.0,0.0,,39.0,0.0,0.58,-25.38,0.58,25.96,0.0,87.0,,0.07,1.15,0.0,0.0,0.0,0.33,25.0,25.0,5.19,,1.0,0.5769230769230769,0.25,0.58,0.0,0.0
Niall Cooney,31,0,"5'10""",1,600.0,11.3,D (C),Crumlin Utd,IRL,,75 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,1.95,3.3,67.0,1,0.9,24.15,0.3,67.0,,67.0,1.2,1.2,22.2,24.15,1.95,3.3,82.0,,0.16,0.0,0.0,0.0,0.0,-0.14,25.0,25.0,6.45,,0.0,0.0,0.14,0.0,0.0,0.0
Jake Hegarty,29,0,"6'1""",1,450.0,2.1,ST (C),Midleton,IRL,,84 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,4.2,0.0,75.0,0,0.2,0.6,0.6,75.0,,12.0,0.2,0.2,-3.6,0.6,4.2,0.0,70.0,,0.0,0.2,0.0,0.0,0.0,0.31,46.0,46.0,0.4,,0.0,0.0,0.29,0.6,0.0,0.0
Jordaan Brown,32,120,"6'2""",1,3083.0,11.2,D (C),Rushall,ENG,,85 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.96,4.41,74.0,1,1.61,13.84,1.23,74.0,,73.0,2.19,0.35,4.88,13.84,8.96,4.41,86.0,,0.04,0.12,0.09,0.96,11.0,0.03,29.0,29.0,5.34,,0.0,0.0,0.03,0.09,0.0,0.0
Nathan Wood,26,700,"6'1""",1,189.0,13.0,M/AM (L),Cork City,WAL,,75 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.71,0.95,100.0,2,1.43,4.29,1.9,100.0,,0.0,2.38,0.48,-11.42,4.29,15.71,0.95,86.0,,0.08,1.43,0.48,4.29,9.0,0.78,50.0,50.0,0.0,,0.0,0.0,0.17,0.95,0.0,0.0
Josh Amis,29,230,"6'1""",1,553.0,13.3,ST (C),Warrington,ENG,,92 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,7.65,0.49,78.0,1,1.3,6.51,1.14,78.0,,52.0,0.49,0.16,-1.14,6.51,7.65,0.49,80.0,,0.01,0.33,0.16,0.33,2.0,-0.33,43.0,43.0,8.95,,8.0,1.301989150090416,0.66,0.33,0.0,0.0
Sodiq Oguntola,30,0,"5'11""",1,450.0,11.6,ST (C),Bluebell Utd,NGA,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,17.2,0.6,100.0,1,1.2,3.8,1.2,100.0,,36.0,0.2,0.2,-13.4,3.8,17.2,0.6,90.0,,0.08,1.4,0.0,0.6,0.0,-0.04,50.0,50.0,4.2,,6.0,1.2000000000000002,0.24,0.2,0.0,0.0
Luke Casey,23,0,"5'11""",1,450.0,12.0,AM (RL),Rockmount,IRL,,74 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,19.4,2.4,75.0,1,1.4,8.4,1.2,75.0,,38.0,1.2,0.2,-11.0,8.4,19.4,2.4,86.0,,0.3,2.2,1.4,9.8,7.0,-0.15,0.0,0.0,3.0,,2.0,0.4,0.15,0.0,0.0,0.0
