Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
John Lufudu,29,875,"5'10""",1,322.0,13.2,D/WB (R),South Shields,COD,,70 kg,€10K,,0.0,0.0,0.0,0.0,,0.0,,,13.98,8.39,100.0,2,4.75,17.33,0.56,100.0,,85.0,2.24,0.28,3.35,17.33,13.98,8.39,84.0,,0.16,0.0,1.12,6.71,6.0,0.0,0.0,0.0,6.15,,2.0,0.5590062111801242,0.0,0.0,0.0,0.0
Charles Mutawe,23,0,"6'1""",1,570.0,10.8,D (C),Maynooth Town,IRL,,77 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,2.21,4.89,100.0,1,0.47,21.47,1.26,100.0,,75.0,1.26,0.16,19.26,21.47,2.21,4.89,84.0,,0.0,0.16,0.0,1.42,0.0,-0.25,13.0,13.0,6.32,,1.0,0.15789473684210525,0.25,0.0,0.0,0.0
Alex O'Hanlon,27,0,"5'11""",1,341.0,10.9,D/M (L),St. Mochtas,IRL,,75 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.31,5.28,63.0,2,2.38,10.29,1.32,63.0,,86.0,2.11,0.53,-5.02,10.29,15.31,5.28,86.0,,0.0,0.79,0.26,2.11,8.0,0.0,0.0,0.0,4.75,,1.0,0.26392961876832843,0.0,0.0,0.0,0.0
Marcus Poscha,27,230,"5'11""",1,1522.0,11.1,D (C),Curzon Ashton,ENG,,76 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,12.48,4.79,58.0,1,1.42,15.49,0.89,58.0,,83.0,2.13,0.65,3.01,15.49,12.48,4.79,79.0,,0.02,0.0,0.0,0.12,0.0,0.03,33.0,33.0,9.05,,1.0,0.05913272010512483,0.03,0.06,0.0,0.0
Spencer Hamilton,28,230,"6'2""",1,1451.0,11.8,D (RC),Gloucester,ENG,,79 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.41,3.97,63.0,1,1.3,13.89,1.55,63.0,,76.0,2.29,0.56,2.48,13.89,11.41,3.97,80.0,,0.07,0.12,0.12,2.61,21.0,-0.01,0.0,0.0,6.95,,1.0,0.06202618883528601,0.01,0.0,0.0,0.0
Isaac Assenso,26,230,"6'3""",1,1703.0,11.9,D (C),Farsley,ENG,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.68,4.86,79.0,2,1.96,12.84,1.59,79.0,,76.0,1.85,0.69,2.16,12.84,10.68,4.86,82.0,,0.03,0.53,0.16,2.54,16.0,0.02,39.0,39.0,7.87,,1.0,0.052847915443335294,0.09,0.11,0.0,0.0
Steven Sumner,19,220,"6'5""",1,1607.0,11.0,D (C),Brackley,ENG,,81 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.13,3.98,91.0,1,0.95,13.55,0.56,91.0,,85.0,1.12,0.45,4.42,13.55,9.13,3.98,81.0,,0.02,0.0,0.0,0.06,0.0,-0.08,29.0,29.0,9.91,,1.0,0.056004978220286245,0.08,0.0,0.0,0.0
Rudy Misambo,29,230,"6'4""",1,2858.0,11.5,D (C),Farsley,ENG,,87 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.52,4.91,77.0,1,1.61,16.0,1.04,77.0,,82.0,1.61,0.41,5.48,16.0,10.52,4.91,81.0,,0.03,0.09,0.0,0.03,0.0,-0.04,28.0,28.0,8.97,,0.0,0.0,0.1,0.06,0.0,0.0
Toby Lees,27,400,"6'3""",1,2182.0,11.6,D (C),Darlington,ENG,,83 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.32,5.07,79.0,1,1.69,12.33,1.07,79.0,,63.0,1.94,0.54,3.01,12.33,9.32,5.07,82.0,,0.04,0.04,0.0,0.08,0.0,0.03,25.0,25.0,4.74,,0.0,0.0,0.01,0.04,0.0,0.0
Mitch Clarke,31,120,"6'1""",1,4165.0,10.8,D (C),Rushall,ENG,,84 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.01,3.89,76.0,1,1.49,12.97,0.76,76.0,,75.0,2.12,0.67,3.96,12.97,9.01,3.89,85.0,,0.04,0.06,0.02,0.02,1.0,0.01,33.0,33.0,7.28,,0.0,0.0,0.03,0.04,0.0,0.0
Craig Wall,33,190,"5'11""",1,920.0,12.6,DM,Kerry,IRL,,83 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,5.77,4.01,67.0,1,0.39,13.3,2.35,67.0,,47.0,1.27,0.1,7.53,13.3,5.77,4.01,88.0,,0.07,0.39,0.0,0.49,0.0,-0.16,10.0,10.0,1.66,,3.0,0.2934782608695652,0.16,0.0,0.0,0.0
Tom Lawless,18,0,"6'0""",1,231.0,12.6,D (C),Rushall,ENG,,76 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.13,3.9,67.0,1,0.39,12.47,1.56,67.0,,47.0,1.56,0.78,2.34,12.47,10.13,3.9,82.0,,0.24,0.39,0.0,0.78,0.0,0.0,0.0,0.0,2.73,,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Windass,24,525,"5'9""",1,574.0,12.0,D (R),Darlington,ENG,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.78,5.02,78.0,1,1.25,11.13,1.1,78.0,,55.0,1.88,0.47,2.35,11.13,8.78,5.02,82.0,,0.05,0.31,0.63,1.25,2.0,-0.01,0.0,0.0,4.23,,1.0,0.156794425087108,0.01,0.0,0.0,0.0
Harry Sheridan,22,120,"5'11""",1,445.0,12.4,D (C),Farsley,ENG,,74 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.93,4.04,78.0,1,1.01,13.96,1.42,78.0,,72.0,2.02,0.2,2.03,13.96,11.93,4.04,81.0,,0.03,0.81,0.4,4.65,11.5,-0.01,0.0,0.0,5.66,,0.0,0.0,0.01,0.0,0.0,0.0
Oliver Southern,22,400,"6'0""",1,2765.0,12.5,D/WB (R),Hereford,ENG,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.74,4.92,85.0,2,2.28,15.92,2.15,85.0,,77.0,1.95,0.59,2.18,15.92,13.74,4.92,82.0,,0.11,1.14,0.59,3.35,5.72,-0.08,18.0,18.0,7.91,,0.0,0.0,0.08,0.0,0.0,0.0
Ryan Hand,19,0,"5'10""",1,491.0,12.5,D (LC),Boston Utd,ENG,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.9,4.22,89.0,1,1.83,12.1,1.47,89.0,,63.0,1.1,0.37,2.2,12.1,9.9,4.22,76.0,,0.04,0.18,0.37,1.28,3.5,-0.06,33.0,33.0,6.97,,0.0,0.0,0.06,0.0,0.0,0.0
